model,r2_mean,rmse_all_mean,mae_all_mean,r2_high_mean,rmse_high_mean,mae_high_mean,rmse_onb_mean,mae_onb_mean,auc_binary_mean,roc_auc_cont_mean,pr_auc_cont_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,r2_se,rmse_all_se,mae_all_se,r2_high_se,rmse_high_se,mae_high_se,rmse_onb_se,mae_onb_se,auc_binary_se,roc_auc_cont_se,pr_auc_cont_se,accuracy_se,precision_se,recall_se,f1_se
RandomForest,0.818099,116140.022790,97983.355461,0.545703,110002.757335,86765.943064,75841.762128,45298.789517,0.958333,0.992594,0.993241,0.961111,0.978166,0.933333,0.955224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
CNN+Tf v2 GAP,0.236298,237972.170040,209456.730046,-0.612843,207266.717113,180309.670662,276707.934216,256619.323517,0.818333,0.994292,0.995473,0.799074,0.690856,0.991667,0.814371,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AlexNet,0.629674,165712.989764,130322.965271,-0.722948,214224.691206,178666.792030,160103.359899,141227.481168,0.926042,0.992017,0.992819,0.934259,1.000000,0.852083,0.920135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Ensemble individual-performance KFold,0.859420,102099.874858,85884.788507,0.738036,83532.215472,68828.478824,74238.020436,49337.505403,0.953125,0.993747,0.994967,0.957407,0.988739,0.914583,0.950216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
