snr,chunks,diagonal,cross,cross_negative_chunks,cross_positive_chunks,weighted_worse_than_equal_chunks,weighted_sse,equal_offline_sse,weighted_minus_equal_sse
no_noise,1080,4285916353453.822,2827011126177.0405,241,839,657,7112927479630.856,6866026495794.801,246900983836.05566
-8,1080,6166383644802.6455,7759338284471.816,275,805,541,13925721929274.46,13033546599837.832,892175329436.6289
