snr,rows,wavs,missing_keys,duplicate_keys,label_mismatch,missing_prediction_rows,weight_randomforest,weight_conformer,weight_alexnet
no_noise,1080,18,0,0,0,0,0.14361027080015779,0.6813582333783545,0.17503149582148775
-8,1080,18,0,0,0,0,0.21586592770911422,0.515518634944208,0.2686154373466777
-16,1080,18,0,0,0,0,0.24107627965950218,0.5450282383414808,0.21389548199901703
-20,1080,18,0,0,0,0,0.25271055973641804,0.37964447155611053,0.36764496870747143
