before,after,model,source_wav_id,region,sse_reduction_w_m2_squared,total_reduction_w_m2_squared,n_wavs_improved,n_wavs_worsened,below_onb_reduction_w_m2_squared,onb_or_above_reduction_w_m2_squared
-8,-16,conformer,index=18.873637,onb_or_above,-28512548816.838028,9029970378700.378906,13,5,5331532025985.989258,3698438352714.383301
-8,-16,conformer,index=2.2380,below_onb,-449447107836.329224,9029970378700.378906,13,5,5331532025985.989258,3698438352714.383301
-8,-16,conformer,index=3.21242,below_onb,-284864227416.904419,9029970378700.378906,13,5,5331532025985.989258,3698438352714.383301
-8,-16,conformer,index=4.58389,below_onb,143606306478.943146,9029970378700.378906,13,5,5331532025985.989258,3698438352714.383301
-8,-16,conformer,index=5.113188,below_onb,1110942939340.372314,9029970378700.378906,13,5,5331532025985.989258,3698438352714.383301
-8,-16,conformer,index=6.146381,below_onb,1946365046836.424561,9029970378700.378906,13,5,5331532025985.989258,3698438352714.383301
-8,-16,conformer,index=7.184190,below_onb,2036783065502.787842,9029970378700.378906,13,5,5331532025985.989258,3698438352714.383301
-8,-16,conformer,index=8.225704,below_onb,1220086314948.031982,9029970378700.378906,13,5,5331532025985.989258,3698438352714.383301
-8,-16,conformer,index=9.271677,onb_or_above,1588273977164.688232,9029970378700.378906,13,5,5331532025985.989258,3698438352714.383301
-8,-16,alexnet,index=1.0,below_onb,464058554840.137573,-454491696325.234009,8,10,1078727667689.983887,-1533219364015.220215
-8,-16,alexnet,index=10.322114,onb_or_above,-190840554714.119812,-454491696325.234009,8,10,1078727667689.983887,-1533219364015.220215
-8,-16,alexnet,index=11.376320,onb_or_above,-27786076993.936455,-454491696325.234009,8,10,1078727667689.983887,-1533219364015.220215
-8,-16,alexnet,index=12.434018,onb_or_above,95201971864.649826,-454491696325.234009,8,10,1078727667689.983887,-1533219364015.220215
-8,-16,alexnet,index=13.496023,onb_or_above,9124771478.829914,-454491696325.234009,8,10,1078727667689.983887,-1533219364015.220215
-8,-16,alexnet,index=14.562158,onb_or_above,-67116473628.589149,-454491696325.234009,8,10,1078727667689.983887,-1533219364015.220215
-8,-16,alexnet,index=15.633482,onb_or_above,-110700561065.690506,-454491696325.234009,8,10,1078727667689.983887,-1533219364015.220215
-8,-16,alexnet,index=16.709792,onb_or_above,-205990216621.531464,-454491696325.234009,8,10,1078727667689.983887,-1533219364015.220215
-8,-16,alexnet,index=17.789500,onb_or_above,-295774442484.539917,-454491696325.234009,8,10,1078727667689.983887,-1533219364015.220215
-8,-16,alexnet,index=18.873637,onb_or_above,-426342879513.617493,-454491696325.234009,8,10,1078727667689.983887,-1533219364015.220215
-8,-16,alexnet,index=2.2380,below_onb,201256741676.319122,-454491696325.234009,8,10,1078727667689.983887,-1533219364015.220215
