experiment_name,max_frequency,condition_name,requested_snr_db,manifest_rows,npy_file_count,npy_count_matches_manifest,source_wav_groups,heat_flux_levels,realized_snr_mean_db,realized_snr_median_db,realized_snr_std_db,realized_snr_min_db,realized_snr_max_db,mean_signal_chunk_power,mean_scaled_noise_chunk_power,fixed_reference_signal_rms,noise_scaling_mode,pair_noise_across_snr,max_relative_noise_power_error,chunk_manifest_sha256
2025.06.11_0.3_2,maxfreq=3kHz,heatflux_reference_SNR=-8,-8,1080,1080,True,18,18,2.364951012,-0.6711784639,18.68714365,-19.12188105,29.79000118,0.0002064453793,1.467203693e-06,0.0004822199855,fixed_global_rms,True,4.088805719e-13,97194e61be7bfbfa3856168db329e31cb889c7f4c912406b1df91a0f793f2c4d
2025.06.11_0.3_2,maxfreq=3kHz,heatflux_reference_SNR=0,0,1080,1080,True,18,18,10.36495101,7.328821536,18.68714365,-11.12188105,37.79000118,0.0002064453793,2.325361144e-07,0.0004822199855,fixed_global_rms,True,4.089941828e-13,cb691e94c33e9cacaa3adae2dad3fce6396dd899ac4bc74244394c8fb3abd8a1
2025.06.11_0.3_2,maxfreq=5kHz,heatflux_no_noise,,1080,1080,True,18,18,,,,,,0.0002064453793,,0.0004822199855,fixed_global_rms,True,,67f72f2e720d2684017c157dce664c0e9c9505dc0400fd9a4deed0f79ac9b6b4
2025.06.11_0.3_2,maxfreq=5kHz,heatflux_reference_SNR=-12,-12,1080,1080,True,18,18,-1.635048988,-4.671178464,18.68714365,-23.12188105,25.79000118,0.0002064453793,3.685449048e-06,0.0004822199855,fixed_global_rms,True,4.088705592e-13,2fb6758127fdd33ebe7a886123d8f60d2f9959a8451e92bd72dcc268670d31be
2025.06.11_0.3_2,maxfreq=5kHz,heatflux_reference_SNR=-16,-16,1080,1080,True,18,18,-5.635048988,-8.671178464,18.68714365,-27.12188105,21.79000118,0.0002064453793,9.257429457e-06,0.0004822199855,fixed_global_rms,True,4.088114553e-13,850db2532b64efb549c5222602f74cb0991992ddce87068ee5246ae8edb77bee
2025.06.11_0.3_2,maxfreq=5kHz,heatflux_reference_SNR=-20,-20,1080,1080,True,18,18,-9.635048988,-12.67117846,18.68714365,-31.12188105,17.79000118,0.0002064453793,2.325361144e-05,0.0004822199855,fixed_global_rms,True,4.088439261e-13,a3386d2aeaab3e09755311e6cf1457b519bf6b0c63a8d3ac888ee834c8fe51a8
2025.06.11_0.3_2,maxfreq=5kHz,heatflux_reference_SNR=-4,-4,1080,1080,True,18,18,6.364951012,3.328821536,18.68714365,-15.12188105,33.79000118,0.0002064453793,5.841043107e-07,0.0004822199855,fixed_global_rms,True,4.089394424e-13,bc19f4352e9c10b8ecd5ce6314923879cbc87a95585a1fa9e7f9739b9b2424fe
2025.06.11_0.3_2,maxfreq=5kHz,heatflux_reference_SNR=-8,-8,1080,1080,True,18,18,2.364951012,-0.6711784639,18.68714365,-19.12188105,29.79000118,0.0002064453793,1.467203693e-06,0.0004822199855,fixed_global_rms,True,4.088805719e-13,97194e61be7bfbfa3856168db329e31cb889c7f4c912406b1df91a0f793f2c4d
2025.06.11_0.3_2,maxfreq=5kHz,heatflux_reference_SNR=0,0,1080,1080,True,18,18,10.36495101,7.328821536,18.68714365,-11.12188105,37.79000118,0.0002064453793,2.325361144e-07,0.0004822199855,fixed_global_rms,True,4.089941828e-13,cb691e94c33e9cacaa3adae2dad3fce6396dd899ac4bc74244394c8fb3abd8a1
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_no_noise,,1080,1080,True,18,18,,,,,,0.0001582081335,,0.0004822199855,fixed_global_rms,True,,d186e3e4cee7853541bd858ceb3ffe2bea2d59800f784c125824e4209096cc4b
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-12,-12,1080,1080,True,18,18,-5.171301059,-18.50545361,19.79504624,-26.56382083,24.50407691,0.0001582081335,3.685449048e-06,0.0004822199855,fixed_global_rms,True,4.088705592e-13,e1442eef2b2404bdc8515054899751ebcc8c80b63a09f6629f224258c2c80a04
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-16,-16,1080,1080,True,18,18,-9.171301059,-22.50545361,19.79504624,-30.56382083,20.50407691,0.0001582081335,9.257429457e-06,0.0004822199855,fixed_global_rms,True,4.088114553e-13,14e6accf8fed7ddd8f9689dacb0ef14ea10b289384f12a6bd3fba510b8138fc7
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-20,-20,1080,1080,True,18,18,-13.17130106,-26.50545361,19.79504624,-34.56382083,16.50407691,0.0001582081335,2.325361144e-05,0.0004822199855,fixed_global_rms,True,4.088439261e-13,45f0f259010c0b713916c81aaeaf8a2e913a74f34f27f165995cccd38f24b04d
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-4,-4,1080,1080,True,18,18,2.828698941,-10.50545361,19.79504624,-18.56382083,32.50407691,0.0001582081335,5.841043107e-07,0.0004822199855,fixed_global_rms,True,4.089394424e-13,e77cb0ad2f3a6c103f4b44a74ea34b4938ea2516114d82ce62ca3211a0da97cc
2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-8,-8,1080,1080,True,18,18,-1.171301059,-14.50545361,19.79504624,-22.56382083,28.50407691,0.0001582081335,1.467203693e-06,0.0004822199855,fixed_global_rms,True,4.088805719e-13,5ae78634649f76f6dc36ddd99ab5bbde77be045edbc831ec0866529fc65a2377
