experiment_name,source_wav_id,chunk_index,chunk_start_seconds,chunk_duration_seconds,heat_flux,sample_filename,onb_threshold,q_over_onb,signal_power,band_500_1000_db,band_1000_2000_db,band_2000_3000_db,band_3000_5000_db,band_5000_10000_db,band_10000_15000_db,band_15000_22050_db,band_1000_5000_db,band_2000_5000_db
2025.07.09_0.3_1,index=1.0,0,0.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0000.npy,442169.29243200656,1.5787175090356064e-10,6.331490087383346e-08,-76.12756513357338,-76.6329718015183,-81.27162537534315,-84.99406542617719,-89.6660676205313,-92.85529314272625,-92.86702873930489,-74.90253998423073,-79.73536346806091
2025.07.09_0.3_1,index=1.0,1,1.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0001.npy,442169.29243200656,1.5787175090356064e-10,6.581145701114834e-08,-75.96087401145618,-76.14619471515182,-80.84024177957126,-85.08555684886146,-89.32588149072555,-92.61844050246415,-92.64479384255364,-74.48197776345924,-79.45329037311222
2025.07.09_0.3_1,index=1.0,2,2.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0002.npy,442169.29243200656,1.5787175090356064e-10,6.446871690569827e-08,-75.76652691444883,-76.7125065033985,-81.25454210671276,-84.98248419615555,-89.59455712169186,-92.69679378557613,-92.89746415802732,-74.95063113002362,-79.71991875166255
2025.07.09_0.3_1,index=1.0,3,3.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0003.npy,442169.29243200656,1.5787175090356064e-10,6.694411609525798e-08,-75.93680133648567,-76.33502989999167,-80.72631095025842,-85.01712025030778,-89.21032573021613,-92.55900216103092,-92.82188586130513,-74.57625619850259,-79.351749686623
2025.07.09_0.3_1,index=1.0,4,4.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0004.npy,442169.29243200656,1.5787175090356064e-10,6.826236250567468e-08,-76.03275144953658,-76.04624374926613,-80.55527407359574,-84.61460321886933,-89.45442467849537,-92.4962520433668,-92.73849634446455,-74.30528450121373,-79.1166808799551
2025.07.09_0.3_1,index=1.0,5,5.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0005.npy,442169.29243200656,1.5787175090356064e-10,6.933150021146409e-08,-75.58704507581783,-76.17781583836292,-80.94586393367541,-84.47027122387176,-89.34209250352731,-92.53942826929656,-92.85796198374484,-74.47008313569506,-79.34964983660275
2025.07.09_0.3_1,index=1.0,6,6.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0006.npy,442169.29243200656,1.5787175090356064e-10,6.697093150711993e-08,-75.90712355923951,-76.23323726479151,-80.8403695861526,-84.62445256706502,-89.21611806190968,-92.48909708813498,-92.6628367433038,-74.49844763803577,-79.322382283383
2025.07.09_0.3_1,index=1.0,7,7.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0007.npy,442169.29243200656,1.5787175090356064e-10,6.872350447815373e-08,-75.69924752701068,-75.95121960380435,-81.0129715414196,-84.5222084290138,-89.16858518280571,-92.5059860907783,-92.9524813660389,-74.33536329982877,-79.4120859039281
2025.07.09_0.3_1,index=1.0,8,8.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0008.npy,442169.29243200656,1.5787175090356064e-10,7.214824506234705e-08,-75.44457499743471,-75.85450286992952,-80.61323559480752,-84.57494750354634,-89.28079122717874,-92.3738607625155,-92.57176043819385,-74.18559975455193,-79.14689411745373
2025.07.09_0.3_1,index=1.0,9,9.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0009.npy,442169.29243200656,1.5787175090356064e-10,7.039120890232723e-08,-75.80856020217043,-75.95514411267698,-80.89474683243867,-84.55809882286445,-89.26027086467955,-92.25204704347631,-92.75028402020725,-74.31577961407189,-79.34079595527388
2025.07.09_0.3_1,index=1.0,10,10.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0010.npy,442169.29243200656,1.5787175090356064e-10,7.298134455886784e-08,-75.35475417250048,-75.92110820413443,-80.45818702625417,-84.6492499021196,-89.1448832376193,-92.3351703223458,-92.60371946206268,-74.20144037906911,-79.05633648950798
2025.07.09_0.3_1,index=1.0,11,11.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0011.npy,442169.29243200656,1.5787175090356064e-10,6.89163529978732e-08,-75.91149377050908,-76.15953765639739,-80.45428483869136,-84.53056186744004,-89.05838068844707,-91.55519981868727,-92.51666383522603,-74.34826078270886,-79.02046380182755
2025.07.09_0.3_1,index=1.0,12,12.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0012.npy,442169.29243200656,1.5787175090356064e-10,7.161131238183319e-08,-75.63844971824538,-75.87840936790218,-80.45704346926378,-84.29199421768814,-88.65291151281315,-91.65969658159065,-92.41894170123535,-74.13915122528428,-78.95399930032168
2025.07.09_0.3_1,index=1.0,13,13.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0013.npy,442169.29243200656,1.5787175090356064e-10,7.202947092483214e-08,-75.53427528251368,-75.71428464342131,-80.50693402540021,-84.29660325709585,-89.02831932017405,-91.90757405512188,-92.2771931612189,-74.04024392824182,-78.9905938093647
2025.07.09_0.3_1,index=1.0,14,14.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0014.npy,442169.29243200656,1.5787175090356064e-10,7.677628040660069e-08,-75.31576691725374,-75.62778027349455,-80.44872704392282,-84.11472504484476,-88.62674756266534,-92.17580443985055,-92.39534444465419,-73.95101328952079,-78.89557190232145
2025.07.09_0.3_1,index=1.0,15,15.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0015.npy,442169.29243200656,1.5787175090356064e-10,7.411320487346671e-08,-75.3809565763055,-75.75973525909622,-80.73690650334989,-84.19787498952681,-88.59154584520297,-91.81571523279756,-92.30151579846014,-74.11271427095745,-79.12108194733565
2025.07.09_0.3_1,index=1.0,16,16.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0016.npy,442169.29243200656,1.5787175090356064e-10,7.605639259363705e-08,-75.02812705403586,-75.82118167235227,-80.63701160806319,-83.89065897475626,-88.50201817167311,-91.50126095100083,-92.21852825775954,-74.10128475065252,-78.95570933415593
2025.07.09_0.3_1,index=1.0,17,17.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0017.npy,442169.29243200656,1.5787175090356064e-10,7.660835893455241e-08,-75.33377273890801,-75.42506412302045,-80.25806284758927,-84.04180616826922,-88.6351449659041,-91.5259300364721,-92.1324777824173,-73.76333352484241,-78.73997534898959
2025.07.09_0.3_1,index=1.0,18,18.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0018.npy,442169.29243200656,1.5787175090356064e-10,7.78687442115945e-08,-75.22755033574043,-75.42273384804857,-80.37893667435377,-84.14930263050756,-88.6331247433457,-91.47172962689682,-92.11682788329668,-73.79856404233315,-78.8568986128953
2025.07.09_0.3_1,index=1.0,19,19.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0019.npy,442169.29243200656,1.5787175090356064e-10,7.762224462092967e-08,-75.17166195600916,-75.43868559162655,-80.3288341039706,-84.13426972367958,-88.80453422928281,-91.57658671018118,-92.22493915140022,-73.79705511990605,-78.81713449925029
2025.07.09_0.3_1,index=1.0,20,20.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0020.npy,442169.29243200656,1.5787175090356064e-10,7.627989184373569e-08,-75.78894736400228,-75.27285122490139,-80.33865641576249,-84.04353107183086,-88.6374140088358,-91.39473181210258,-92.07333295077439,-73.676604868042,-78.79715362849979
2025.07.09_0.3_1,index=1.0,21,21.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0021.npy,442169.29243200656,1.5787175090356064e-10,8.031705385189662e-08,-75.17402356432412,-75.28871897362302,-80.03716279639833,-83.9903968950583,-88.52054992443087,-91.15407981313965,-91.93481840007789,-73.6157534221756,-78.5683903426062
2025.07.09_0.3_1,index=1.0,22,22.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0022.npy,442169.29243200656,1.5787175090356064e-10,8.021108747473147e-08,-75.28991632346954,-75.29739554749574,-80.02003577830541,-83.97141828278536,-88.58410046611213,-91.22157037389573,-91.81175418824381,-73.61599344755395,-78.55073193722005
2025.07.09_0.3_1,index=1.0,23,23.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0023.npy,442169.29243200656,1.5787175090356064e-10,9.351732278740571e-08,-74.59853781459849,-74.64670989041412,-79.63538722905568,-83.10336758366464,-87.56288636951413,-90.7512757752378,-91.21214271578971,-73.00400297933314,-78.02173994544073
2025.07.09_0.3_1,index=1.0,24,24.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0024.npy,442169.29243200656,1.5787175090356064e-10,1.1175751407304983e-07,-73.48747695147787,-73.95386252602246,-78.88929471356734,-82.81645451151788,-86.81672786153155,-89.93165757515611,-90.24676207650216,-72.33747657959778,-77.4130243289144
2025.07.09_0.3_1,index=1.0,25,25.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0025.npy,442169.29243200656,1.5787175090356064e-10,1.5077190724901138e-07,-72.18415827939674,-72.7098367054421,-77.85096165832445,-81.23624008979877,-85.35624745132364,-88.36314947797658,-88.36285582106782,-71.10660839380327,-76.2114797515231
2025.07.09_0.3_1,index=1.0,26,26.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0026.npy,442169.29243200656,1.5787175090356064e-10,1.2109091211442684e-06,-65.25340112156948,-63.86957636961067,-65.85379981017866,-65.34046505276659,-67.6461172869504,-74.27477616831057,-77.1984925152534,-60.166368934995624,-62.57925238437102
2025.07.09_0.3_1,index=1.0,27,27.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0027.npy,442169.29243200656,1.5787175090356064e-10,5.593146065239743e-08,-77.38962534107858,-76.54982446909553,-81.24439799406572,-85.27850435424492,-90.18510094818355,-92.72848538748102,-93.55218970983475,-74.8669827362029,-79.79867781029961
2025.07.09_0.3_1,index=1.0,28,28.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0028.npy,442169.29243200656,1.5787175090356064e-10,5.735671094072438e-08,-76.75707820840408,-76.67835079541865,-81.49605899989263,-85.34957262097329,-89.99290018874783,-92.72237278374672,-93.44962747910003,-75.01826488913866,-79.99843719872891
2025.07.09_0.3_1,index=1.0,29,29.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0029.npy,442169.29243200656,1.5787175090356064e-10,5.7110704133373225e-08,-76.54337317562633,-76.73893978602882,-81.83304758102162,-85.48622327138503,-89.98664452673786,-92.81182168541136,-93.59266117897924,-75.14662356726623,-80.27603322174501
2025.07.09_0.3_1,index=1.0,30,30.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0030.npy,442169.29243200656,1.5787175090356064e-10,5.618826812378979e-08,-76.58244478925079,-77.04714637865241,-81.78628827682448,-85.46293844063071,-90.05754026595494,-92.8749249944077,-93.65797531085494,-75.34504779704461,-80.23633313520116
2025.07.09_0.3_1,index=1.0,31,31.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0031.npy,442169.29243200656,1.5787175090356064e-10,5.772464909254252e-08,-76.63463395440428,-76.77831066541478,-81.30482773091086,-85.36366337883189,-89.9267093227371,-92.75285729472745,-93.37488133339923,-75.04307302775948,-79.86609537858706
2025.07.09_0.3_1,index=1.0,32,32.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0032.npy,442169.29243200656,1.5787175090356064e-10,5.6326500900868255e-08,-76.75260810930395,-76.8154119743126,-81.30043382310191,-85.50110112744807,-90.11885285545107,-93.34324873550062,-93.64727777168689,-75.0795267019216,-79.90123076472172
2025.07.09_0.3_1,index=1.0,33,33.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0033.npy,442169.29243200656,1.5787175090356064e-10,5.848414811515984e-08,-76.456333940868,-76.61714019463605,-81.53887749675755,-85.49053929982801,-90.05373530823847,-93.63791730641323,-93.5685454632542,-74.99868707526308,-80.06965382166085
2025.07.09_0.3_1,index=1.0,34,34.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0034.npy,442169.29243200656,1.5787175090356064e-10,5.835922498072117e-08,-76.50178628948484,-76.54756804679147,-81.62093550674207,-85.50022074801436,-89.85820939650993,-92.86795277971245,-93.69658000273984,-74.96936616043153,-80.130814637588
2025.07.09_0.3_1,index=1.0,35,35.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0035.npy,442169.29243200656,1.5787175090356064e-10,5.815105774475477e-08,-76.66722910615674,-76.72458013350479,-81.33917457262591,-85.43049333689339,-89.80958659518456,-93.53218522513129,-93.71912665666032,-75.0211228119693,-79.90957776488345
2025.07.09_0.3_1,index=1.0,36,36.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0036.npy,442169.29243200656,1.5787175090356064e-10,5.7709894005990566e-08,-76.35112765371504,-76.83764190299254,-81.81060141393318,-85.45065402086662,-89.87195048496602,-93.56470934981112,-93.88625866091162,-75.20654032996377,-80.2496290592168
2025.07.09_0.3_1,index=1.0,37,37.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0037.npy,442169.29243200656,1.5787175090356064e-10,5.780872392191287e-08,-76.52884927582413,-76.68191550027595,-81.76446480745398,-85.24725553231887,-89.96731647783618,-93.5179363266765,-93.73705133890945,-75.0699782186635,-80.15540836604754
2025.07.09_0.3_1,index=1.0,38,38.0,1,6.98060403920294e-05,6.98060403920294e-05_src-index=1.0_chunk-0038.npy,442169.29243200656,1.5787175090356064e-10,5.7663348871911274e-08,-76.62251646558798,-76.66626609095152,-81.90902756953191,-85.26817659154597,-90.00233497952847,-93.27746363120731,-93.40531067873597,-75.09165617330707,-80.2613128359134
