experiment_name,source_wav_id,chunk_index,chunk_start_seconds,chunk_duration_seconds,heat_flux,sample_filename,onb_threshold,q_over_onb,signal_power,band_500_1000_db,band_1000_2000_db,band_2000_3000_db,band_3000_5000_db,band_5000_10000_db,band_10000_15000_db,band_15000_22050_db,band_1000_5000_db,band_2000_5000_db
2025.06.11_0.3_2,index=11.3.69E+05,50,50.0,1,368978.105,368978.105_src-index=11.3.69E+05_chunk-0050.npy,368978.105,1.0,1.506799872237248e-06,-72.25999923674456,-66.77305405293671,-59.58618644648118,-74.31448571978456,-71.6886554679817,-81.21450037333969,-79.57032726807725,-58.705579123248704,-59.44239111712902
2025.06.11_0.3_2,index=11.3.69E+05,6,6.0,1,368978.105,368978.105_src-index=11.3.69E+05_chunk-0006.npy,368978.105,1.0,3.5221694796979865e-05,-56.49693089068944,-51.00553483086695,-46.60483316960871,-67.65041793243982,-55.34763740552711,-66.92253614529855,-68.05333143904963,-45.234839579532746,-46.57082959714128
2025.06.18_0.3_3,index=11.376320,33,33.0,1,376320.1201,376320.1201_src-index=11.376320_chunk-0033.npy,376320.1201,1.0,2.2559711742718585e-08,-81.1361837551857,-82.52451578897465,-82.80339008356478,-89.70892319728556,-89.75309983203509,-93.2880595297239,-89.10161684133342,-79.24268475642491,-81.99743603750692
2025.06.18_0.3_3,index=11.376320,16,16.0,1,376320.1201,376320.1201_src-index=11.376320_chunk-0016.npy,376320.1201,1.0,1.558817585163003e-05,-61.05570249012243,-54.64931987717192,-49.08121000512477,-68.5812944561992,-63.442563605491806,-73.44268716227305,-77.32812837235603,-47.97978371238054,-49.03275364420584
2025.07.09_0.3_1,index=11.442169,18,18.0,1,442169.29243200656,442169.29243200656_src-index=11.442169_chunk-0018.npy,442169.29243200656,1.0,4.8558612942176e-08,-76.50221897496652,-78.14622608030545,-82.91964735917908,-87.32081254256387,-90.1291962582508,-93.9274303189234,-93.66094810368182,-76.52029563216216,-81.57475043605429
2025.07.09_0.3_1,index=11.442169,48,48.0,1,442169.29243200656,442169.29243200656_src-index=11.442169_chunk-0048.npy,442169.29243200656,1.0,6.030124010654387e-08,-76.58672021001286,-76.45519716545284,-80.93473263272186,-85.38845225990364,-88.99312106683873,-92.96033154945653,-93.5342329506566,-74.7398880158761,-79.60376967324173
