experiment_name,source_wav_id,chunk_index,chunk_start_seconds,chunk_duration_seconds,heat_flux,sample_filename,onb_threshold,q_over_onb,signal_power,band_500_1000_db,band_1000_2000_db,band_2000_3000_db,band_3000_5000_db,band_5000_10000_db,band_10000_15000_db,band_15000_22050_db,band_1000_5000_db,band_2000_5000_db
2025.06.11_0.3_2,index=1.3.28E-04,0,0.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0000.npy,368978.105,8.890690140001668e-10,3.322878772732251e-08,-80.58387449115499,-80.44643199336635,-82.42475730326846,-84.51870884636163,-86.16625142281981,-89.95564355127867,-86.47499619413323,-77.3807863224776,-80.33643701465544
2025.06.11_0.3_2,index=1.3.28E-04,1,1.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0001.npy,368978.105,8.890690140001668e-10,3.580600853710813e-08,-80.18474276803664,-80.04879555367083,-82.05720891147197,-84.21991792981689,-85.9045664408828,-89.49585764965143,-86.36701050726052,-77.01151860819064,-79.99500811449354
2025.06.11_0.3_2,index=1.3.28E-04,2,2.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0002.npy,368978.105,8.890690140001668e-10,2.4879210736938303e-08,-81.31996604083366,-81.88729608803754,-83.66843082424587,-86.2720967025879,-87.7534878455417,-90.72143336428617,-87.76161093771465,-78.81678652151264,-81.76770019928358
2025.06.11_0.3_2,index=1.3.28E-04,3,3.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0003.npy,368978.105,8.890690140001668e-10,1.9624069405809207e-08,-81.93339231415263,-82.4012931713691,-84.45827069231223,-88.30805028697684,-90.26189577265919,-92.97238364079986,-90.02393055335557,-79.66116220082839,-82.95955946928649
2025.06.11_0.3_2,index=1.3.28E-04,4,4.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0004.npy,368978.105,8.890690140001668e-10,2.044949016742717e-08,-82.08495959701457,-82.0645541287695,-84.43482851899648,-87.74279776901047,-89.80922890352255,-92.6288324681051,-89.67017182226309,-79.39307794350827,-82.77088963314304
2025.06.11_0.3_2,index=1.3.28E-04,5,5.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0005.npy,368978.105,8.890690140001668e-10,2.1664429636981828e-08,-81.52792599862337,-82.32902033073108,-84.28643303555417,-87.4786470082012,-89.04973894422484,-91.62622441349951,-88.50214722830077,-79.44497773809739,-82.58531577836054
2025.06.11_0.3_2,index=1.3.28E-04,6,6.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0006.npy,368978.105,8.890690140001668e-10,2.241100631668052e-08,-81.73056783244915,-82.2783615585481,-84.29810562846492,-87.01350484143704,-88.21664386648328,-91.2859044833503,-87.94240450501404,-79.34648536325889,-82.43665132050465
2025.06.11_0.3_2,index=1.3.28E-04,7,7.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0007.npy,368978.105,8.890690140001668e-10,2.599892849255295e-08,-81.16557186963192,-81.59722516288048,-83.63691486517354,-86.46444981549102,-87.97117631699848,-90.66599462842805,-87.14356991894442,-78.69406850394927,-81.81422205959002
2025.06.11_0.3_2,index=1.3.28E-04,8,8.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0008.npy,368978.105,8.890690140001668e-10,2.1800831261966532e-08,-81.43659198859773,-82.49507419446351,-84.37080204404597,-87.7073473233568,-89.12088985214561,-91.826641611827,-88.66537186673555,-79.59380224304331,-82.71593795086031
2025.06.11_0.3_2,index=1.3.28E-04,9,9.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0009.npy,368978.105,8.890690140001668e-10,3.0530160299370766e-08,-80.75487407113724,-80.64728192444007,-82.7701536581232,-85.07868386584418,-86.8616146868793,-90.0078009531774,-86.9078051316682,-77.69420964419388,-80.76250145635984
