seed,snr,model_key,model,r2_mean,rmse_all_mean,mae_all_mean,r2_high_mean,rmse_high_mean,mae_high_mean,rmse_onb_mean,mae_onb_mean,roc_auc_cont_mean,pr_auc_cont_mean,accuracy_mean,precision_mean,recall_mean,f1_mean
42,-20,alexnet,AlexNet,0.53784,185122.926489,163376.577405,0.537445,130924.892116,117096.353846,46608.588105,44850.284025,0.825024,0.894992,0.555556,0.555556,1.0,0.714286
42,-20,ensemble__simple_equal,Equal ensemble,0.544356,183813.357989,137392.466228,0.913662,56564.071227,43757.563919,86799.097653,82233.534025,0.911378,0.947904,0.555556,0.555556,1.0,0.714286
42,-20,ensemble__inner_holdout,Inner-holdout ensemble,0.319965,224558.715844,171425.139763,0.873484,68472.039517,54730.004566,144257.955039,142923.7642,0.901417,0.941265,0.555556,0.555556,1.0,0.714286
43,clean,randomforest,RandomForest,0.876519,95689.602517,80064.196059,0.698052,105780.794635,85451.494298,151402.42828,145810.629198,0.93392,0.941704,0.90463,0.996008,0.831667,0.906449
43,clean,conformer,Conformer,0.884958,92361.989837,73366.690026,0.896031,62071.507688,51544.560717,77958.418105,70066.259465,0.949247,0.969413,0.884259,1.0,0.791667,0.883721
43,clean,alexnet,AlexNet,0.891473,89708.321535,77027.481667,0.814455,82921.057722,71182.406996,109836.758603,100941.142407,0.954535,0.973289,0.887037,1.0,0.796667,0.886827
43,clean,ensemble__simple_equal,Equal ensemble,0.913814,79943.602177,64118.704703,0.87993,66704.843665,51744.677389,109185.97431,103175.728779,0.959743,0.976319,0.891667,1.0,0.805,0.891967
43,clean,ensemble__inner_holdout,Inner-holdout ensemble,0.904257,84259.427551,69225.605287,0.878818,67013.196576,55564.445462,98621.492136,92403.388259,0.957906,0.975351,0.888889,1.0,0.8,0.888889
43,0,randomforest,RandomForest,0.876336,95760.4898,80073.004035,0.697405,105894.112846,85458.477794,151832.747193,145668.702311,0.933097,0.940979,0.905556,0.996016,0.833333,0.907441
43,0,conformer,Conformer,0.756701,134318.026516,102017.982448,0.910368,57633.01222,47981.765241,19184.612675,15547.448698,0.905024,0.940552,0.768519,0.744413,0.888333,0.81003
43,0,alexnet,AlexNet,0.768401,131048.552666,101354.186548,0.88261,65956.308806,55564.969966,19487.991639,16074.265465,0.923396,0.954163,0.851852,0.885965,0.841667,0.863248
43,0,ensemble__simple_equal,Equal ensemble,0.859208,102177.015701,76352.77531,0.922721,53514.383253,44492.864006,54953.867012,52289.890396,0.946681,0.967857,0.905556,0.998,0.831667,0.907273
43,0,ensemble__inner_holdout,Inner-holdout ensemble,0.80821,119255.006136,89841.885229,0.920331,54335.787036,46412.354767,26561.086534,24271.876069,0.941431,0.964322,0.902778,0.997988,0.826667,0.904284
43,-4,randomforest,RandomForest,0.876361,95750.566505,80060.242171,0.697497,105877.959832,85435.50644,151796.003703,145622.750228,0.933097,0.940979,0.905556,0.996016,0.833333,0.907441
43,-4,conformer,Conformer,0.691759,151185.245967,115091.369746,0.912473,56952.31224,47289.324643,32637.741114,27849.314233,0.886045,0.930165,0.624074,0.597782,0.988333,0.744975
