weight_randomforest,weight_conformer,weight_alexnet,mean_rmse_all_conditions,mean_rmse_clean,mean_rmse_noisy,max_rmse_excess_vs_rf,conditions_beating_rf,conditions_not_worse_than_rf
0.0,0.34,0.66,158860.07624292877,86606.6078517303,170902.3209747952,118036.42602039615,3,3
0.0,0.35,0.65,159266.47815569173,86518.5808065732,171391.12771387817,118733.25065449011,3,3
0.0,0.36,0.64,159676.57342161686,86432.36667377634,171883.94121292362,119432.91753831465,3,3
0.0,0.37,0.63,160090.32283093498,86347.97292312856,172380.71448223607,120135.40304796176,3,3
0.0,0.38,0.62,160507.68731873864,86265.40701393918,172881.4007028719,120840.6837270085,3,3
0.0,0.39,0.61,160928.627985965,86184.6763936625,173385.95325134875,121548.73628679328,3,3
0.0,0.4,0.6,161353.10611935216,86105.78849646357,173894.32572316696,122574.33103742203,3,3
0.0,0.41,0.59,161781.08321037135,86028.75074172408,174406.47195514588,123629.03832614602,3,3
0.0,0.42,0.58,162212.52097314174,85953.57053248688,174922.34604658425,124686.7619716321,3,3
0.0,0.43,0.57,162647.3813613362,85880.25525383827,175441.9023792526,125747.46481633975,3,3
0.0,0.44,0.56,163085.62658409082,85808.8122712267,175965.09563623485,126811.11020843452,3,3
0.0,0.45,0.55,163527.2191209312,85739.24892871692,176491.88081963357,127877.66199564014,3,3
0.0,0.46,0.54,163972.1217357339,85671.57254717848,177022.2132671598,128947.0845191057,3,3
0.0,0.47,0.53,164420.2974897405,85605.79042240784,177556.04866762928,130019.34260729092,3,3
0.0,0.48,0.52,164871.7097536448,85541.90982318281,178093.34307538846,131094.40156987292,3,3
0.0,0.49,0.51,165326.32221877645,85479.93798924919,178634.05292369763,132172.22719167767,3,3
0.0,0.5,0.5,165784.09890740295,85419.88212923835,179178.13503709703,133252.78572663863,3,3
0.0,0.51,0.49,166245.0041821759,85361.74941851533,179725.546642786,134336.0438917855,3,3
0.0,0.52,0.48,166709.00275474662,85305.54699695711,180276.2453810449,135421.96886126575,3,3
0.0,0.53,0.47,167176.05969357755,85251.28196666065,180830.18931473038,136510.52826040087,3,3
0.0,0.54,0.46,167646.140430977,85198.96138957998,181387.33693787653,137601.69015977945,3,3
0.0,0.55,0.45,168119.2107693842,85148.59228509298,181947.64718343274,138695.42306939012,3,3
0.0,0.56,0.44,168595.23688693345,85100.18162749695,182511.07943017286,139791.6959327949,3,3
0.0,0.57,0.43,169074.1853423243,85053.73634343385,183077.59350880602,140890.47812134592,3,3
0.0,0.58,0.42,169556.02307902742,85009.26330924478,183647.1497073245,141991.73942844616,3,3
0.0,0.59,0.41,170040.71742885312,84966.76934825451,184219.70877561957,143095.45006385667,3,3
0.0,0.6,0.4,170528.23611491107,84926.26122798641,184795.23192939855,144201.58064805059,3,3
0.0,0.61,0.39,171018.54725398918,84887.74565730843,185373.68085343597,145310.10220661666,3,3
0.0,0.62,0.38,171511.61935837884,84851.22928351106,185955.0177041902,146420.9861647121,3,3
0.0,0.63,0.37,172007.42133717373,84816.7186893181,186539.20511181632,147534.2043415666,3,3
0.0,0.64,0.36,172505.9224970686,84784.22038983167,187126.20618160802,148649.728945038,3,3
0.0,0.65,0.35,173007.09254268487,84753.74082941233,187715.98449489695,149767.5325662216,3,3
0.0,0.66,0.34,173510.90157644765,84725.28637849644,188308.50410943956,150887.58817411208,3,3
0.0,0.67,0.33,174017.32009803993,84698.86333035179,188903.72955932128,152009.86911032075,3,3
0.0,0.68,0.32,174526.31900345758,84674.47789777393,189501.62585440488,153134.34908384696,3,3
0.0,0.69,0.31,175037.86958368946,84652.13620972475,190102.15847935027,154261.00216590572,3,3
0.0,0.7,0.3,175551.9435230454,84631.84430791606,190705.29339223358,155389.80278481107,3,3
0.0,0.71,0.29,176068.51289715356,84613.60814334021,191310.99702278912,156520.72572091577,3,3
0.0,0.72,0.28,176587.55017065007,84597.43357275047,191919.23627030003,157653.74610160827,3,3
0.0,0.73,0.27,177109.02819458023,84583.32635509412,192529.97850116124,158788.8393963662,3,3
0.0,0.74,0.26,177632.92020353288,84571.29214790123,193143.1915461381,159925.98141186772,3,3
0.0,0.75,0.25,178159.19981252527,84561.33650363215,193758.8436973408,161065.14828715997,3,3
0.0,0.76,0.24,178687.84101365932,84553.46486598732,194376.90370493795,162206.3164888855,3,3
0.0,0.77,0.23,179218.81817256488,84547.68256618302,194997.34077362853,163349.46280656592,3,3
0.0,0.78,0.22,179752.10602464867,84543.99481919657,195620.12455889065,164494.56434794393,3,3
0.0,0.79,0.21,180287.6796711646,84542.40671998523,196245.22516302782,165641.59853438247,3,3
0.0,0.8,0.2,180825.51457512102,84542.92323968299,196872.61313102735,166790.54309632175,3,3
0.0,0.81,0.19,181365.58655704057,84545.54922177929,197502.2594462508,167941.37606879382,3,3
0.0,0.82,0.18,181907.87179058592,84550.28937828439,198134.13552596953,169094.0757869946,3,3
0.0,0.83,0.17,182452.34679806637,84557.14828588616,198768.21321676305,170248.62088191306,3,3
0.0,0.84,0.16,182998.9884458368,84566.13038210291,199404.46478979246,171404.99027601734,3,3
0.0,0.85,0.15,183547.77393960286,84577.23996143749,200042.86293596379,172563.16317899758,3,3
0.0,0.86,0.14,184098.68081964296,84590.48117153758,200683.3807609938,173723.1190835659,3,3
0.0,0.87,0.13,184651.68695595913,84605.85800936772,201325.99178039102,174884.83776131156,3,3
0.0,0.88,0.12,185206.7705433668,84623.3743173983,201970.66991436153,176048.29925861303,3,3
0.0,0.89,0.11,185763.910096534,84643.03377981712,202617.3894826535,177213.48389260494,3,3
0.0,0.9,0.1,186323.08444497926,84664.83991876931,203266.1251993476,178380.37224720063,3,3
0.0,0.91,0.09,186884.27272803694,84688.79609063103,203916.85216760458,179548.94516916922,3,3
0.0,0.92,0.08,187447.45438979988,84714.90548232316,204569.5458743793,180719.1837642672,3,3
0.0,0.93,0.07,188012.60917404544,84743.17110767066,205224.1821851079,181891.06939342414,3,3
0.0,0.94,0.06,188579.71711915437,84773.59580381367,205880.73733837783,183064.5836689819,3,3
0.0,0.95,0.05,189148.75855302857,84806.18222767628,206539.18794058726,184239.7084509869,3,3
0.0,0.96,0.04,189719.71408801482,84840.93285249901,207199.51096060075,185416.42584353476,3,3
0.0,0.97,0.03,190292.56461584134,84877.84996444121,207861.68372440804,186594.71819116763,3,3
0.0,0.98,0.02,190867.29130257218,84916.93565925925,208525.683909791,187774.56807532295,3,3
0.0,0.99,0.01,191443.87558358596,84958.19183906661,209191.4895410059,188955.95831083338,3,3
0.0,1.0,0.0,192022.29915858398,85001.6202091819,209859.07898348436,190138.87194247695,3,3
0.01,0.0,0.99,146494.69963248767,90147.26913746753,155885.93804832437,95952.73750160482,2,2
0.01,0.01,0.98,146751.58431489873,90003.47548377856,156209.60245341877,96479.57793550882,2,2
0.01,0.02,0.97,147013.4159200462,89861.25389490563,156538.7762575696,97009.39069179907,2,2
0.01,0.03,0.96,147280.16783826108,89720.61174224697,156873.42718759674,97542.15121021522,2,2
0.01,0.04,0.95,147551.8125409653,89581.5564078822,157213.52189647907,98077.83506593881,2,2
0.01,0.05,0.94,147828.32160645083,89444.09528434479,157559.0259934685,98616.41797143473,2,2
0.01,0.06,0.93,148109.66574712214,89308.23577437988,157909.90407591252,99157.87577820088,3,3
0.01,0.07,0.92,148395.81483809577,89173.98529068688,158266.1197626639,99702.18447842756,3,3
0.01,0.08,0.91,148686.73794705098,89041.35125564529,158627.6357289519,100249.32020656836,3,3
0.01,0.09,0.9,148982.40336521817,88910.34110102296,158994.41374258406,100799.2592408248,3,3
0.01,0.1,0.89,149282.7786393913,88780.96226766559,159366.41470134552,101351.97800454572,3,3
0.01,0.11,0.88,149587.83060484772,88653.22220516654,159743.59867146128,101907.45306754448,3,3
0.01,0.12,0.87,149897.52541905915,88527.12837151547,160125.92492698308,102465.66114733451,3,3
0.01,0.13,0.86,150211.82859607396,88402.68823272502,160513.35198996545,103026.57911028598,3,3
0.01,0.14,0.85,150530.70504145598,88279.90926243372,160905.83767129303,103590.18397270511,3,3
0.01,0.15,0.84,150854.11908766138,88158.79894148483,161303.33911202417,104156.45290183775,3,3
0.01,0.16,0.83,151182.03452974066,88039.3647574786,161705.81282511767,104725.3632167992,3,3
0.01,0.17,0.82,151514.41466125203,87921.61420429789,162113.21473741104,105340.39027579952,3,3
0.01,0.18,0.81,151851.22231027816,87805.5547816049,162525.5002317237,105983.67920170136,3,3
0.01,0.19,0.8,152192.41987543946,87691.19399430802,162942.62418896134,106630.26276128736,3,3
0.01,0.2,0.79,152537.96936180195,87578.53935199772,163364.54103010264,107280.1142908704,3,3
0.01,0.21,0.78,152887.83241658198,87467.59836834931,163791.2047579541,107933.20728111497,3,3
0.01,0.22,0.77,153241.97036455508,87358.37856049197,164222.56899856558,108589.5153785363,3,3
0.01,0.23,0.76,153600.34424307954,87250.88744834208,164658.58704220245,109249.01238691519,3,3
0.01,0.24,0.75,153962.9148366532,87145.13255389973,165099.2118837788,109911.67226862992,3,3
0.01,0.25,0.74,154329.642710925,87041.12140050667,165544.39626266135,110577.46914590726,3,3
0.01,0.26,0.73,154700.48824608888,86938.86151206437,165994.09270175963,111246.37730199445,3,3
0.01,0.27,0.72,155075.4116695955,86838.3604122107,166448.25354582627,111918.37118225358,3,3
0.01,0.28,0.71,155454.37308811877,86739.62562345393,166906.83099889624,112593.42539518067,3,3
0.01,0.29,0.7,155837.33251872414,86642.66466626195,167369.77716080117,113271.51471335065,3,3
0.01,0.3,0.69,156224.24991918905,86547.48505810606,167837.0440627029,113952.61407429053,3,3
0.01,0.31,0.68,156615.08521743113,86454.09431245708,168308.58370159345,114636.6985812819,3,3
0.01,0.32,0.67,157009.79834000763,86362.49993773278,168784.34807372012,115323.74350409504,3,3
0.01,0.33,0.66,157408.34923965266,86272.70943619504,169264.28920689557,116013.72427965625,3,3
0.01,0.34,0.65,157810.69792182432,86184.73030279508,169748.35919166252,116706.61651264955,3,3
0.01,0.35,0.64,158216.80447024133,86098.57002396563,170236.5102112873,117402.39597605541,3,3
0.01,0.36,0.63,158626.62907138953,86014.23607635831,170728.69457056143,118101.03861162721,3,3
0.01,0.37,0.62,159040.132037987,85931.73592552524,171224.8647233973,118802.52053030758,3,3
0.01,0.38,0.61,159457.27383139875,85851.0770245428,171724.97329920807,119506.81801258627,3,3
0.01,0.39,0.6,159878.01508299712,85772.2668125772,172228.9731280671,120354.46310245822,3,3
0.01,0.4,0.59,160302.31661446704,85695.31271338965,172736.8172646466,121405.17057155143,3,3
0.01,0.41,0.58,160730.1394570597,85620.2221337803,173248.45901093958,122458.95393822197,3,3
0.01,0.42,0.57,161161.44486980163,85547.00246196995,173763.85193777358,123515.77512270567,3,3
0.01,0.43,0.56,161596.19435666813,85475.66106591783,174282.9499051265,124575.5965641414,3,3
0.01,0.44,0.55,162034.3496827343,85406.20529157492,174805.7070812609,125638.38121432619,3,3
0.01,0.45,0.54,162475.87288931894,85338.6424610715,175332.07796069354,126704.09253148147,3,3
0.01,0.46,0.53,162920.7263081378,85272.97987083795,175862.0173810211,127772.69447403218,3,3
0.01,0.47,0.52,163368.87257448735,85209.22478965815,176395.48053862553,128844.15149440459,3,3
0.01,0.48,0.51,163820.27463947926,85147.38445665449,176932.4230032834,129918.42853284441,3,3
0.01,0.49,0.5,164274.89578134913,85087.46607920382,177472.80073170667,130995.49101125897,3,3
0.01,0.5,0.49,164732.6996158639,85029.47683078394,178016.5700800439,132075.30482708698,3,3
0.01,0.51,0.48,165193.65010585374,84973.42384874984,178563.6878153711,133157.83634719724,3,3
0.01,0.52,0.47,165657.7115698948,84919.31423203932,179114.11112620402,134243.05240182095,3,3
0.01,0.53,0.46,166124.8486901707,84867.15503880814,179667.79763206447,135330.92027851753,3,3
0.01,0.54,0.45,166595.02651954012,84816.95328399377,180224.70539213115,136421.4077161788,3,3
0.01,0.55,0.44,167068.2104878402,84768.7159368085,180784.79291301215,137514.4828990716,3,3
0.01,0.56,0.43,167544.36640745355,84722.4499181613,181348.01915566894,138610.11445092224,3,3
0.01,0.57,0.42,168023.46047816874,84678.16209800926,181914.34354152868,139708.27142904373,3,3
0.01,0.58,0.41,168505.45929136287,84635.8592926385,182483.72595781693,140808.92331850808,3,3
0.01,0.59,0.4,168990.32983353565,84595.54826187533,183056.12676214566,141912.04002636456,3,3
0.01,0.6,0.39,169478.03948922394,84557.23570622822,183631.5067863899,143017.5918759065,3,3
0.01,0.61,0.38,169968.5560433254,84520.92826396145,184209.82733988608,144125.54960098682,3,3
0.01,0.62,0.37,170461.8476828589,84486.63250810148,184791.0502119852,145235.88434038416,3,3
0.01,0.63,0.36,170957.8829981909,84454.35494337708,185375.1376739932,146348.56763222063,3,3
0.01,0.64,0.35,171456.63098375386,84424.10200309454,185962.0524805304,147463.5714084321,3,3
0.01,0.65,0.34,171958.06103828462,84395.88004594966,186551.75787034046,148580.86798929196,3,3
0.01,0.66,0.33,172462.1429646082,84369.69535277801,187144.21756657993,149700.43007798953,3,3
0.01,0.67,0.32,172968.8469689934,84345.55412324551,187739.39577661807,150822.23075526324,3,3
0.01,0.68,0.31,173478.14366010425,84323.46247248111,188337.25719137478,151946.2434740899,3,3
0.01,0.69,0.3,173990.00404757244,84303.42642765418,188937.76698422545,153072.44205443014,3,3
0.01,0.7,0.29,174504.3995402138,84285.45192449878,189540.89080949966,154200.80067803088,3,3
0.01,0.71,0.28,175021.30194391205,84269.54480378753,190146.5948005995,155331.29388328496,3,3
0.01,0.72,0.27,175540.68345919045,84255.71080775805,190754.84556776256,156463.89656014863,3,3
0.01,0.73,0.26,176062.5166784951,84243.95557649479,191365.61019549516,157598.58394511696,3,3
0.01,0.74,0.25,176586.77458320788,84234.28464426956,191978.85623969755,158735.33161625772,3,3
0.01,0.75,0.24,177113.43054041022,84226.70343584428,192594.55172450453,159874.11548830318,3,3
0.01,0.76,0.23,177642.45829941626,84221.21726273933,193212.66513886242,161014.91180780128,3,3
0.01,0.77,0.22,178173.83198809365,84217.83131947163,193833.16543286399,162157.6971483244,3,3
0.01,0.78,0.21,178707.52610898917,84216.5506797662,194456.02201385968,163302.448405738,3,3
0.01,0.79,0.2,179243.51553527632,84217.38029274538,195081.2047423648,164449.1427935271,3,3
0.01,0.8,0.19,179781.7755065405,84220.32497910027,195708.68392778057,165597.75783818192,3,3
0.01,0.81,0.18,180322.28162441752,84225.3894272489,196338.4303239456,166748.27137464122,3,3
0.01,0.82,0.17,180865.00984809888,84232.57818948536,196970.41512453448,167900.6615417953,3,3
0.01,0.83,0.16,181409.93648971966,84241.8956781258,197604.60995831864,169054.90677804616,3,3
0.01,0.84,0.15,181957.03820964007,84253.3461616551,198240.9868843042,170210.98581692606,3,3
0.01,0.85,0.14,182506.29201163474,84266.93376088043,198879.51838676046,171368.87768277386,3,3
0.01,0.86,0.13,183057.67523800133,84282.66244509644,199520.17737015217,172528.561686469,3,3
0.01,0.87,0.12,183611.16556459968,84300.5360282676,200162.93715398834,173690.01742122247,3,3
0.01,0.88,0.11,184166.74099583193,84320.55816523366,200807.7714675983,174853.22475842456,3,3
0.01,0.89,0.1,184724.37985957484,84342.73234794331,201454.6544448468,176018.16384355008,3,3
0.01,0.9,0.09,185284.06080207304,84367.0619017225,202103.56061879813,177184.8150921181,3,3
0.01,0.91,0.08,185845.76278280263,84393.54998158252,202754.4649163393,178353.15918570908,3,3
0.01,0.92,0.07,186409.46506931406,84422.19956857467,203407.34265277057,179523.1770680367,3,3
0.01,0.93,0.06,186975.14723206163,84453.01346619673,204062.16952637245,180694.84994107438,3,3
0.01,0.94,0.05,187542.78913922881,84485.99429685774,204718.92161295732,181868.15926123707,3,3
0.01,0.95,0.04,188112.37095155485,84521.14449840713,205377.57536041283,183043.0867356165,3,3
0.01,0.96,0.03,188683.8731171705,84558.466320734,206038.10758324323,184219.61431826995,3,3
0.01,0.97,0.02,189257.27636644937,84597.96182244307,206700.4954571171,185397.72420656274,3,3
0.01,0.98,0.01,189832.56170688025,84639.632867613,207364.7165134248,186577.39883756277,3,3
0.01,0.99,0.0,190409.71041796668,84683.48112264332,208030.7486338539,187758.62088448723,3,3
0.02,0.0,0.98,145479.0311192204,89678.09604919836,154779.1869642241,94295.87016532313,2,2
0.02,0.01,0.97,145734.479387468,89535.74720748485,155100.9347507985,94820.55190452897,2,2
0.02,0.02,0.96,145994.9139599856,89394.98317904495,155428.23575680904,95348.24386788304,2,2
0.02,0.03,0.95,146260.3080002585,89255.81137153621,155761.05743837883,95878.92106543122,2,2
0.02,0.04,0.94,146530.63373373286,89118.2392024931,156099.3661556062,96412.55864402912,3,3
0.02,0.05,0.93,146805.86247406527,88982.27409908002,156443.1272032295,96949.13188930207,3,3
0.02,0.06,0.92,147085.96465088264,88847.92349782882,156792.30484305826,97488.61622750857,3,3
0.02,0.07,0.91,147370.90983894677,88715.19484436023,157146.86233804454,98030.9872273091,3,3
0.02,0.08,0.9,147660.66678861075,88584.09559308788,157506.76198786453,98576.22060144211,3,3
0.02,0.09,0.89,147955.2034574524,88454.63320690366,157871.9651658772,99124.29220830933,3,3
0.02,0.1,0.88,148254.487042967,88326.81515684363,158242.43235732088,99675.178053472,3,3
0.02,0.11,0.87,148558.4840161982,88200.64892173301,158618.12319860904,100254.9955171071,3,3
0.02,0.12,0.86,148867.16015618754,88076.14198780946,158998.99651758387,100876.31862554478,3,3
0.02,0.13,0.85,149180.48058511945,87953.3018483229,159385.01037458552,101501.12737752404,3,3
0.02,0.14,0.84,149498.40980404115,87832.13600311095,159776.1221041962,102129.39391483596,3,3
0.02,0.15,0.83,149820.9117290375,87712.65195814881,160172.28835751896,102761.09052362872,3,3
0.02,0.16,0.82,150147.94972774162,87594.85722507205,160573.46514485322,103396.18963653242,3,3
0.02,0.17,0.81,150479.48665606594,87478.7593206709,160979.6078786318,104034.66383468543,3,3
0.02,0.18,0.8,150815.48489504008,87364.36576635501,161390.6714164876,104676.48584966469,3,3
0.02,0.19,0.79,151155.90638764642,87251.68408758705,161806.61010432302,105321.62856532133,3,3
0.02,0.2,0.78,151500.71267554763,87140.72181328383,162227.37781925825,105970.06501952375,3,3
0.02,0.21,0.77,151849.86493560523,87031.48647518347,162652.9280123422,106621.76840580965,3,3
0.02,0.22,0.76,152203.32401609275,86923.98560717727,163083.21375091205,107276.71207494929,3,3
0.02,0.23,0.75,152561.0504725129,86818.22674460466,163518.18776049762,107934.86953642138,3,3
0.02,0.24,0.74,152923.00460293205,86714.21742351002,163957.80246616906,108596.214459804,3,3
0.02,0.25,0.73,153289.1464827537,86611.96517985954,164402.01003323606,109260.7206760816,3,3
0.02,0.26,0.72,153659.43599885516,86511.47754871698,164850.76240721153,109928.36217887074,3,3
0.02,0.27,0.71,154033.8328830196,86412.7620633765,165304.0113529601,110599.11312556575,3,3
0.02,0.28,0.7,154412.29674460128,86315.82625445149,165761.7084929596,111272.9478384068,3,3
0.02,0.29,0.69,154794.78710236796,86220.67764891723,166223.80534460975,111949.8408054712,3,3
0.02,0.3,0.68,155181.26341546845,86127.3237691067,166690.25335652876,112629.76668159096,3,3
0.02,0.31,0.67,155571.68511348235,86035.77213165727,167161.00394378658,113312.70028919732,3,3
0.02,0.32,0.66,155966.01162551236,85946.03024640742,167636.00852202985,113998.61661909468,3,3
0.02,0.33,0.65,156364.20240828535,85858.10561524147,168115.21854045932,114687.4908311656,3,3
0.02,0.34,0.64,156766.2169732354,85772.00573088136,168598.58551362774,115379.29825500821,3,3
0.02,0.35,0.63,157172.01491254533,85687.73807562371,169086.06105203228,116074.0143905083,3,3
0.02,0.36,0.62,157581.5559241296,85605.31012002086,169577.5968914811,116771.61490834758,3,3
0.02,0.37,0.61,157994.79983554524,85524.72932150442,170073.14492121869,117472.07565044973,3,3
0.02,0.38,0.6,158411.706626823,85446.00312295031,170572.65721080182,118175.37263036589,3,3
0.02,0.39,0.59,158832.23645221494,85369.13895118352,171076.0860357202,119188.32924304146,3,3
0.02,0.4,0.58,159256.34966085755,85294.14421542168,171583.38390176356,120238.07348365424,3,3
0.02,0.41,0.57,159684.00681635507,85221.02630565602,172094.50356813826,121290.9158079545,3,3
0.02,0.42,0.56,160115.16871528994,85149.79259096891,172609.39806934344,122346.81771953858,3,3
0.02,0.43,0.55,160549.79640467043,85080.45041778612,173128.02073581784,123405.74124805277,3,3
0.02,0.44,0.54,160987.85119832974,85013.00710806389,173650.32521337402,124467.64894286272,3,3
0.02,0.45,0.53,161429.29469229133,84947.46995740874,174176.2654814384,125532.50386673174,3,3
0.02,0.46,0.52,161874.08877912,84883.84623312998,174705.79587011837,126600.26958951235,3,3
0.02,0.47,0.51,162322.19566127838,84822.14317222357,175238.87107612088,127670.9101818548,3,3
0.02,0.48,0.5,162773.57786351186,84762.36797928695,175775.4461775494,128744.39020893574,3,3
0.02,0.49,0.49,163228.1982442858,84704.52782436406,176315.4766476061,129820.67472421075,3,3
0.02,0.5,0.48,163686.0200063,84648.62984072001,176858.91836723,130899.72926319297,3,3
0.02,0.51,0.47,164147.0067061084,84594.68112254527,177405.72763670224,131981.519837262,3,3
0.02,0.52,0.46,164611.12226287005,84542.6887225887,177955.86118625023,133066.01292750443,3,3
0.02,0.53,0.45,165078.33096626127,84492.65964971943,178509.27618568492,134153.17547858955,3,3
0.02,0.54,0.44,165548.59748357732,84444.6008664177,179065.93025310393,135242.97489268187,3,3
0.02,0.55,0.43,166021.88686605342,84398.5192861944,179625.78146269658,136335.37902339356,3,3
0.02,0.56,0.42,166498.16455443512,84354.42177093976,180188.78835168437,137430.35616977775,3,3
0.02,0.57,0.41,166977.39638382808,84312.31512820163,180754.9099264325,138527.8750703655,3,3
0.02,0.58,0.4,167459.54858785696,84272.20610839358,181324.10566776752,139627.90489724796,3,3
0.02,0.59,0.39,167944.58780216417,84234.10140193364,181896.33553553594,140730.4152502051,3,3
0.02,0.6,0.38,168432.48106727778,84198.00763631456,182471.55997243832,141835.3761508828,3,3
0.02,0.61,0.37,168923.1958308784,84163.9313731066,183049.7399071737,142942.75803702004,3,3
0.02,0.62,0.36,169416.6999494939,84131.87910489377,183630.83675692725,144052.5317567265,3,3
0.02,0.63,0.35,169912.96168965125,84101.85725214508,184214.81242923564,145164.66856281273,3,3
0.02,0.64,0.34,170411.94972851296,84073.87216002235,184801.6293232614,146279.14010717353,3,3
0.02,0.65,0.33,170913.63315402615,84047.93009512596,185391.2503305095,147395.91843522532,3,3
0.02,0.66,0.32,171417.9814646119,84024.03724218084,185983.63883501705,148514.975980399,3,3
0.02,0.67,0.31,171924.9645684193,84002.19970066448,186578.7587130451,149636.2855586884,3,3
0.02,0.68,0.3,172434.5527821722,83982.42348137921,187176.57433230436,150759.82036325522,3,3
0.02,0.69,0.29,172946.71682963162,83964.71450297152,187777.05055074167,151885.5539590916,3,3
0.02,0.7,0.28,173461.42783969903,83949.0785884006,188380.15271491546,153013.46027774003,3,3
0.02,0.71,0.27,173978.6573441833,83935.52146135939,188985.84665798733,154143.51361207158,3,3
0.02,0.72,0.26,174498.3772752543,83924.04874265089,189594.09869735487,155275.68861112266,3,3
0.02,0.73,0.25,175020.55996260452,83914.66594652315,190204.87563195138,156409.96027499117,3,3
0.02,0.74,0.24,175545.17813033974,83907.37847696627,190818.14473923534,157546.3039497909,3,3
0.02,0.75,0.23,176072.20489361932,83902.191623975,191433.87377189338,158684.69532266632,3,3
0.02,0.76,0.22,176601.61375506473,83899.11055978105,192052.03095427869,159825.1104168662,3,3
0.02,0.77,0.21,177133.37860095577,83898.14033505878,192672.58497860527,160967.5255868773,3,3
0.02,0.78,0.2,177667.47369723138,83899.28587510868,193295.5050009185,162111.91751361743,3,3
0.02,0.79,0.19,178203.87368531298,83902.55197602295,193920.76063686132,163258.2631996887,3,3
0.02,0.8,0.18,178742.5535777658,83907.9433008379,194548.32195725376,164406.53996468906,3,3
0.02,0.81,0.17,179283.48875381434,83915.46437567759,195178.15948350378,165556.72544058575,3,3
0.02,0.82,0.16,179826.6549547266,83925.11958589403,195810.24418286537,166708.7975671455,3,3
0.02,0.83,0.15,180372.02827908096,83936.91317220866,196444.54746355966,167862.73458742583,3,3
0.02,0.84,0.14,180919.58517792955,83950.84922686056,197081.04116977437,169018.51504332473,3,3
0.02,0.85,0.13,181469.3024498708,83966.93168976654,197719.69757655487,170176.11777118884,3,3
0.02,0.86,0.12,182021.15723604304,83985.16434469889,198360.4893846004,171335.52189748088,3,3
