weight_randomforest,weight_conformer,weight_alexnet,mean_rmse_all_conditions,mean_rmse_clean,mean_rmse_noisy,max_rmse_excess_vs_rf,conditions_beating_rf,conditions_not_worse_than_rf
0.0,0.0,1.0,147515.956265069,90624.70892686187,156997.8308214368,97614.03720560706,2,2
0.0,0.01,0.99,147774.24938982286,90479.49623063602,157323.37491635405,98142.98708640541,2,2
0.0,0.02,0.98,148037.45054782083,90335.84289223277,157654.38515708555,98674.87219400545,2,2
0.0,0.03,0.97,148305.53335690944,90193.75624496028,157990.8295422343,99209.66838906064,2,2
0.0,0.04,0.96,148578.47053466164,90053.24363357127,158332.6750181767,99747.3516662391,2,2
0.0,0.05,0.95,148856.2339236907,89914.31241405435,158679.88750863014,100287.89815595398,2,2
0.0,0.06,0.94,149138.79451838034,89776.96995341119,159032.43194587517,100831.28412600614,2,2
0.0,0.07,0.93,149426.12249292858,89641.22362941915,159390.27230351345,101377.4859831404,3,3
0.0,0.08,0.92,149718.1872306016,89507.08083037812,159753.37163063884,101926.48027451821,3,3
0.0,0.09,0.91,150014.95735408884,89374.54895484063,160121.6920872969,102478.24368910717,3,3
0.0,0.1,0.9,150316.40075684807,89243.63541132396,160495.1949811021,103032.75305899016,3,3
0.0,0.11,0.89,150622.48463532835,89114.34761800355,160873.84080488246,103589.98536059541,3,3
0.0,0.12,0.88,150933.17552195716,88986.69300238621,161257.58927521898,104149.9177158494,3,3
0.0,0.13,0.87,151248.43931877808,88860.67900096218,161646.39937174742,104712.52739325415,3,3
0.0,0.14,0.86,151568.2413316246,88736.3130588348,162040.22937708956,105277.79180889107,3,3
0.0,0.15,0.85,151892.54630471836,88613.60262932644,162439.03691728367,105845.68852735257,3,3
0.0,0.16,0.84,152221.31845558112,88492.55517355999,162842.77900258463,106416.19526260377,3,3
0.0,0.17,0.83,152554.5215101506,88373.17816001365,163251.41206850676,106989.2898787752,3,3
0.0,0.18,0.82,152892.11873799597,88255.4790640489,163664.89201698717,107564.95039088924,3,3
0.0,0.19,0.81,153234.0729875293,88139.46536740917,164083.17425754934,108143.15496552108,3,3
0.0,0.2,0.8,153580.34672111445,88025.1445576891,164506.213748352,108723.88192139629,3,3
0.0,0.21,0.79,153930.902049979,87912.52412777169,164933.96503701352,109307.10972992681,3,3
0.0,0.22,0.78,154285.7007688386,87801.61157523305,165366.38230110623,109905.05168968558,3,3
0.0,0.23,0.77,154644.7043901487,87692.41440171275,165803.41938822134,110565.86632839966,3,3
0.0,0.24,0.76,155007.87417790253,87584.9401122486,166245.0298555115,111229.81958692757,3,3
0.0,0.25,0.75,155375.17118090138,87479.19621457423,166691.16700862255,111896.88587477227,3,3
0.0,0.26,0.74,155746.55626542555,87375.19021837815,167141.78393993346,112567.03976084321,3,3
0.0,0.27,0.73,156121.99014724357,87272.9296345228,167596.83356603037,113240.25597450166,3,3
0.0,0.28,0.72,156501.43342289896,87172.42197422207,168056.26866434506,113916.50940653277,3,3
0.0,0.29,0.71,156884.84660022255,87073.67474817595,168520.04190889696,114595.77511004623,3,3
0.0,0.3,0.7,157272.19012802167,86976.69546566058,168988.10590508184,115278.02830130685,3,3
0.0,0.31,0.69,157663.42442490428,86881.49163357246,169460.41322345962,115963.24436049696,3,3
0.0,0.32,0.68,158058.50990720055,86788.07075542521,169936.91643249645,116651.39883241261,3,3
0.0,0.33,0.67,158457.4070159501,86696.44033029744,170417.56813022553,117342.4674270945,3,3
