created_at,experiment_name,max_freq_hz,noise_dir_name,snr_value,threshold,model_key,model_label,epochs_completed,stopped_by_memory_error,claim_safe,r2_mean,r2_se,rmse_all_mean,rmse_all_se,mae_all_mean,mae_all_se,rmse_onb_mean,rmse_onb_se,mae_onb_mean,mae_onb_se,roc_auc_cont_mean,roc_auc_cont_se,pr_auc_cont_mean,pr_auc_cont_se,accuracy_mean,accuracy_se,precision_mean,precision_se,recall_mean,recall_se,f1_mean,f1_se
2026-09-02T22:51:13,2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-12,-12,271677.6816,alexnet,AlexNet,300,0,True,0.9267198766,0.008304956511,71930.20364,3694.1272,57207.18696,1454.431904,81592.94332,0,65920.71312,0,0.9822505144,0.00906119647,0.989597942,0.005384681741,0.9055555556,0.04625924443,0.9963369963,0.003663003663,0.8416666667,0.07920320794,0.908319636,0.0431055854
2026-09-02T22:51:13,2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-12,-12,271677.6816,cnntf_v2_gap,CNN+Tf v2 GAP,300,0,True,0.9358404349,0.01729384786,66322.33026,8281.79484,50238.13339,7251.292181,93261.65523,0,78295.1992,0,0.9811316872,0.01045601596,0.9894067497,0.005301459594,0.9185185185,0.04225916188,0.9948717949,0.005128205128,0.8648148148,0.06761161579,0.9227358457,0.03863988258
2026-09-02T22:51:13,2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-12,-12,271677.6816,ensemble__inner_holdout,ensemble__inner_holdout,,0,True,0.9347071154,0.01530249972,67235.6883,7405.543966,51920.82447,5267.410015,90454.73617,0,80196.45756,0,0.984538323,0.008067578992,0.9910683024,0.00451270863,0.912037037,0.0455965639,1,0,0.849537037,0.07525818614,0.9151960784,0.04242108262
2026-09-02T22:51:13,2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-12,-12,271677.6816,ensemble__prediction_max,ensemble__prediction_max,,0,True,0.913122264,0.0354161312,75196.56287,14652.8576,62565.66521,12866.8246,75396.77337,0,64582.61242,0,0.9821527778,0.008924174035,0.9897337283,0.005437062989,0.9222222222,0.03517299984,0.9854913611,0.004347374451,0.8796296296,0.06020654891,0.9272151781,0.03095942406
2026-09-02T22:51:13,2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-12,-12,271677.6816,ensemble__simple_equal,ensemble__simple_equal,,0,True,0.931994737,0.01619265431,68592.02237,7687.713797,53417.94349,5919.088603,92679.131,0,82687.83329,0,0.9844212963,0.00811206367,0.9909986095,0.004554153857,0.912962963,0.04494318926,1,0,0.8509259259,0.07454135023,0.9160798122,0.04196317169
2026-09-02T22:51:13,2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-12,-12,271677.6816,ensemble__val_fold_legacy,ensemble__val_fold_legacy,,0,False,0.9371806263,0.01518302146,65908.8344,7546.681964,50305.85091,5421.431082,88855.40418,0,78355.08288,0,0.9841576646,0.008342699359,0.9908653102,0.004595293734,0.9148148148,0.04404722182,1,0,0.8541666667,0.07292658663,0.918127631,0.04094320524
2026-09-02T22:51:13,2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-12,-12,271677.6816,rf,RandomForest,,0,True,0.8785177385,0.02472651225,91922.73804,8495.924643,79551.10886,8759.148953,128323.9685,0,116948.3356,0,0.9498173868,0.0251389056,0.9743753106,0.01338701737,0.9074074074,0.04637955476,0.994005994,0.003211338915,0.8476851852,0.07681419202,0.9111965288,0.04201420425
2026-09-02T23:10:13,2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-16,-16,271677.6816,alexnet,AlexNet,300,0,True,0.8895736061,0.003715881339,88729.98675,3942.12931,69134.02312,4153.228852,152368.7251,0,136634.1973,0,0.9617746914,0.02067021763,0.9794066143,0.01030485984,0.9074074074,0.04728572346,1,0,0.8407407407,0.07969420293,0.9095613407,0.04526660932
2026-09-02T23:10:13,2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-16,-16,271677.6816,cnntf_v2_gap,CNN+Tf v2 GAP,300,0,True,0.9141023847,0.01874899892,77163.79964,7644.96101,58083.75232,6735.053574,90640.72445,0,77100.96775,0,0.9667566872,0.01797926949,0.9819313324,0.009054190176,0.9101851852,0.04425112276,0.9929770322,0.004549269066,0.8509259259,0.07505713416,0.9130604605,0.0422580544
2026-09-02T23:10:13,2025.06.18_0.3_3,maxfreq=10kHz,heatflux_reference_SNR=-16,-16,271677.6816,ensemble__inner_holdout,ensemble__inner_holdout,,0,True,0.9131671056,0.0149099182,78039.9706,6486.110179,60121.87432,5905.469958,118889.1047,0,109409.297,0,0.9691460905,0.01726888244,0.9838324332,0.008092965186,0.9083333333,0.04738533919,1,0,0.8430555556,0.07848143997,0.9110575851,0.04447791784
