experiment_name,max_freq_hz,noise_dir_name,snr_value,model_key,top_frequency_group,mean_r2_drop_after_mask,contributing_fold_rows
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_reference_SNR=-16,-16,cnntf_v2_gap,freq_2000_5000Hz,3.955252368,3
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_reference_SNR=-16,-16,rf,freq_2000_5000Hz,0.3246168643,3
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_reference_SNR=-20,-20,alexnet,freq_1000_2000Hz,183.2509479,3
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_reference_SNR=-20,-20,cnntf_v2_gap,freq_2000_5000Hz,5.63652664,3
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_reference_SNR=-20,-20,rf,freq_2000_5000Hz,0.3339087809,3
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_reference_SNR=-4,-4,alexnet,freq_1000_2000Hz,30.72230825,3
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_reference_SNR=-4,-4,cnntf_v2_gap,freq_2000_5000Hz,2.176950531,3
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_reference_SNR=-4,-4,rf,freq_2000_5000Hz,0.3345436013,3
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_reference_SNR=-8,-8,alexnet,freq_1000_2000Hz,22.66397222,3
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_reference_SNR=-8,-8,cnntf_v2_gap,freq_2000_5000Hz,1.79754468,3
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_reference_SNR=-8,-8,rf,freq_2000_5000Hz,0.3113363559,3
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_reference_SNR=0,0,alexnet,freq_15000_22000Hz,7.106010655,3
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_reference_SNR=0,0,cnntf_v2_gap,freq_2000_5000Hz,1.807444375,3
2025.06.18_0.3_3,maxfreq=22kHz,heatflux_reference_SNR=0,0,rf,freq_2000_5000Hz,0.3432157561,3
