experiment_name,max_freq_hz,snr_value,model_key,model_label,claim_safe,best_single_model_by_r2,best_single_r2,r2_mean,r2_delta_vs_best_single,best_single_recall,recall_mean,recall_delta_vs_best_r2_single,best_single_f1,f1_mean,f1_delta_vs_best_r2_single
2025.07.09_0.3_1,maxfreq=10kHz,-8,ensemble__simple_equal,ensemble__simple_equal,True,cnntf_v2_gap,0.5252386829,0.4716763574,-0.0535623255,0.8759259259,0.8888888889,0.012962963,0.8545890184,0.861946223,0.0073572046
2025.07.09_0.3_1,maxfreq=10kHz,-8,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,cnntf_v2_gap,0.5252386829,0.5015954484,-0.0236432345,0.8759259259,0.9,0.0240740741,0.8545890184,0.8687589952,0.0141699768
2025.07.09_0.3_1,maxfreq=10kHz,0,ensemble__inner_holdout,ensemble__inner_holdout,True,cnntf_v2_gap,0.5378723698,0.547665784,0.0097934142,0.9222222222,0.9074074074,-0.0148148148,0.8848273594,0.8899556299,0.0051282705
2025.07.09_0.3_1,maxfreq=10kHz,0,ensemble__prediction_max,ensemble__prediction_max,True,cnntf_v2_gap,0.5378723698,0.5231840365,-0.0146883333,0.9222222222,0.95,0.0277777778,0.8848273594,0.897630472,0.0128031126
2025.07.09_0.3_1,maxfreq=10kHz,0,ensemble__simple_equal,ensemble__simple_equal,True,cnntf_v2_gap,0.5378723698,0.546336416,0.0084640462,0.9222222222,0.9092592593,-0.0129629629,0.8848273594,0.8885594106,0.0037320512
2025.07.09_0.3_1,maxfreq=10kHz,0,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,cnntf_v2_gap,0.5378723698,0.5800678852,0.0421955154,0.9222222222,0.9185185185,-0.0037037037,0.8848273594,0.8935040358,0.0086766764
2025.07.09_0.3_1,maxfreq=10kHz,no_noise,ensemble__inner_holdout,ensemble__inner_holdout,True,cnntf_v2_gap,0.5588192142,0.5622767505,0.0034575363,0.8962962963,0.9055555556,0.0092592593,0.87807934,0.8806842324,0.0026048924
2025.07.09_0.3_1,maxfreq=10kHz,no_noise,ensemble__prediction_max,ensemble__prediction_max,True,cnntf_v2_gap,0.5588192142,0.5454284119,-0.0133908023,0.8962962963,0.9388888889,0.0425925926,0.87807934,0.8830528228,0.0049734828
2025.07.09_0.3_1,maxfreq=10kHz,no_noise,ensemble__simple_equal,ensemble__simple_equal,True,cnntf_v2_gap,0.5588192142,0.5662066444,0.0073874302,0.8962962963,0.9185185185,0.0222222222,0.87807934,0.8900619668,0.0119826268
2025.07.09_0.3_1,maxfreq=10kHz,no_noise,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,cnntf_v2_gap,0.5588192142,0.5706832118,0.0118639976,0.8962962963,0.9203703704,0.0240740741,0.87807934,0.8895613243,0.0114819843
2025.07.09_0.3_1,maxfreq=3kHz,-12,ensemble__inner_holdout,ensemble__inner_holdout,True,rf,0.4168346623,0.4057411069,-0.0110935554,0.8740740741,0.8851851852,0.0111111111,0.8509758914,0.8333635014,-0.01761239
2025.07.09_0.3_1,maxfreq=3kHz,-12,ensemble__prediction_max,ensemble__prediction_max,True,rf,0.4168346623,0.3632877689,-0.0535468934,0.8740740741,0.9833333333,0.1092592592,0.8509758914,0.8526923077,0.0017164163
2025.07.09_0.3_1,maxfreq=3kHz,-12,ensemble__simple_equal,ensemble__simple_equal,True,rf,0.4168346623,0.4010112809,-0.0158233814,0.8740740741,0.8833333333,0.0092592592,0.8509758914,0.8352456998,-0.0157301916
2025.07.09_0.3_1,maxfreq=3kHz,-12,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,rf,0.4168346623,0.4153205496,-0.0015141127,0.8740740741,0.8888888889,0.0148148148,0.8509758914,0.8405239704,-0.010451921
2025.07.09_0.3_1,maxfreq=3kHz,-16,ensemble__inner_holdout,ensemble__inner_holdout,True,cnntf_v2_gap,0.5270438157,0.5274488945,0.0004050788,0.812962963,0.8703703704,0.0574074074,0.8078201066,0.834602085,0.0267819784
2025.07.09_0.3_1,maxfreq=3kHz,-16,ensemble__prediction_max,ensemble__prediction_max,True,cnntf_v2_gap,0.5270438157,0.4808125941,-0.0462312216,0.812962963,0.9759259259,0.1629629629,0.8078201066,0.8508854288,0.0430653222
2025.07.09_0.3_1,maxfreq=3kHz,-16,ensemble__simple_equal,ensemble__simple_equal,True,cnntf_v2_gap,0.5270438157,0.5243858831,-0.0026579326,0.812962963,0.8759259259,0.0629629629,0.8078201066,0.8391454055,0.0313252989
