experiment_name,snr_value,model_key,model_label,claim_safe,r2_mean_across_frequencies,rmse_all_mean_across_frequencies,mae_all_mean_across_frequencies,rmse_onb_mean_across_frequencies,mae_onb_mean_across_frequencies,roc_auc_cont_mean_across_frequencies,pr_auc_cont_mean_across_frequencies,accuracy_mean_across_frequencies,precision_mean_across_frequencies,recall_mean_across_frequencies,f1_mean_across_frequencies,frequency_condition_count
2025.06.18_0.3_3,-4,ensemble__inner_holdout,ensemble__inner_holdout,True,0.9488858338,58023.66138,43368.17958,68294.83102,58229.94073,0.9972317387,0.9981806328,0.9185185185,0.9914005736,0.8687962963,0.9228290421,5
2025.06.18_0.3_3,-4,ensemble__prediction_max,ensemble__prediction_max,True,0.9200990459,71834.36649,57757.40985,61079.5812,53743.23126,0.9956859568,0.997281053,0.9062962963,0.9432652354,0.8992592592,0.9145411527,5
2025.06.18_0.3_3,-4,ensemble__simple_equal,ensemble__simple_equal,True,0.9456939877,60235.63293,45479.60942,68417.48936,57406.47513,0.9967019033,0.9978011797,0.9148148148,0.9941908252,0.8606481481,0.9191748433,5
2025.06.18_0.3_3,-4,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,0.9518025502,56393.84446,42016.88079,67253.71189,57121.53968,0.9973703704,0.9982586801,0.9185185185,0.9924356512,0.8675925926,0.9226328215,5
2025.06.18_0.3_3,-4,rf,RandomForest,True,0.8959725223,84616.43683,71151.80502,85682.34793,74145.72942,0.9599295268,0.9771415121,0.8948148148,0.9922364945,0.8311111111,0.898911418,5
2025.06.18_0.3_3,-8,alexnet,AlexNet,True,0.9318000702,69303.58027,53872.77956,84763.44762,71673.61386,0.9908847737,0.9944282954,0.9031481482,0.9791102227,0.8541666667,0.9072196782,5
2025.06.18_0.3_3,-8,cnntf_v2_gap,CNN+Tf v2 GAP,True,0.9402025929,61904.95681,46614.49123,79456.15084,68562.72209,0.9911918724,0.9949477683,0.9266666667,0.9947154153,0.8809259259,0.9318299687,5
2025.06.18_0.3_3,-8,ensemble__inner_holdout,ensemble__inner_holdout,True,0.943028105,61956.2542,47415.66436,79410.70874,67956.88722,0.9929565329,0.9957847457,0.9157407408,0.9974419023,0.8593518518,0.9199770959,5
2025.06.18_0.3_3,-8,ensemble__prediction_max,ensemble__prediction_max,True,0.9176852619,72290.65159,59205.13237,68791.3271,59559.08611,0.991788323,0.994967584,0.9222222222,0.9727446665,0.8931481481,0.9279193497,5
2025.06.18_0.3_3,-8,ensemble__simple_equal,ensemble__simple_equal,True,0.9393333579,64160.86877,49865.55786,82254.90571,71250.62288,0.9922350823,0.9953384299,0.9112962963,0.9963409775,0.8528703704,0.9153548723,5
2025.06.18_0.3_3,-8,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,0.9461483022,60049.03187,45655.93711,78666.33444,67560.54398,0.992628858,0.9955616057,0.9157407407,0.997806179,0.8586111111,0.9197211826,5
2025.06.18_0.3_3,-8,rf,RandomForest,True,0.8870175286,88543.28562,76188.28766,108092.544,94350.64869,0.9571363169,0.9764381043,0.8987037037,0.9922174668,0.8363888889,0.9026443984,5
2025.06.18_0.3_3,0,alexnet,AlexNet,True,0.9369373843,66734.53088,51304.67106,67788.98431,59125.07496,0.9984521605,0.9991343238,0.8901851852,0.9593979741,0.8549074074,0.8962938908,5
2025.06.18_0.3_3,0,cnntf_v2_gap,CNN+Tf v2 GAP,True,0.9494308133,57644.27098,42965.42667,58800.36969,50162.127,0.9994104938,0.9995695664,0.9014814815,0.9533609182,0.8812037037,0.90916881,5
2025.06.18_0.3_3,0,ensemble__inner_holdout,ensemble__inner_holdout,True,0.9482690832,59018.83135,44678.80838,57594.13547,49792.31807,0.9990522119,0.9992463373,0.9096296296,0.9821267962,0.8635185185,0.9145705493,5
2025.06.18_0.3_3,0,ensemble__prediction_max,ensemble__prediction_max,True,0.9182763354,73656.5152,58197.79055,53933.00136,46674.92059,0.9957548868,0.9976035191,0.8955555556,0.9323345197,0.8953703704,0.9055541207,5
2025.06.18_0.3_3,0,ensemble__simple_equal,ensemble__simple_equal,True,0.9463818178,60401.8577,45921.31361,57152.97761,48960.15035,0.9987325103,0.9989990184,0.9090740741,0.9903570125,0.8551851852,0.9136696997,5
2025.06.18_0.3_3,0,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,0.9528320791,56376.00631,42264.39404,56890.27493,48912.74724,0.9993343622,0.9994881559,0.9122222222,0.9849361482,0.8646296296,0.9168222629,5
2025.06.18_0.3_3,0,rf,RandomForest,True,0.8941679126,84900.87145,69900.96245,70159.96622,60354.2843,0.9591532922,0.976536028,0.8931481481,0.9922522418,0.8290740741,0.8972679251,5
2025.06.18_0.3_3,no_noise,alexnet,AlexNet,True,0.9471345042,60764.31818,47085.41047,63512.80722,55430.82296,0.9999377572,0.9999592173,0.9001851852,0.9869300313,0.8447222222,0.904874158,5
2025.06.18_0.3_3,no_noise,cnntf_v2_gap,CNN+Tf v2 GAP,True,0.9643254323,49208.12046,37693.1108,47287.85939,39745.88608,0.9999915123,0.9999927757,0.9003703704,0.9605552475,0.8749074074,0.9086634102,5
2025.06.18_0.3_3,no_noise,ensemble__inner_holdout,ensemble__inner_holdout,True,0.9582469814,53333.38143,41104.12952,50220.40787,43815.25129,0.9999300411,0.9999276417,0.9016666667,0.9805083805,0.8543518518,0.9074073862,5
2025.06.18_0.3_3,no_noise,ensemble__prediction_max,ensemble__prediction_max,True,0.925740782,70060.59223,55503.48094,40523.54148,33309.59386,0.9993472222,0.9994065272,0.8964814815,0.9381633579,0.8919444444,0.9066344316,5
2025.06.18_0.3_3,no_noise,ensemble__simple_equal,ensemble__simple_equal,True,0.9534619688,56591.11579,43900.72027,49225.88676,43376.10999,0.9998330761,0.9998252551,0.9040740741,0.9907352485,0.8483333333,0.9091248588,5
2025.06.18_0.3_3,no_noise,ensemble__val_fold_legacy,ensemble__val_fold_legacy,False,0.9618323124,51183.23748,38737.05772,47393.25546,40941.5638,1,1,0.9081481482,0.9888683569,0.8562962963,0.9133195712,5
2025.06.18_0.3_3,no_noise,rf,RandomForest,True,0.896966741,83655.70985,69533.42134,56599.63467,48390.20156,0.9721702675,0.9823470422,0.8790740741,0.9716687999,0.8260185185,0.884089046,5
2025.07.09_0.3_1,-12,alexnet,AlexNet,True,0.2110032456,235162.0547,186784.8238,206038.7443,199504.5715,0.8067335391,0.9074149549,0.7104629629,0.7987807976,0.8555555556,0.8055178097,3
2025.07.09_0.3_1,-12,cnntf_v2_gap,CNN+Tf v2 GAP,True,0.4189888967,200798.3373,153475.8322,170411.646,151171.7264,0.8300308642,0.9202301925,0.7324074074,0.7944554867,0.8703703704,0.8189723557,3
2025.07.09_0.3_1,-12,ensemble__inner_holdout,ensemble__inner_holdout,True,0.4031145127,204313.7496,158227.5186,158420.3141,140252.8145,0.8561008231,0.9270195221,0.7552777778,0.818854652,0.8895061729,0.8370101721,3
2025.07.09_0.3_1,-12,ensemble__prediction_max,ensemble__prediction_max,True,0.3404482027,208524.3707,160263.4393,217404.723,210966.5078,0.8443672839,0.9219186969,0.7611111111,0.7680322135,0.9771604938,0.8517984385,3
2025.07.09_0.3_1,-12,ensemble__simple_equal,ensemble__simple_equal,True,0.4005211157,204761.82,158909.434,158733.7497,140926.7576,0.8604475309,0.9280642648,0.760462963,0.8238291037,0.8913580247,0.8402816869,3
