band_hz,n_wavs,pearson_log_band_power_with_heatflux
500-1000,18,0.9298424155461611
1000-2000,18,0.9298420082996677
2000-3000,18,0.9303417826636701
3000-5000,18,0.9384257959372612
5000-10000,18,0.9389551053127299
10000-15000,18,0.9449213634822842
15000-22050,18,0.9468407153402804
500-3000,18,0.9337221584207991
3000-22050,18,0.9432083506011465
0-22050,18,0.9353605201560699
