run,experiment,maxfreq,snr,fold,model,sample_id,val_local_index,y_true,y_pred,abs_error,method,attribution_units,attribution_sum,output_delta_from_baseline,completeness_error,completeness_relative_error,deletion_prediction_auc,deletion_linear_auc,deletion_area_between_curve,insertion_prediction_auc,insertion_linear_auc,insertion_area_between_curve,top_frequency_bin,top_frequency_hz,top_time_frame,top_time_s,source_csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,alexnet,near_onb_below_val0060,60,221505.1102,168906.796875,52598.313324999996,integrated_gradients,heat_flux,100241.0078125,-5258.859375,105499.8671875,20.061359253878123,1247325.134375,171536.421875,1075788.7125,769226.1976562501,171536.421875,597689.7757812501,5,540.1785714285714,112,0.5022321428571429,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,alexnet,near_onb_above_val0120,120,427276.195,358321.15625,68955.03875,integrated_gradients,heat_flux,-252585136.0,184155.5,-252769291.5,1372.5861649529882,1857742.0726562499,266244.125,1591497.9476562499,1422894.30859375,266244.125,1156650.18359375,23,2308.035714285714,8,0.03794642857142857,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,alexnet,false_negative_val0131,131,427276.195,346772.65625,80503.53875,integrated_gradients,heat_flux,-568603712.0,172607.0,-568776319.0,3295.210037831606,1926800.2999999998,260469.296875,1666331.0031249998,1429639.6882812502,260469.296875,1169170.3914062502,23,2308.035714285714,168,0.7522321428571429,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,alexnet,worst_prediction_val0315,315,859343.9142,719319.6875,140024.2267,integrated_gradients,heat_flux,9809270784.0,545154.03125,9808725629.96875,17992.576533788128,2688241.2249999996,446743.296875,2241497.9281249996,2218999.93203125,446743.296875,1772256.63515625,23,2308.035714285714,104,0.46651785714285715,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,alexnet,low_heatflux_val0180,180,57593.31665,130676.1015625,73082.7849125,integrated_gradients,heat_flux,-244725.0,-43489.5546875,-201235.4453125,4.627213287385998,1484718.1134765625,152420.94140625,1332297.1720703125,747646.748046875,152420.94140625,595225.806640625,9,933.0357142857143,129,0.578125,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,cnntf_v2_gap,near_onb_below_val0060,60,221505.1102,189762.078125,31743.032074999996,integrated_gradients,heat_flux,-108083.5234375,91217.640625,-199301.1640625,2.1848971613049764,227936.955859375,144147.4921875,83789.46367187501,217449.924609375,144147.4921875,73302.43242187501,5,540.1785714285714,79,0.3549107142857143,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/cnntf_v2_gap/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,cnntf_v2_gap,near_onb_above_val0120,120,427276.195,364197.6875,63078.50750000001,integrated_gradients,heat_flux,1352053248.0,265653.25,1351787594.75,5088.541528289226,319548.3296875,231360.4375,88187.89218750002,261586.298828125,231360.4375,30225.861328125,23,2308.035714285714,7,0.033482142857142856,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/cnntf_v2_gap/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,cnntf_v2_gap,worst_prediction_val0006,6,181378.003,69379.359375,111998.643625,integrated_gradients,heat_flux,-76139.28125,-29165.078125,-46974.203125,1.6106318290549753,226486.337109375,83952.8515625,142533.485546875,156741.20429687502,83952.8515625,72788.35273437502,5,540.1785714285714,166,0.7433035714285714,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/cnntf_v2_gap/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,cnntf_v2_gap,low_heatflux_val0180,180,57593.31665,108172.578125,50579.261475,integrated_gradients,heat_flux,-58505.9921875,9628.140625,-68134.1328125,7.076561868611052,238471.2478515625,103368.59765625,135102.6501953125,169500.215625,103368.59765625,66131.61796875001,5,540.1785714285714,157,0.703125,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/cnntf_v2_gap/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,cnntf_v2_gap,high_heatflux_val0300,300,859343.9142,804617.75,54726.1642,integrated_gradients,heat_flux,-42795491328.0,706073.3125,-42796197401.3125,60611.5493160103,389877.21796875005,451578.40625,-61701.18828124995,344873.562890625,451578.40625,-106704.84335937502,23,2308.035714285714,70,0.31473214285714285,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/cnntf_v2_gap/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,alexnet,near_onb_below_val0180,180,315466.1173,282660.0,32806.11729999998,integrated_gradients,heat_flux,83207864.0,132134.21875,83075729.78125,628.722298940826,1076044.496875,216593.296875,859451.2,1014509.5476562501,216593.296875,797916.2507812501,23,2308.035714285714,19,0.08705357142857142,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/alexnet/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,alexnet,near_onb_above_val0240,240,489453.9981,452973.28125,36480.716850000026,integrated_gradients,heat_flux,7443364864.0,302447.5,7443062416.5,24609.436072376197,2435046.61328125,301750.25,2133296.36328125,2100367.57421875,301750.25,1798617.32421875,23,2308.035714285714,18,0.08258928571428571,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/alexnet/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,alexnet,worst_prediction_val0040,40,0.000328047,172901.78125,172901.780921953,integrated_gradients,heat_flux,495779.15625,22376.0,473403.15625,21.156737408383982,970168.490625,161713.984375,808454.50625,844889.10078125,161713.984375,683175.11640625,9,933.0357142857143,170,0.7611607142857143,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/alexnet/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,alexnet,low_heatflux_val0000,0,0.000328047,128464.140625,128464.140296953,integrated_gradients,heat_flux,-544439.125,-22061.640625,-522377.484375,23.67808873575104,1149812.7525390624,139495.03515625,1010317.7173828124,865678.735546875,139495.03515625,726183.700390625,9,933.0357142857143,42,0.18973214285714285,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/alexnet/explainability_summary.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold3,alexnet,high_heatflux_val0300,300,698421.296,719083.6875,20662.391500000027,integrated_gradients,heat_flux,59069632512.0,568557.90625,59069063954.09375,103892.78436684082,3429537.253125,434805.296875,2994731.95625,2436309.18515625,434805.296875,2001503.88828125,23,2308.035714285714,10,0.046875,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold3/alexnet/explainability_summary.csv
