run,experiment,maxfreq,snr,evaluation_unit,model_key,aggregation,n_wavs,claim_safe,claim_note,r2,rmse_all,mae_all,r2_high,rmse_high,mae_high,rmse_onb,mae_onb,n_onb,roc_auc_cont,pr_auc_cont,accuracy,precision,recall,f1,auc_binary,current_strategy,source_csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-20,source_wav_pooled_oof,ensemble__prediction_max,median,18,1,no_outer_validation_labels_used_for_weights,0.92080151074987571,75435.174607681358,56573.078086150163,0.94671364986223172,37066.500403645216,28965.531774999996,3964.0737499999814,3964.0737499999814,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,False,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_-20.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-20,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.93899319284479343,66207.105203234678,48746.27233067403,0.95376372174511281,34527.49187689252,24421.311112494557,20899.948030490312,20899.948030490312,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,True,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=-20/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_-20.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,source_wav_pooled_oof,rf,median,18,1,outer_GroupKFold_OOF,0.91329095508731162,78931.008636200422,61528.292905073766,0.88111751825295892,55364.646173731933,44643.113781249995,32826.160625000019,32826.160625000019,1,1,1,1,1,1,1,1,True,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_0.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,outer_GroupKFold_OOF,0.94792969025110629,61166.063585428768,37053.080460802943,0.98747945775084167,17967.397104926738,11567.501512499992,4881.9018749999814,4881.9018749999814,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,True,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_0.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,source_wav_pooled_oof,alexnet,median,18,1,outer_GroupKFold_OOF,0.88859002594512027,89470.010400534491,67649.954937252609,0.78341668580306667,74728.470758334355,57942.165318750005,20110.808124999981,20110.808124999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,True,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_0.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.93238858396083857,69698.826679952486,50035.184514550063,0.92685814442389347,43426.675590148137,30147.629127083361,2044.9835416666465,2044.9835416666465,1,1,1,1,1,1,1,1,True,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_0.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,source_wav_pooled_oof,ensemble__prediction_max,median,18,1,no_outer_validation_labels_used_for_weights,0.93192997785337306,69934.80966402957,46752.511346566826,0.95379591779239903,34515.468392399933,27344.658934374995,33343.582500000019,33343.582500000019,1,1,1,1,1,1,1,1,False,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_0.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,0,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.92976465736310554,71038.421713251781,49871.814207687603,0.92490742668280279,44001.967004850128,29664.610151112582,4767.1408976961975,4767.1408976961975,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,True,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=22kHz/heatflux_reference_SNR=0/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_0.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,no_noise,source_wav_pooled_oof,rf,median,18,1,outer_GroupKFold_OOF,0.91487859458828014,78205.058285039835,60027.424119309886,0.88506944408586719,54436.644983476515,42713.40565624999,21374.011249999981,21374.011249999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,True,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=3kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_no_noise.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,no_noise,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,outer_GroupKFold_OOF,0.9456597676933356,62485.060785167203,42113.441440837669,0.95434548257455043,34309.585848171533,22895.089840625005,10414.729999999981,10414.729999999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,True,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260914_selected_log_architecture/maxfreq=3kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/wav_eval/wav_metrics_no_noise.csv
