run,experiment,maxfreq,snr,fold,model,sample_id,method,repeat,noise_fraction_of_sample_std,pearson_abs_map,cosine_abs_map,relative_l1_abs_map,source_csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,2,0.01,0.9764227190801779,0.9795855206771253,0.3905083366086387,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,1,0.01,0.99995668031685,0.9999555892139009,0.04487664444718448,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,2,0.01,0.9999580757678165,0.9999571116826005,0.044503731163373694,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,false_negative_val0230,integrated_gradients,1,0.01,0.9999830008237559,0.9999819239596294,0.06230084572645309,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,false_negative_val0230,integrated_gradients,2,0.01,0.9999827378167642,0.9999816740788848,0.06192202245561265,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,worst_prediction_val0141,integrated_gradients,1,0.01,0.9755546501820732,0.9795175634187472,0.3603745178873451,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,worst_prediction_val0141,integrated_gradients,2,0.01,0.9763892790526999,0.9802295247842071,0.3536034593058695,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,1,0.01,0.9893028312870029,0.9904235109585731,0.297892950709144,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,2,0.01,0.9891964397499539,0.9903327273462702,0.29289702687591557,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold1/cnntf_v2_gap/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,alexnet,near_onb_below_val0060,integrated_gradients,1,0.01,0.9624490886862265,0.9691932150239807,0.36984900267912607,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,alexnet,near_onb_below_val0060,integrated_gradients,2,0.01,0.9624321751373058,0.9692047780241609,0.3758556525679591,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,alexnet,near_onb_above_val0120,integrated_gradients,1,0.01,0.9999631810190703,0.999962049048174,0.04365613958502729,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,alexnet,near_onb_above_val0120,integrated_gradients,2,0.01,0.9999645863852136,0.9999635293938538,0.04326820770737411,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,alexnet,false_negative_val0131,integrated_gradients,1,0.01,0.999922860733961,0.9999214977566052,0.044587174486734424,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,alexnet,false_negative_val0131,integrated_gradients,2,0.01,0.9999208069985513,0.9999196838658699,0.04421998492464823,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,alexnet,worst_prediction_val0315,integrated_gradients,1,0.01,0.9999572546130292,0.9999571281157329,0.0382538875422138,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,alexnet,worst_prediction_val0315,integrated_gradients,2,0.01,0.9999585611498276,0.9999585594773716,0.037850278985759905,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,alexnet,low_heatflux_val0180,integrated_gradients,1,0.01,0.9794226767948317,0.9821969096182642,0.32104203951372223,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,alexnet,low_heatflux_val0180,integrated_gradients,2,0.01,0.9781246553306134,0.981108364715233,0.3342291831952345,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,cnntf_v2_gap,near_onb_below_val0060,integrated_gradients,1,0.01,0.9718091110943347,0.9767562349565019,0.3763244433875221,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/cnntf_v2_gap/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,cnntf_v2_gap,near_onb_below_val0060,integrated_gradients,2,0.01,0.9703045965631343,0.9755355468241586,0.3854863802906953,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/cnntf_v2_gap/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,cnntf_v2_gap,near_onb_above_val0120,integrated_gradients,1,0.01,0.999962450341965,0.9999608328267889,0.0456559656601507,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/cnntf_v2_gap/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,cnntf_v2_gap,near_onb_above_val0120,integrated_gradients,2,0.01,0.9999626747231993,0.9999611707371847,0.04520651134973495,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/cnntf_v2_gap/input_stability.csv
20260914_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,cnntf_v2_gap,worst_prediction_val0006,integrated_gradients,1,0.01,0.9851266291212499,0.9871056089745193,0.3172456132819519,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/202609/14_selected_log_architecture/maxfreq=22kHz/heatflux_no_noise/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/cnntf_v2_gap/input_stability.csv
