model,r2_mean,rmse_all_mean,mae_all_mean,r2_high_mean,rmse_high_mean,mae_high_mean,rmse_onb_mean,mae_onb_mean,auc_binary_mean,roc_auc_cont_mean,pr_auc_cont_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,r2_se,rmse_all_se,mae_all_se,r2_high_se,rmse_high_se,mae_high_se,rmse_onb_se,mae_onb_se,auc_binary_se,roc_auc_cont_se,pr_auc_cont_se,accuracy_se,precision_se,recall_se,f1_se
RandomForest,0.829925,112301.328659,95370.689669,0.541161,110551.277207,87748.287927,71783.319598,47704.589067,0.957917,0.993816,0.993230,0.958333,0.952183,0.954167,0.953174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
CNN+Tf v2 GAP,-0.549256,338942.337533,303413.114210,-6.139172,436071.188389,421843.147984,383996.099145,357575.403695,0.959792,0.998455,0.998236,0.955556,0.910646,0.997917,0.952286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
AlexNet,0.784530,126403.017714,101768.020556,0.178703,147905.227440,111326.208956,122637.675851,101045.739375,0.943750,0.989632,0.992045,0.950000,1.000000,0.887500,0.940397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Ensemble individual-performance KFold,0.828563,112749.896753,95458.104362,0.549591,109531.036728,93179.702778,76284.448775,56513.548845,0.968125,0.996372,0.996467,0.969444,0.974522,0.956250,0.965300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
