seed,arm,model,threshold,chunks,wavs,r2,rmse_kw_m2,mae_kw_m2,sse_w_m2_squared,near_onb_chunks,near_onb_rmse_kw_m2,misses,false_alarms
42,off,randomforest,run_271677,1080,18,0.8423358010636975,108.1261516272542,91.8884367726269,12626565838977.564,60,101.58668789584166,95,2
42,off,randomforest,source_text_376000,1080,18,0.8423358010636975,108.1261516272542,91.8884367726269,12626565838977.564,60,86.60985498202055,100,0
42,off,conformer,run_271677,1080,18,0.903988606922152,84.37729283600773,65.10329965979338,7689089750040.073,60,119.77434881858858,119,0
42,off,conformer,source_text_376000,1080,18,0.903988606922152,84.37729283600773,65.10329965979338,7689089750040.073,60,74.98498793804056,66,0
42,off,alexnet,run_271677,1080,18,0.9113038597714467,81.09919854375183,63.80045533225143,7103246404793.989,60,119.81809467928258,134,0
42,off,alexnet,source_text_376000,1080,18,0.9113038597714467,81.09919854375183,63.80045533225143,7103246404793.989,60,87.63328449334621,62,0
42,off,ensemble__inner_holdout,run_271677,1080,18,0.9091331520624448,82.08559175462193,63.558786343461676,7277087923602.971,60,114.77549731640117,120,0
42,off,ensemble__inner_holdout,source_text_376000,1080,18,0.9091331520624448,82.08559175462193,63.558786343461676,7277087923602.971,60,78.48715148033477,68,0
42,off,equal_offline,run_271677,1080,18,0.9034908792668469,84.59571808171962,66.89017299689677,7728950359182.727,60,108.84252106008398,118,0
42,off,equal_offline,source_text_376000,1080,18,0.9034908792668469,84.59571808171962,66.89017299689677,7728950359182.727,60,80.00099195021674,70,0
42,on,randomforest,run_271677,1080,18,0.8500694630836332,105.44093536963993,84.44308442345555,12007214119754.553,60,186.26921022827605,103,2
42,on,randomforest,source_text_376000,1080,18,0.8500694630836332,105.44093536963993,84.44308442345555,12007214119754.553,60,94.46623973568674,91,2
42,on,conformer,run_271677,1080,18,0.8905782878629191,90.0774233502191,77.29204564344374,8763057573207.768,60,132.81723533978365,115,0
42,on,conformer,source_text_376000,1080,18,0.8905782878629191,90.0774233502191,77.29204564344374,8763057573207.768,60,80.58282224151598,61,0
42,on,alexnet,run_271677,1080,18,0.8937281139409585,88.77146679885092,73.6632301296183,8510803183029.051,60,139.611331413355,129,0
42,on,alexnet,source_text_376000,1080,18,0.8937281139409585,88.77146679885092,73.6632301296183,8510803183029.051,60,90.57708838879807,64,0
42,on,ensemble__inner_holdout,run_271677,1080,18,0.905616028902519,83.65912630310137,69.02100364045948,7558757366902.13,60,140.85834463417265,117,0
42,on,ensemble__inner_holdout,source_text_376000,1080,18,0.905616028902519,83.65912630310137,69.02100364045948,7558757366902.13,60,83.3435417636823,62,0
42,on,equal_offline,run_271677,1080,18,0.9076799445652156,82.73937387521386,65.89472029599739,7393468308403.416,60,149.96464888078393,114,0
42,on,equal_offline,source_text_376000,1080,18,0.9076799445652156,82.73937387521386,65.89472029599739,7393468308403.416,60,85.39061639001278,63,0
43,off,randomforest,run_271677,1080,18,0.8415296384822194,108.40223242743794,92.19467762173569,12691127514872.457,60,102.51747353593679,95,2
43,off,randomforest,source_text_376000,1080,18,0.8415296384822194,108.40223242743794,92.19467762173569,12691127514872.457,60,86.08258146584325,99,0
43,off,conformer,run_271677,1080,18,0.9199542688149681,77.0430184946194,64.5517330723038,6410476834663.248,60,67.53349660605065,122,1
43,off,conformer,source_text_376000,1080,18,0.9199542688149681,77.0430184946194,64.5517330723038,6410476834663.248,60,88.62090197053705,67,0
43,off,alexnet,run_271677,1080,18,0.8684230947962579,98.77659140424699,85.99732127882051,10537360210196.883,60,83.10886877114812,119,6
43,off,alexnet,source_text_376000,1080,18,0.8684230947962579,98.77659140424699,85.99732127882051,10537360210196.883,60,77.74326060352523,69,0
43,off,ensemble__inner_holdout,run_271677,1080,18,0.9077259479050273,82.71875667668998,69.00696302902499,7389784122628.438,60,74.01119048238073,120,0
43,off,ensemble__inner_holdout,source_text_376000,1080,18,0.9077259479050273,82.71875667668998,69.00696302902499,7389784122628.438,60,81.65252849733737,67,0
43,off,equal_offline,run_271677,1080,18,0.9073506471181483,82.88680452719797,65.32766835796699,7419840153908.32,60,79.59559415398103,112,0
43,off,equal_offline,source_text_376000,1080,18,0.9073506471181483,82.88680452719797,65.32766835796699,7419840153908.32,60,80.7271537119499,68,0
43,on,randomforest,run_271677,1080,18,0.8581126340608809,102.57371026171057,82.18594067725765,11363075319801.615,60,174.6971283107163,105,2
43,on,randomforest,source_text_376000,1080,18,0.8581126340608809,102.57371026171057,82.18594067725765,11363075319801.615,60,93.37158996958577,89,2
43,on,conformer,run_271677,1080,18,0.8944471441023992,88.47064549122696,76.39530086776023,8453219522725.106,60,129.21041854140867,123,0
43,on,conformer,source_text_376000,1080,18,0.8944471441023992,88.47064549122696,76.39530086776023,8453219522725.106,60,81.20011183591195,57,0
43,on,alexnet,run_271677,1080,18,0.9048312305575049,84.00621716444545,64.05485351754588,7621608084062.365,60,161.21658864620753,135,0
43,on,alexnet,source_text_376000,1080,18,0.9048312305575049,84.00621716444545,64.05485351754588,7621608084062.365,60,101.75599126323938,61,0
43,on,ensemble__inner_holdout,run_271677,1080,18,0.9101991196838005,81.60269441232957,65.620896758939,7191719714180.208,60,146.91290248042685,121,0
43,on,ensemble__inner_holdout,source_text_376000,1080,18,0.9101991196838005,81.60269441232957,65.620896758939,7191719714180.208,60,87.40241845654249,61,0
43,on,equal_offline,run_271677,1080,18,0.9091611507879314,82.07294429808482,63.982647352476555,7274845640617.057,60,153.13493768788624,121,0
43,on,equal_offline,source_text_376000,1080,18,0.9091611507879314,82.07294429808482,63.982647352476555,7274845640617.057,60,89.14331138421437,61,0
44,off,randomforest,run_271677,1080,18,0.8431449602356329,107.84833392398987,91.76954343091393,12561764180594.855,60,102.84749759161035,95,2
