seed,model,source_wav_id,y_true_w_m2,region_run_threshold,chunks,sse_reduction_on_minus_off_w_m2_squared
42,equal_offline,index=10.322114,322114.2428,above_onb,60,-595970508177.8871
42,equal_offline,index=11.376320,376320.1201,above_onb,60,-53483919266.86053
42,equal_offline,index=12.434018,434018.0833,above_onb,60,55127585865.42832
42,equal_offline,index=13.496023,496023.3525,above_onb,60,-22967232346.056755
42,equal_offline,index=14.562158,562158.7854,above_onb,60,-93950446860.18524
42,equal_offline,index=15.633482,633482.536,above_onb,60,-123498710481.87659
42,equal_offline,index=16.709792,709792.7143,above_onb,60,-70446917080.906
42,equal_offline,index=17.789500,789500.1968,above_onb,60,36310984275.85728
42,equal_offline,index=18.873637,873637.0359,above_onb,60,135879683775.10849
42,equal_offline,index=2.2380,2380.025286,below_onb,60,666369563299.213
42,equal_offline,index=3.21242,21242.86319,below_onb,60,685581573938.0411
42,equal_offline,index=4.58389,58389.85471,below_onb,60,449519663738.45404
42,equal_offline,index=5.113188,113188.2901,below_onb,60,58826653875.94481
42,equal_offline,index=6.146381,146381.6505,below_onb,60,-76428614491.48198
42,equal_offline,index=7.184190,184190.9699,below_onb,60,-170255554950.07053
42,equal_offline,index=8.225704,225704.9618,below_onb,60,-624090401104.7314
42,equal_offline,index=9.271677,271677.6816,near_onb,60,-638562091393.3197
43,randomforest,index=1.0,-1.42e-06,below_onb,60,1896952038688.8435
43,randomforest,index=10.322114,322114.2428,above_onb,60,-1458155710602.9023
43,randomforest,index=11.376320,376320.1201,above_onb,60,-78482578897.49458
43,randomforest,index=12.434018,434018.0833,above_onb,60,51038746478.897064
43,randomforest,index=13.496023,496023.3525,above_onb,60,24491651633.8578
43,randomforest,index=14.562158,562158.7854,above_onb,60,-3626328751.8735695
43,randomforest,index=15.633482,633482.536,above_onb,60,7908196202.800763
43,randomforest,index=16.709792,709792.7143,above_onb,60,30463139158.260384
43,randomforest,index=17.789500,789500.1968,above_onb,60,-17913605399.1008
43,randomforest,index=18.873637,873637.0359,above_onb,60,-36830164656.26642
43,randomforest,index=2.2380,2380.025286,below_onb,60,1528438023735.668
