experiment_name,max_freq_hz,noise_dir_name,r2_mean,rmse_all_mean,rmse_onb_mean,roc_auc_cont_mean,pr_auc_cont_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,epochs_completed
2025.06.11_0.3_2,maxfreq=10kHz,heatflux_SNR=-20,0.7195271894,138152.1523,82776.33123,1.0,1.0,0.7527777778,0.8574074074,0.8089740947,0.7971066004,153|131|96
2025.06.11_0.3_2,maxfreq=15kHz,heatflux_no_noise,0.3562421058,197690.8005,100524.9999,0.9764020229,0.9873778704,0.6611111111,0.6981481481,0.9352750809,0.7690621696,130|161|269
2025.06.11_0.3_2,maxfreq=15kHz,heatflux_SNR=0,0.2997205224,208036.3024,140160.497,1.0,1.0,0.6324074074,0.7074074074,0.862244898,0.725714151,132|272|191
2025.06.11_0.3_2,maxfreq=15kHz,heatflux_SNR=-4,0.4824326983,187531.714,59820.56366,1.0,1.0,0.5555555556,0.5555555556,1.0,0.7142095283,145|124|222
2025.06.11_0.3_2,maxfreq=15kHz,heatflux_SNR=-8,0.2911290653,221050.8581,106144.4981,1.0,1.0,0.5555555556,0.5555555556,1.0,0.7142095283,136|208|222
2025.06.11_0.3_2,maxfreq=15kHz,heatflux_SNR=-12,0.4974484366,185518.3995,92515.35621,1.0,1.0,0.6564814815,0.7055555556,0.9107744108,0.759477405,219|231|144
2025.06.11_0.3_2,maxfreq=15kHz,heatflux_SNR=-16,0.5606455219,176152.4956,60270.3218,1.0,1.0,0.6703703704,0.7074074074,0.9319727891,0.7746520834,125|192|119
2025.06.11_0.3_2,maxfreq=15kHz,heatflux_SNR=-20,0.7760572864,122337.8444,53163.31321,1.0,1.0,0.7814814815,0.8481481481,0.8808146187,0.8360593947,242|161|254
2025.06.11_0.3_2,maxfreq=22kHz,heatflux_no_noise,0.4942282318,174382.0166,101427.1277,0.9754263809,0.9871016639,0.7407407407,0.8481481481,0.807328953,0.7866696965,199|266|259
2025.06.11_0.3_2,maxfreq=22kHz,heatflux_SNR=0,0.6220023405,159365.1348,161586.9267,1.0,1.0,0.7805555556,1.0,0.6046661383,0.7508502251,182|127|157
2025.06.11_0.3_2,maxfreq=22kHz,heatflux_SNR=-4,0.3607237577,210444.8823,91060.08461,1.0,1.0,0.5555555556,0.5555555556,1.0,0.7142095283,125|247|164
2025.06.11_0.3_2,maxfreq=22kHz,heatflux_SNR=-8,0.1913630071,235765.1387,116026.7372,1.0,1.0,0.5555555556,0.5555555556,1.0,0.7142095283,131|136|88
2025.06.11_0.3_2,maxfreq=22kHz,heatflux_SNR=-12,0.7335439049,138186.2589,34272.61926,1.0,1.0,0.7564814815,0.8574074074,0.8153817082,0.8013794786,207|245|159
