snr,fold,model,sample_id,val_local_index,y_true,y_pred,abs_error,method,attribution_units,attribution_sum,output_delta_from_baseline,completeness_error,completeness_relative_error,deletion_prediction_auc,deletion_linear_auc,deletion_area_between_curve,insertion_prediction_auc,insertion_linear_auc,insertion_area_between_curve,top_frequency_bin,top_frequency_hz,top_time_frame,top_time_s
0,3,cnntf_v2_gap,near_onb_below_val0180,180,315466.1173,255409.0625,60057.05479999998,group_occlusion,heat_flux_change,nan,-206687.15625,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,112,0.5022321428571429
0,3,cnntf_v2_gap,near_onb_above_val0240,240,489453.9981,497518.0,8064.001899999974,integrated_gradients,heat_flux,44041834496.0,35421.78125,44041799074.21875,1243353.5954440108,533051.225,479807.328125,53243.89687499998,539500.92109375,479807.328125,59693.59296875005,167,2243.3035714285716,18,0.08258928571428571
0,3,cnntf_v2_gap,near_onb_above_val0240,240,489453.9981,497518.0,8064.001899999974,group_occlusion,heat_flux_change,nan,35421.78125,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,112,0.5022321428571429
0,3,cnntf_v2_gap,worst_prediction_val0002,2,0.000328047,249509.421875,249509.421546953,integrated_gradients,heat_flux,-811462.0,-212586.796875,-598875.203125,2.817085594817705,454107.816015625,355799.1015625,98308.71445312502,495250.14453125,355799.1015625,139451.04296875,54,729.9107142857143,126,0.5647321428571429
0,3,cnntf_v2_gap,worst_prediction_val0002,2,0.000328047,249509.421875,249509.421546953,group_occlusion,heat_flux_change,nan,-212586.796875,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,168,0.7522321428571429
0,3,cnntf_v2_gap,low_heatflux_val0000,0,0.000328047,151067.96875,151067.968421953,integrated_gradients,heat_flux,-1016408.4375,-311028.25,-705380.1875,2.2678974900189934,442176.6515625,306582.09375,135594.5578125,469367.66484375,306582.09375,162785.57109375,54,729.9107142857143,206,0.921875
0,3,cnntf_v2_gap,low_heatflux_val0000,0,0.000328047,151067.96875,151067.968421953,group_occlusion,heat_flux_change,nan,-311028.25,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,168,0.7522321428571429
0,3,cnntf_v2_gap,high_heatflux_val0300,300,698421.296,763223.25,64801.95400000003,integrated_gradients,heat_flux,309604286464.0,301127.03125,309603985336.96875,1028150.7576778488,559487.359375,612660.546875,-53173.1875,603817.61953125,612660.546875,-8842.927343750023,167,2243.3035714285716,125,0.5602678571428571
0,3,cnntf_v2_gap,high_heatflux_val0300,300,698421.296,763223.25,64801.95400000003,group_occlusion,heat_flux_change,nan,301127.03125,nan,nan,nan,nan,nan,nan,nan,nan,19,261.1607142857143,112,0.5022321428571429
0,3,alexnet,near_onb_below_val0180,180,315466.1173,250549.640625,64916.47667499998,integrated_gradients,heat_flux,-25530016.0,-168156.296875,-25361859.703125,150.8231340392676,1277172.5140625,334627.6875,942544.8265625001,1262783.7390625,334627.6875,928156.0515625,168,2256.6964285714284,59,0.265625
0,3,alexnet,near_onb_below_val0180,180,315466.1173,250549.640625,64916.47667499998,grad_cam,relative_importance,nan,-168156.296875,nan,nan,988618.0734375,334627.6875,653990.3859375,1025904.8171875,334627.6875,691277.1296875,158,2122.7678571428573,215,0.9620535714285714
0,3,alexnet,near_onb_below_val0180,180,315466.1173,250549.640625,64916.47667499998,group_occlusion,heat_flux_change,nan,-168156.296875,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,56,0.25223214285714285
0,3,alexnet,near_onb_above_val0240,240,489453.9981,452586.625,36867.373100000026,integrated_gradients,heat_flux,-3831508992.0,33880.6875,-3831542872.6875,113089.28936839018,2675288.48984375,435646.703125,2239641.78671875,2292855.196875,435646.703125,1857208.49375,168,2256.6964285714284,18,0.08258928571428571
0,3,alexnet,near_onb_above_val0240,240,489453.9981,452586.625,36867.373100000026,grad_cam,relative_importance,nan,33880.6875,nan,nan,1368911.59296875,435646.703125,933264.88984375,1525808.9656250002,435646.703125,1090162.2625000002,195,2618.3035714285716,0,0.002232142857142857
0,3,alexnet,near_onb_above_val0240,240,489453.9981,452586.625,36867.373100000026,group_occlusion,heat_flux_change,nan,33880.6875,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,112,0.5022321428571429
0,3,alexnet,worst_prediction_val0008,8,0.000328047,264336.96875,264336.968421953,integrated_gradients,heat_flux,3768019.5,-154368.96875,3922388.46875,25.409177119672893,1274199.02890625,341521.734375,932677.2945312499,1027880.40625,341521.734375,686358.671875,56,756.6964285714286,136,0.609375
0,3,alexnet,worst_prediction_val0008,8,0.000328047,264336.96875,264336.968421953,grad_cam,relative_importance,nan,-154368.96875,nan,nan,745285.98828125,341521.734375,403764.25390625,783142.7859375,341521.734375,441621.05156249995,158,2122.7678571428573,215,0.9620535714285714
0,3,alexnet,worst_prediction_val0008,8,0.000328047,264336.96875,264336.968421953,group_occlusion,heat_flux_change,nan,-154368.96875,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,56,0.25223214285714285
0,3,alexnet,low_heatflux_val0000,0,0.000328047,176855.734375,176855.734046953,integrated_gradients,heat_flux,3727958.0,-241850.203125,3969808.203125,16.414326520425575,1323430.932421875,297780.8671875,1025650.065234375,1210458.60390625,297780.8671875,912677.7367187501,56,756.6964285714286,145,0.6495535714285714
0,3,alexnet,low_heatflux_val0000,0,0.000328047,176855.734375,176855.734046953,grad_cam,relative_importance,nan,-241850.203125,nan,nan,851255.276171875,297780.8671875,553474.408984375,834343.46953125,297780.8671875,536562.60234375,195,2618.3035714285716,215,0.9620535714285714
0,3,alexnet,low_heatflux_val0000,0,0.000328047,176855.734375,176855.734046953,group_occlusion,heat_flux_change,nan,-241850.203125,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,56,0.25223214285714285
0,3,alexnet,high_heatflux_val0300,300,698421.296,699658.9375,1237.641500000027,integrated_gradients,heat_flux,-75190730752.0,280953.0,-75191011705.0,267628.43502293975,2884504.690625,559183.09375,2325321.596875,2462639.4171875,559183.09375,1903456.3234374998,170,2283.4821428571427,11,0.05133928571428571
0,3,alexnet,high_heatflux_val0300,300,698421.296,699658.9375,1237.641500000027,grad_cam,relative_importance,nan,280953.0,nan,nan,1620981.746875,559183.09375,1061798.653125,1843653.3046875,559183.09375,1284470.2109375,0,6.696428571428571,0,0.002232142857142857
0,3,alexnet,high_heatflux_val0300,300,698421.296,699658.9375,1237.641500000027,group_occlusion,heat_flux_change,nan,280953.0,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,56,0.25223214285714285
-4,1,rf,near_onb_below_val0120,120,266907.6965,73299.1484375,193608.54806250002,group_occlusion,heat_flux_change,nan,-81536.8515625,nan,nan,nan,nan,nan,nan,nan,nan,149,2002.232142857143,56,0.25223214285714285
-4,1,rf,near_onb_above_val0180,180,368978.105,352613.59375,16364.511249999981,group_occlusion,heat_flux_change,nan,197777.59375,nan,nan,nan,nan,nan,nan,nan,nan,149,2002.232142857143,56,0.25223214285714285
-4,1,rf,false_negative_val0229,229,368978.105,293312.5625,75665.54249999998,group_occlusion,heat_flux_change,nan,138476.5625,nan,nan,nan,nan,nan,nan,nan,nan,149,2002.232142857143,0,0.002232142857142857
-4,1,rf,worst_prediction_val0141,141,266907.6965,63864.59375,203043.10275000002,group_occlusion,heat_flux_change,nan,-90971.40625,nan,nan,nan,nan,nan,nan,nan,nan,149,2002.232142857143,56,0.25223214285714285
-4,1,rf,low_heatflux_val0060,60,20979.71604,80131.171875,59151.455835,group_occlusion,heat_flux_change,nan,-74704.828125,nan,nan,nan,nan,nan,nan,nan,nan,149,2002.232142857143,0,0.002232142857142857
-4,1,cnntf_v2_gap,near_onb_below_val0120,120,266907.6965,127753.6796875,139154.01681250002,integrated_gradients,heat_flux,32634962.0,-489291.5703125,33124253.5703125,67.69839412756846,556668.0724609375,372399.46484375,184268.60761718755,568962.305859375,372399.46484375,196562.84101562505,55,743.3035714285714,199,0.890625
-4,1,cnntf_v2_gap,near_onb_below_val0120,120,266907.6965,127753.6796875,139154.01681250002,group_occlusion,heat_flux_change,nan,-489291.5703125,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,112,0.5022321428571429
-4,1,cnntf_v2_gap,near_onb_above_val0180,180,368978.105,392739.125,23761.02000000002,integrated_gradients,heat_flux,13857637376.0,-224306.125,13857861682.125,61781.022172822966,774950.990625,504892.25,270058.740625,632151.375,504892.25,127259.125,166,2229.910714285714,165,0.7388392857142857
-4,1,cnntf_v2_gap,near_onb_above_val0180,180,368978.105,392739.125,23761.02000000002,group_occlusion,heat_flux_change,nan,-224306.125,nan,nan,nan,nan,nan,nan,nan,nan,19,261.1607142857143,112,0.5022321428571429
-4,1,cnntf_v2_gap,false_negative_val0230,230,368978.105,268972.375,100005.72999999998,integrated_gradients,heat_flux,1558607872.0,-348072.875,1558955944.875,4478.820548354996,721653.46484375,443008.703125,278644.76171875,604412.2421875,443008.703125,161403.5390625,169,2270.089285714286,144,0.6450892857142857
-4,1,cnntf_v2_gap,false_negative_val0230,230,368978.105,268972.375,100005.72999999998,group_occlusion,heat_flux_change,nan,-348072.875,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,112,0.5022321428571429
-4,1,cnntf_v2_gap,worst_prediction_val0128,128,266907.6965,-2891.599609375,269799.296109375,integrated_gradients,heat_flux,26779234.0,-619936.849609375,27399170.849609375,44.19671272464883,581773.2083923339,307075.3397216797,274697.86867065425,549643.3417358398,307075.3397216797,242568.00201416016,55,743.3035714285714,178,0.796875
-4,1,cnntf_v2_gap,worst_prediction_val0128,128,266907.6965,-2891.599609375,269799.296109375,group_occlusion,heat_flux_change,nan,-619936.849609375,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,112,0.5022321428571429
-4,1,cnntf_v2_gap,low_heatflux_val0060,60,20979.71604,58728.74609375,37749.03005375,integrated_gradients,heat_flux,29378062.0,-558316.50390625,29936378.50390625,53.61901053337487,559514.647265625,337886.9453125,221627.70195312495,562355.78515625,337886.9453125,224468.83984375,55,743.3035714285714,198,0.8861607142857143
-4,1,cnntf_v2_gap,low_heatflux_val0060,60,20979.71604,58728.74609375,37749.03005375,group_occlusion,heat_flux_change,nan,-558316.50390625,nan,nan,nan,nan,nan,nan,nan,nan,75,1011.1607142857143,112,0.5022321428571429
-4,1,alexnet,near_onb_below_val0120,120,266907.6965,94227.0703125,172680.62618750002,integrated_gradients,heat_flux,-6193905.5,-221028.0859375,-5972877.4140625,27.02316037678328,1544682.0005859374,204741.05859375,1339940.9419921874,1303720.519140625,204741.05859375,1098979.460546875,56,756.6964285714286,89,0.39955357142857145
-4,1,alexnet,near_onb_below_val0120,120,266907.6965,94227.0703125,172680.62618750002,grad_cam,relative_importance,nan,-221028.0859375,nan,nan,1292186.4943359375,204741.05859375,1087445.4357421875,942653.175390625,204741.05859375,737912.116796875,83,1118.3035714285713,215,0.9620535714285714
-4,1,alexnet,near_onb_below_val0120,120,266907.6965,94227.0703125,172680.62618750002,group_occlusion,heat_flux_change,nan,-221028.0859375,nan,nan,nan,nan,nan,nan,nan,nan,149,2002.232142857143,56,0.25223214285714285
-4,1,alexnet,near_onb_above_val0180,180,368978.105,354420.3125,14557.792499999981,integrated_gradients,heat_flux,3684822016.0,39165.15625,3684782850.84375,94083.1903573409,2861519.4421875,334837.890625,2526681.5515625,2572893.72890625,334837.890625,2238055.83828125,168,2256.6964285714284,66,0.296875
-4,1,alexnet,near_onb_above_val0180,180,368978.105,354420.3125,14557.792499999981,grad_cam,relative_importance,nan,39165.15625,nan,nan,1776786.2984375,334837.890625,1441948.4078125,2100151.19453125,334837.890625,1765313.3039062498,215,2886.160714285714,215,0.9620535714285714
-4,1,alexnet,near_onb_above_val0180,180,368978.105,354420.3125,14557.792499999981,group_occlusion,heat_flux_change,nan,39165.15625,nan,nan,nan,nan,nan,nan,nan,nan,149,2002.232142857143,56,0.25223214285714285
-4,1,alexnet,false_negative_val0230,230,368978.105,244896.5,124081.60499999998,integrated_gradients,heat_flux,1408485120.0,-70358.65625,1408555478.65625,20019.647243565003,2089761.460546875,280076.1328125,1809685.327734375,2067514.0687499999,280076.1328125,1787437.9359374999,169,2270.089285714286,144,0.6450892857142857
-4,1,alexnet,false_negative_val0230,230,368978.105,244896.5,124081.60499999998,grad_cam,relative_importance,nan,-70358.65625,nan,nan,1523331.701171875,280076.1328125,1243255.568359375,1272757.159375,280076.1328125,992681.0265625,140,1881.6964285714287,215,0.9620535714285714
-4,1,alexnet,false_negative_val0230,230,368978.105,244896.5,124081.60499999998,group_occlusion,heat_flux_change,nan,-70358.65625,nan,nan,nan,nan,nan,nan,nan,nan,149,2002.232142857143,56,0.25223214285714285
-4,1,alexnet,worst_prediction_val0145,145,266907.6965,-25698.76171875,292606.45821875,integrated_gradients,heat_flux,-2711586.5,-340953.91796875,-2370632.58203125,6.952941312874221,1578388.293261719,144778.287109375,1433610.006152344,1259145.7896484374,144778.287109375,1114367.5025390624,56,756.6964285714286,64,0.28794642857142855
-4,1,alexnet,worst_prediction_val0145,145,266907.6965,-25698.76171875,292606.45821875,grad_cam,relative_importance,nan,-340953.91796875,nan,nan,1043872.2713867188,144778.287109375,899093.9842773438,760683.3943359375,144778.287109375,615905.1072265625,215,2886.160714285714,215,0.9620535714285714
-4,1,alexnet,worst_prediction_val0145,145,266907.6965,-25698.76171875,292606.45821875,group_occlusion,heat_flux_change,nan,-340953.91796875,nan,nan,nan,nan,nan,nan,nan,nan,149,2002.232142857143,56,0.25223214285714285
-4,1,alexnet,low_heatflux_val0060,60,20979.71604,29752.837890625,8773.121850625,integrated_gradients,heat_flux,-7998079.5,-285502.318359375,-7712577.181640625,27.01406148279485,1602701.0515136719,172503.9521484375,1430197.0993652344,1453209.7096679688,172503.9521484375,1280705.7575195313,56,756.6964285714286,44,0.19866071428571427
-4,1,alexnet,low_heatflux_val0060,60,20979.71604,29752.837890625,8773.121850625,grad_cam,relative_importance,nan,-285502.318359375,nan,nan,1029016.9124511718,172503.9521484375,856512.9603027343,967943.5346679688,172503.9521484375,795439.5825195312,215,2886.160714285714,215,0.9620535714285714
