snr,best_single,best_overall,best_single_r2,best_overall_r2,equal_minus_best_single,inner_minus_best_single
no_noise,cnntf_v2_gap,cnntf_v2_gap,0.9558163785318216,0.9558163785318216,-0.015571181973789927,-0.013942076238134704
0,cnntf_v2_gap,cnntf_v2_gap,0.9458228340518822,0.9458228340518822,-0.011251690641282397,-0.01086330600728136
-4,cnntf_v2_gap,ensemble__inner_holdout,0.9387706358248472,0.938974154708199,-0.0014164174568740417,0.00020351888335179424
-8,cnntf_v2_gap,ensemble__inner_holdout,0.9364666295140992,0.938021832959798,0.0012429218782423757,0.0015552034456988162
-12,cnntf_v2_gap,ensemble__simple_equal,0.9243117691930748,0.9271645497885144,0.0028527805954395857,0.002345300714951648
-16,cnntf_v2_gap,ensemble__inner_holdout,0.9274338587451276,0.930067390860886,0.0006650104116975308,0.0026335321157583413
-20,cnntf_v2_gap,ensemble__inner_holdout,0.9193513498064254,0.9233813513055996,0.0033175902627321507,0.004030001499174207
