snr,fold,strategy_name,strategy_type,claim_safe,rf,cnntf_v2_gap,alexnet
no_noise,1,simple_equal,simple,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_noise,1,inner_holdout,inner_holdout,1,0.2237088845118212,0.5156565063507956,0.2606346091373832
no_noise,2,simple_equal,simple,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_noise,2,inner_holdout,inner_holdout,1,0.24864360562912452,0.4237201990513138,0.32763619531956156
no_noise,3,simple_equal,simple,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_noise,3,inner_holdout,inner_holdout,1,0.22549116974097935,0.4083599156618167,0.3661489145972039
0,1,simple_equal,simple,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
0,1,inner_holdout,inner_holdout,1,0.2209969540547368,0.5067881076186721,0.27221493832659105
0,2,simple_equal,simple,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
0,2,inner_holdout,inner_holdout,1,0.28243925813035364,0.39833382592822053,0.3192269159414259
0,3,simple_equal,simple,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
0,3,inner_holdout,inner_holdout,1,0.2370010635627562,0.36968640619536375,0.39331253024187995
-4,1,simple_equal,simple,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
-4,1,inner_holdout,inner_holdout,1,0.2435361844298838,0.45090745868663024,0.30555635688348587
-4,2,simple_equal,simple,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
-4,2,inner_holdout,inner_holdout,1,0.2505204506039624,0.42992133790598924,0.31955821149004837
-4,3,simple_equal,simple,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
-4,3,inner_holdout,inner_holdout,1,0.22557512293197032,0.3327032472832805,0.44172162978474927
-8,1,simple_equal,simple,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
-8,1,inner_holdout,inner_holdout,1,0.24979865633028905,0.43485665291997067,0.31534469074974025
-8,2,simple_equal,simple,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
-8,2,inner_holdout,inner_holdout,1,0.2744806111279749,0.33877246107661946,0.3867469277954056
-8,3,simple_equal,simple,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
-8,3,inner_holdout,inner_holdout,1,0.21911006873754313,0.3579938282346707,0.4228961030277862
-12,1,simple_equal,simple,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
-12,1,inner_holdout,inner_holdout,1,0.2867738310755492,0.40746812339800365,0.3057580455264471
-12,2,simple_equal,simple,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
-12,2,inner_holdout,inner_holdout,1,0.2664870811455165,0.3847607919400584,0.3487521269144251
-12,3,simple_equal,simple,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
-12,3,inner_holdout,inner_holdout,1,0.19319972931174031,0.43356378850404753,0.3732364821842121
-16,1,simple_equal,simple,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
-16,1,inner_holdout,inner_holdout,1,0.3126981053322112,0.40479688809421743,0.2825050065735713
-16,2,simple_equal,simple,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
-16,2,inner_holdout,inner_holdout,1,0.2870420745137181,0.3669736863795582,0.3459842391067237
-16,3,simple_equal,simple,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
-16,3,inner_holdout,inner_holdout,1,0.21156166798845805,0.3459889319672936,0.4424494000442484
-20,1,simple_equal,simple,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
-20,1,inner_holdout,inner_holdout,1,0.3084346313161839,0.37420563849586985,0.3173597301879462
-20,2,simple_equal,simple,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
-20,2,inner_holdout,inner_holdout,1,0.2806532091929591,0.44155401791893273,0.2777927728881081
-20,3,simple_equal,simple,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
-20,3,inner_holdout,inner_holdout,1,0.2942215647590089,0.35146910290108324,0.35430933233990786
