snr,fold,model,evaluation_unit,aggregation,group,axis,low,high,unit,low_index,high_index,n_chunks,n_samples,n_source_wavs,n_onb_samples,base_r2,masked_r2,r2_drop,base_rmse_all,masked_rmse_all,rmse_all_increase,base_mae_all,masked_mae_all,mae_all_increase,base_rmse_onb,masked_rmse_onb,rmse_onb_increase,base_recall,masked_recall,recall_drop,base_f1,masked_f1,f1_drop,base_false_negatives,masked_false_negatives,false_negative_increase
no_noise,1,rf,source_wav,median,freq_0_256Hz,frequency,0.0,256.0,Hz,0,19,360,6,6,1,0.9698598064573852,0.9698598064573852,0.0,43769.65449903665,43769.65449903665,0.0,39724.497277708324,39724.497277708324,0.0,21374.01124999998,21374.01124999998,0.0,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,rf,source_wav,median,freq_256_512Hz,frequency,256.0,512.0,Hz,19,38,360,6,6,1,0.9698598064573852,0.9698598064573852,0.0,43769.65449903665,43769.65449903665,0.0,39724.497277708324,39724.497277708324,0.0,21374.01124999998,21374.01124999998,0.0,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,rf,source_wav,median,freq_512_1000Hz,frequency,512.0,1000.0,Hz,38,75,360,6,6,1,0.9698598064573852,0.9695137916201003,0.00034601483728491367,43769.65449903665,44020.179282469864,250.52478343321127,39724.497277708324,39764.05522041666,39.55794270833576,21374.01124999998,20922.54249999998,-451.46875,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,rf,source_wav,median,freq_1000_2000Hz,frequency,1000.0,2000.0,Hz,75,149,360,6,6,1,0.9698598064573852,0.970337433744769,-0.0004776272873837639,43769.65449903665,43421.4638668926,-348.1906321440547,39724.497277708324,39257.124881874995,-467.3723958333285,21374.01124999998,19679.63624999998,-1694.375,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,rf,source_wav,median,freq_2000_3000Hz,frequency,2000.0,3000.0,Hz,149,224,360,6,6,1,0.9698598064573852,0.4046261542910945,0.5652336521662907,43769.65449903665,194533.757902218,150764.10340318136,39724.497277708324,155211.16092979166,115486.66365208334,21374.01124999998,87776.72999999998,66402.71875,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.8,0.5,0.30000000000000004,1,2,1
no_noise,1,rf,source_wav,median,time_1,time,0.0,0.25,s,0,56,360,6,6,1,0.9698598064573852,0.9616684694728631,0.008191336984522124,43769.65449903665,49360.344293794034,5590.689794757382,39724.497277708324,40492.77121104167,768.2739333333448,21374.01124999998,19590.22999999998,-1783.78125,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,rf,source_wav,median,time_2,time,0.25,0.5,s,56,112,360,6,6,1,0.9698598064573852,0.9533883604176004,0.016471446039784787,43769.65449903665,54431.12241521127,10661.467916174617,39724.497277708324,46325.78553395834,6601.288256250016,21374.01124999998,14339.870624999981,-7034.140625,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,rf,source_wav,median,time_3,time,0.5,0.75,s,112,168,360,6,6,1,0.9698598064573852,0.9559280055149665,0.013931800942418748,43769.65449903665,52927.50874659252,9157.854247555864,39724.497277708324,46155.67811208334,6431.180834375016,21374.01124999998,24752.10499999998,3378.09375,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,rf,source_wav,median,time_4,time,0.75,1.0,s,168,224,360,6,6,1,0.9698598064573852,0.9494160552187555,0.020443751238629737,43769.65449903665,56703.053611464355,12933.399112427702,39724.497277708324,49681.471731875004,9956.97445416668,21374.01124999998,28646.15187499998,7272.140625,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,cnntf_v2_gap,source_wav,median,freq_0_256Hz,frequency,0.0,256.0,Hz,0,19,360,6,6,1,0.9839519075523043,0.9759866176038907,0.007965289948413612,31938.300947819753,39068.50281256451,7130.2018647447585,26445.20266968751,33819.652580169284,7374.449910481773,16000.823749999981,15641.198749999981,-359.625,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8,0.0,1,1,0
no_noise,1,cnntf_v2_gap,source_wav,median,freq_256_512Hz,frequency,256.0,512.0,Hz,19,38,360,6,6,1,0.9839519075523043,-0.03536271485908182,1.019314622411386,31938.300947819753,256534.8433799449,224596.54243212516,26445.20266968751,194880.82401572922,168435.6213460417,16000.823749999981,143255.53468749998,127254.7109375,0.6666666666666666,0.0,0.6666666666666666,0.8,0.0,0.8,1,3,2
no_noise,1,cnntf_v2_gap,source_wav,median,freq_512_1000Hz,frequency,512.0,1000.0,Hz,38,75,360,6,6,1,0.9839519075523043,0.05345419623787251,0.9304977113144318,31938.300947819753,245284.95870494403,213346.65775712428,26445.20266968751,197870.88423708337,171425.68156739586,16000.823749999981,205580.08156249998,189579.2578125,0.6666666666666666,0.0,0.6666666666666666,0.8,0.0,0.8,1,3,2
no_noise,1,cnntf_v2_gap,source_wav,median,freq_1000_2000Hz,frequency,1000.0,2000.0,Hz,75,149,360,6,6,1,0.9839519075523043,-4.071375477547828,5.055327385100132,31938.300947819753,567757.6350866854,535819.3341388657,26445.20266968751,554423.8106766667,527978.6080069791,16000.823749999981,588012.73875,572011.915,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.6666666666666666,0.13333333333333341,1,0,-1
no_noise,1,cnntf_v2_gap,source_wav,median,freq_2000_3000Hz,frequency,2000.0,3000.0,Hz,149,224,360,6,6,1,0.9839519075523043,-0.2762012195272754,1.2601531270795796,31938.300947819753,284812.91434228775,252874.613394468,26445.20266968751,231998.92904750002,205553.7263778125,16000.823749999981,165946.58250000002,149945.75875000004,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.6666666666666666,0.13333333333333341,1,0,-1
no_noise,1,cnntf_v2_gap,source_wav,median,time_1,time,0.0,0.25,s,0,56,360,6,6,1,0.9839519075523043,0.806139965581999,0.17781194197030536,31938.300947819753,111005.43494720644,79067.13399938669,26445.20266968751,94869.94337041669,68424.74070072918,16000.823749999981,90403.62937500002,74402.80562500004,0.6666666666666666,1.0,-0.33333333333333337,0.8,1.0,-0.19999999999999996,1,0,-1
no_noise,1,cnntf_v2_gap,source_wav,median,time_2,time,0.25,0.5,s,56,112,360,6,6,1,0.9839519075523043,0.3634108212026803,0.620541086349624,31938.300947819753,201154.48771436786,169216.1867665481,26445.20266968751,174853.40040166667,148408.19773197916,16000.823749999981,189515.30125000002,173514.47750000004,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.6666666666666666,0.13333333333333341,1,0,-1
no_noise,1,cnntf_v2_gap,source_wav,median,time_3,time,0.5,0.75,s,112,168,360,6,6,1,0.9839519075523043,0.20090571831357973,0.7830461892387246,31938.300947819753,225371.560348999,193433.25940117924,26445.20266968751,199260.63477666667,172815.43210697916,16000.823749999981,222406.89500000002,206406.07125000004,0.6666666666666666,1.0,-0.33333333333333337,0.8,0.6666666666666666,0.13333333333333341,1,0,-1
