snr,model,axis,group,low,high,mean_r2_drop,min_r2_drop,max_r2_drop,mean_rmse_increase
-12,alexnet,frequency,freq_0_256Hz,0.0,256.0,0.054196966586454065,0.0387106302457502,0.082129534765777,21964.927444234054
-12,alexnet,frequency,freq_1000_2000Hz,1000.0,2000.0,22.825085650584143,14.647284463696392,29.832934470547837,1171324.5168975776
-12,alexnet,frequency,freq_2000_3000Hz,2000.0,3000.0,25.428451900474727,12.281556018307748,34.20476078443242,1223970.2137749149
-12,alexnet,frequency,freq_256_512Hz,256.0,512.0,0.20550795800405064,0.1794397249845127,0.2331084982588395,65380.63961825224
-12,alexnet,frequency,freq_512_1000Hz,512.0,1000.0,5.19043891489076,4.492143913794099,5.86617087251738,526574.1706308756
-12,alexnet,time,time_1,0.0,0.25,5.455020177914932,4.613838113612072,6.310604032680237,541944.5619948264
-12,alexnet,time,time_2,0.25,0.5,8.914167480646563,3.489000305881796,14.482241865058716,682802.9326924967
-12,alexnet,time,time_3,0.5,0.75,7.239153359842465,1.8215623545463773,14.253709839714482,582888.0376543319
-12,alexnet,time,time_4,0.75,1.0,4.406367705011812,0.550033500579509,11.811017317949323,374032.7803967069
-12,cnntf_v2_gap,frequency,freq_0_256Hz,0.0,256.0,0.011843513718857833,-0.0011327894002636,0.0347362320293214,5181.376774966046
-12,cnntf_v2_gap,frequency,freq_1000_2000Hz,1000.0,2000.0,2.3949085234685095,1.0763322122327847,3.054302971117336,330104.03703036887
-12,cnntf_v2_gap,frequency,freq_2000_3000Hz,2000.0,3000.0,1.6811417755571263,0.9014030695579772,2.375545554285329,269748.54499090975
-12,cnntf_v2_gap,frequency,freq_256_512Hz,256.0,512.0,0.7496392861909721,0.5400976589849604,1.0555650144101036,167008.33600290885
-12,cnntf_v2_gap,frequency,freq_512_1000Hz,512.0,1000.0,0.7492740487108938,0.6416743061198421,0.8404380484556173,167356.1656338947
-12,cnntf_v2_gap,time,time_1,0.0,0.25,0.3651253552960976,0.1299541032614688,0.6493232482327093,98243.61715410442
-12,cnntf_v2_gap,time,time_2,0.25,0.5,0.5446504911802299,0.3199596827892526,0.8506516160969295,132602.53556317926
-12,cnntf_v2_gap,time,time_3,0.5,0.75,0.6856712648978189,0.4519551538594529,0.8221278827911666,156347.66554235746
-12,cnntf_v2_gap,time,time_4,0.75,1.0,0.5084683673998344,0.341105135844776,0.6014627113535633,128492.97078525065
-12,rf,frequency,freq_0_256Hz,0.0,256.0,0.0,0.0,0.0,0.0
-12,rf,frequency,freq_1000_2000Hz,1000.0,2000.0,0.012186955330137935,-0.0286129540480361,0.059706803303323,4078.660325977085
-12,rf,frequency,freq_2000_3000Hz,2000.0,3000.0,0.4703379138287304,0.2885232254429328,0.5973965833065243,121083.81010241476
-12,rf,frequency,freq_256_512Hz,256.0,512.0,3.7197079662562615e-05,-3.951663615919809e-05,0.0001624493670111,12.443459914771665
-12,rf,frequency,freq_512_1000Hz,512.0,1000.0,0.017776120341632833,-0.0472870415628944,0.0891652630185264,5059.959031814921
-12,rf,time,time_1,0.0,0.25,0.028183489399335265,-0.023531721937814,0.0857973124942539,10845.553184764567
-12,rf,time,time_2,0.25,0.5,0.02067722989994687,-0.0270749401507659,0.0617263305051765,8644.766300326057
-12,rf,time,time_3,0.5,0.75,0.012572528138933866,-0.0308726911157765,0.0530973644500103,4962.5061531395995
-12,rf,time,time_4,0.75,1.0,0.022264176170423866,-0.0035789886896766,0.0510766043762479,9656.059370753925
-16,alexnet,frequency,freq_0_256Hz,0.0,256.0,0.036095297480388165,0.0121008058761215,0.0484813708641884,13511.952835768112
-16,alexnet,frequency,freq_1000_2000Hz,1000.0,2000.0,41.91023776483223,32.97140576922737,46.558691860148144,1616307.0394259247
-16,alexnet,frequency,freq_2000_3000Hz,2000.0,3000.0,56.64633213992573,31.46058403897561,103.84342494805232,1799479.7808232934
-16,alexnet,frequency,freq_256_512Hz,256.0,512.0,0.3167386678753861,0.0138490229992239,0.7421980790533506,73513.2680048846
-16,alexnet,frequency,freq_512_1000Hz,512.0,1000.0,10.775989259120593,7.002501514696522,14.578710131229537,767830.6747160144
-16,alexnet,time,time_1,0.0,0.25,4.198682555628619,1.9589525895994435,5.885467940827823,448148.10981845995
-16,alexnet,time,time_2,0.25,0.5,8.11583888414526,4.840145554378666,13.248742602878092,645457.179279886
-16,alexnet,time,time_3,0.5,0.75,4.337643243823422,1.2116070177872935,7.530858216978145,434386.6981113331
-16,alexnet,time,time_4,0.75,1.0,0.9142231543718887,0.0071416008193062,1.4371394658832075,154498.70332445667
-16,cnntf_v2_gap,frequency,freq_0_256Hz,0.0,256.0,0.0119331719444108,0.0008744253884594,0.0210328082908139,6590.0616061319815
-16,cnntf_v2_gap,frequency,freq_1000_2000Hz,1000.0,2000.0,3.8077626438289123,0.7099072819700283,7.237564170982063,404714.92308979743
-16,cnntf_v2_gap,frequency,freq_2000_3000Hz,2000.0,3000.0,1.4559937741777222,0.326807748170173,2.7269681981260634,232761.08452416083
-16,cnntf_v2_gap,frequency,freq_256_512Hz,256.0,512.0,0.9441767312979201,0.4058510461606771,1.4945813620790602,189799.1473745386
-16,cnntf_v2_gap,frequency,freq_512_1000Hz,512.0,1000.0,1.2655652977488927,0.6318365196473373,2.1601437595529767,224609.14324231131
-16,cnntf_v2_gap,time,time_1,0.0,0.25,0.3451603423720851,0.0769100546504407,0.6542629508424732,93092.9211702812
-16,cnntf_v2_gap,time,time_2,0.25,0.5,0.8768378320139472,0.4200039922478695,1.32359695045096,180287.82474418855
-16,cnntf_v2_gap,time,time_3,0.5,0.75,0.9933381119136899,0.3941322631698813,1.6579948097742832,191794.13955291125
-16,cnntf_v2_gap,time,time_4,0.75,1.0,0.99055619145796,0.3049791611819527,1.736289469000659,188167.73299696957
-16,rf,frequency,freq_0_256Hz,0.0,256.0,0.0,0.0,0.0,0.0
-16,rf,frequency,freq_1000_2000Hz,1000.0,2000.0,0.003988314447981467,-0.0150994148837065,0.0224570625910165,1669.8009175133436
-16,rf,frequency,freq_2000_3000Hz,2000.0,3000.0,0.4604580044306281,0.2618343866653159,0.5947833566061246,118622.97725061228
-16,rf,frequency,freq_256_512Hz,256.0,512.0,-2.345458270417803e-06,-7.03637481125341e-06,0.0,-0.940911774392589
-16,rf,frequency,freq_512_1000Hz,512.0,1000.0,0.010702201526367897,-0.0469082153997222,0.0470677261763761,4257.525797404606
-16,rf,time,time_1,0.0,0.25,0.014357127897595702,-0.0265326144343979,0.0488654284666713,6071.790236605681
-16,rf,time,time_2,0.25,0.5,0.007987070525584733,-0.0285497369295284,0.027403959152548,4170.013752099367
-16,rf,time,time_3,0.5,0.75,0.006413845403616766,-0.0220737539628224,0.0246175969880139,3254.181702572316
-16,rf,time,time_4,0.75,1.0,0.012448610019664933,-0.014442738801474,0.0302343475467302,5979.7583487207185
-20,alexnet,frequency,freq_0_256Hz,0.0,256.0,0.07156282922756943,0.0421767018420566,0.0969659125590384,27220.719332672496
-20,alexnet,frequency,freq_1000_2000Hz,1000.0,2000.0,29.894876855457724,8.745196924390674,44.59695008785208,1281833.2599518404
-20,alexnet,frequency,freq_2000_3000Hz,2000.0,3000.0,36.697592461281545,16.60840205821295,74.76676936535084,1401346.786535424
-20,alexnet,frequency,freq_256_512Hz,256.0,512.0,0.6262663626767234,0.2957648220491917,1.1955846491248998,135366.0458249132
-20,alexnet,frequency,freq_512_1000Hz,512.0,1000.0,6.442627374949875,2.689685753276403,10.242446850408026,566783.385470376
-20,alexnet,time,time_1,0.0,0.25,10.43454316372016,3.6123545195025697,21.18341630063055,713399.231084779
-20,alexnet,time,time_2,0.25,0.5,19.657815537969388,8.792974351672884,41.24050722828644,997628.2392326487
-20,alexnet,time,time_3,0.5,0.75,8.63543305973673,1.8118769988500576,15.371278856569022,637228.426500536
-20,alexnet,time,time_4,0.75,1.0,3.321176999906031,0.1488764420734183,5.978234806124144,348685.5303344252
-20,cnntf_v2_gap,frequency,freq_0_256Hz,0.0,256.0,0.012530263889380633,-0.0019689080744592,0.0261705837524531,6329.64817987345
-20,cnntf_v2_gap,frequency,freq_1000_2000Hz,1000.0,2000.0,1.0843105558374528,0.8352325134042814,1.5205392534692148,207515.31816079817
-20,cnntf_v2_gap,frequency,freq_2000_3000Hz,2000.0,3000.0,0.7576803004517503,0.5732360918635121,1.083478274328454,164650.6883227024
-20,cnntf_v2_gap,frequency,freq_256_512Hz,256.0,512.0,1.0070515150377881,0.4237135768512456,1.571446824719473,194475.65076784565
-20,cnntf_v2_gap,frequency,freq_512_1000Hz,512.0,1000.0,0.6141334018744806,0.4218280738783807,0.8015529542108913,144962.58110011718
-20,cnntf_v2_gap,time,time_1,0.0,0.25,0.2983868177411228,0.0788217476072155,0.6189105546491459,81682.74752667587
-20,cnntf_v2_gap,time,time_2,0.25,0.5,0.6750956868719767,0.436071822484798,0.979565390605234,152256.73627471318
-20,cnntf_v2_gap,time,time_3,0.5,0.75,0.696157826863511,0.432506904547449,1.0365009683105662,154873.0574485341
-20,cnntf_v2_gap,time,time_4,0.75,1.0,0.7692990304348323,0.301920708852063,1.226740210984421,161058.00385315027
-20,rf,frequency,freq_0_256Hz,0.0,256.0,0.0,0.0,0.0,0.0
-20,rf,frequency,freq_1000_2000Hz,1000.0,2000.0,0.0019595051150172998,-0.0068047975758264,0.0079951939808514,1108.48245965784
-20,rf,frequency,freq_2000_3000Hz,2000.0,3000.0,0.46791420537697465,0.299837797961445,0.5863798077978056,120480.85051678517
-20,rf,frequency,freq_256_512Hz,256.0,512.0,-2.446608821971008e-05,-7.339826465913024e-05,0.0,-9.738214630512326
