snr,fold,model,sample_id,val_local_index,model_prediction_heat_flux,expected_value_heat_flux,sum_shap_heat_flux,reconstructed_prediction_heat_flux,completeness_error
no_noise,1,rf,near_onb_below_val0120,120,67763.32813474639,332193.7912544644,-264430.40296207933,67763.38829238509,0.06015763869800139
no_noise,1,rf,near_onb_above_val0180,180,352261.59763807035,332193.7912544644,20068.70142449733,352262.4926789618,0.8950408914242871
no_noise,1,rf,false_negative_val0238,238,288385.25660891633,332193.7912544644,-43807.357538648976,288386.4337158154,1.1771068990929052
no_noise,1,rf,worst_prediction_val0134,134,55336.365813820616,332193.7912544644,-276857.4049632498,55336.386291214614,0.020477393998589832
no_noise,1,rf,low_heatflux_val0060,60,83632.94882873965,332193.7912544644,-248560.7647292928,83633.02652517162,0.07769643196661491
no_noise,2,rf,near_onb_below_val0060,60,94017.51548279125,312186.1290646485,-218168.62867192854,94017.50039271999,-0.015090071261511184
no_noise,2,rf,near_onb_above_val0120,120,402554.76974461676,312186.1290646485,90368.12800533664,402554.25706998515,-0.5126746316091157
no_noise,2,rf,worst_prediction_val0085,85,67389.04755687622,312186.1290646485,-244797.10303804922,67389.02602659931,-0.021530276906560175
no_noise,2,rf,low_heatflux_val0180,180,83120.38954613305,312186.1290646485,-229065.65201595105,83120.47704869747,0.08750256441999227
no_noise,2,rf,high_heatflux_val0300,300,751618.876103142,312186.1290646485,439432.38494742004,751618.5140120685,-0.3620910735335201
no_noise,3,rf,near_onb_below_val0180,180,263735.02085968596,375346.4082794026,-111609.91073819464,263736.49754120794,1.476681521977298
no_noise,3,rf,near_onb_above_val0240,240,559943.7127690983,375346.4082794026,184596.56377473843,559942.972054141,-0.7407149573555216
no_noise,3,rf,worst_prediction_val0040,40,223406.60924072398,375346.4082794026,-151939.50958039262,223406.89869900997,0.28945828598807566
no_noise,3,rf,low_heatflux_val0000,0,126800.99570799261,375346.4082794026,-248545.39363616935,126801.01464323324,0.018935240630526096
no_noise,3,rf,high_heatflux_val0300,300,774191.8037283493,375346.4082794026,398847.02930264996,774193.4375820525,1.6338537032715976
0,1,rf,near_onb_below_val0120,120,66213.37123666845,332193.7912544644,-265980.41277734324,66213.37847712118,0.007240452730911784
0,1,rf,near_onb_above_val0180,180,360362.79584078863,332193.7912544644,28169.879079675797,360363.6703341402,0.8744933515554294
0,1,rf,false_negative_val0230,230,292389.1166493128,332193.7912544644,-39803.30413883095,292390.48711563344,1.370466320659034
0,1,rf,worst_prediction_val0141,141,64814.54157077724,332193.7912544644,-267379.23108782223,64814.560166642186,0.018595864945382345
0,1,rf,low_heatflux_val0060,60,78470.35703835622,332193.7912544644,-253723.38087267414,78470.41038179028,0.053343434061389416
0,2,rf,near_onb_below_val0060,60,94998.54249524881,312186.1290646485,-217187.8480766714,94998.28098797714,-0.261507271672599
0,2,rf,near_onb_above_val0120,120,443979.3410059856,312186.1290646485,131793.01997129022,443979.1490359388,-0.19197004684247077
0,2,rf,worst_prediction_val0091,91,66453.62952241882,312186.1290646485,-245732.7183474236,66453.41071722494,-0.2188051938865101
0,2,rf,low_heatflux_val0180,180,76627.04710212427,312186.1290646485,-235559.3485919404,76626.78047270814,-0.2666294161317637
0,2,rf,high_heatflux_val0300,300,748975.5690716405,312186.1290646485,436789.27160598757,748975.4006706361,-0.16840100439731032
0,3,rf,near_onb_below_val0180,180,262851.2193761289,375346.4082794026,-112493.63835746198,262852.76992194063,1.5505458117113449
0,3,rf,near_onb_above_val0240,240,562598.7900441859,375346.4082794026,187251.4801954004,562597.888474803,-0.9015693829860538
0,3,rf,worst_prediction_val0032,32,220145.90320752485,375346.4082794026,-155200.1733067657,220146.23497263688,0.3317651120305527
0,3,rf,low_heatflux_val0000,0,122820.44107437051,375346.4082794026,-252525.8942057848,122820.51407361779,0.0729992472770391
0,3,rf,high_heatflux_val0300,300,776582.2877342522,375346.4082794026,401237.6782882279,776584.0865676305,1.7988333783578128
-4,1,rf,near_onb_below_val0120,120,73299.1473334446,332193.7912544644,-258894.51903297906,73299.27222148536,0.12488804075110238
-4,1,rf,near_onb_above_val0180,180,352613.58758539706,332193.7912544644,20420.694123825207,352614.48537828965,0.8977928925887682
-4,1,rf,false_negative_val0229,229,293312.578052158,332193.7912544644,-38879.85350522134,293313.9377492431,1.3596970851067454
-4,1,rf,worst_prediction_val0141,141,63864.59256584946,332193.7912544644,-268329.08343458123,63864.70781988319,0.11525403372797882
-4,1,rf,low_heatflux_val0060,60,80131.17514747102,332193.7912544644,-252062.42515216576,80131.36610229866,0.1909548276453279
-4,2,rf,near_onb_below_val0060,60,79589.84265206312,312186.1290646485,-232596.4643420303,79589.66472261824,-0.17792944487882778
-4,2,rf,near_onb_above_val0120,120,389749.7685271459,312186.1290646485,77563.3795075766,389749.5085722251,-0.2599549207952805
-4,2,rf,worst_prediction_val0185,185,226703.37763869244,312186.1290646485,-85482.74717987038,226703.38188477815,0.004246085707563907
-4,2,rf,low_heatflux_val0180,180,83068.76263650131,312186.1290646485,-229117.4439384155,83068.68512623303,-0.07751026828191243
-4,2,rf,high_heatflux_val0300,300,748412.5684216147,312186.1290646485,436226.054960566,748412.1840252145,-0.3843964001862332
-4,3,rf,near_onb_below_val0180,180,265189.50929899816,375346.4082794026,-110155.37666551284,265191.03161388973,1.522314891568385
-4,3,rf,near_onb_above_val0240,240,562274.5820875344,375346.4082794026,186927.3795745372,562273.7878539398,-0.7942335945554078
-4,3,rf,worst_prediction_val0039,39,217581.80953864465,375346.4082794026,-157764.22277575338,217582.1855036492,0.3759650045540184
-4,3,rf,low_heatflux_val0000,0,99960.13853751829,375346.4082794026,-275386.2928027558,99960.11547664681,-0.02306087147735525
-4,3,rf,high_heatflux_val0300,300,777813.1586325632,375346.4082794026,402468.3650272458,777814.7733066484,1.6146740851690993
-8,1,rf,near_onb_below_val0120,120,88501.09734028034,332193.7912544644,-243692.76024279656,88501.03101166786,-0.06632861247635446
-8,1,rf,near_onb_above_val0180,180,359296.37693750847,332193.7912544644,27103.511353321126,359297.30260778556,0.9256702770944685
-8,1,rf,false_negative_val0229,229,301589.8480598727,332193.7912544644,-30602.664089748523,301591.1271647159,1.279104843211826
-8,1,rf,worst_prediction_val0141,141,73018.44405800267,332193.7912544644,-259175.2371947654,73018.55405969903,0.11000169636099599
-8,1,rf,low_heatflux_val0060,60,84771.54436684615,332193.7912544644,-247422.2034357182,84771.58781874622,0.043451900070067495
-8,2,rf,near_onb_below_val0060,60,73349.31120130818,312186.1290646485,-238836.85811241853,73349.27095223,-0.04024907818529755
-8,2,rf,near_onb_above_val0120,120,388460.3572374059,312186.1290646485,76273.81352257713,388459.94258722564,-0.4146501802606508
-8,2,rf,worst_prediction_val0185,185,227923.3281098694,312186.1290646485,-84262.55242093714,227923.5766437114,0.24853384197922423
-8,2,rf,low_heatflux_val0180,180,93627.76761255521,312186.1290646485,-218558.38097914302,93627.7480855055,-0.019527049706084654
-8,2,rf,high_heatflux_val0300,300,747820.311365503,312186.1290646485,435633.6260071177,747819.7550717662,-0.5562937367940322
-8,3,rf,near_onb_below_val0180,180,268267.461085979,375346.4082794026,-107077.28056208549,268269.1277173171,1.6666313380701467
-8,3,rf,near_onb_above_val0240,240,561424.7354909293,375346.4082794026,186077.30165476576,561423.7099341684,-1.0255567609565333
-8,3,rf,worst_prediction_val0005,5,219691.27250628933,375346.4082794026,-155654.8214131196,219691.586866283,0.314359993673861
-8,3,rf,low_heatflux_val0000,0,110955.23188584652,375346.4082794026,-264391.24383121735,110955.16444818524,-0.06743766127328854
-8,3,rf,high_heatflux_val0300,300,775689.066830253,375346.4082794026,400344.3099858067,775690.7182652093,1.6514349563512951
-12,1,rf,near_onb_below_val0120,120,98253.88748953157,332193.7912544644,-233939.75524303506,98254.03601142936,0.14852189779048786
-12,1,rf,near_onb_above_val0180,180,362576.0504426491,332193.7912544644,30383.2495784103,362577.0408328747,0.9903902256046422
-12,1,rf,false_negative_val0230,230,306328.8815161567,332193.7912544644,-25863.49280499012,306330.29844947427,1.4169333175523207
-12,1,rf,worst_prediction_val0141,141,76091.58213457694,332193.7912544644,-256102.171548706,76091.6197057584,0.03757118147041183
-12,1,rf,low_heatflux_val0060,60,96996.63876269075,332193.7912544644,-235197.09727042538,96996.69398403904,0.05522134828788694
-12,2,rf,near_onb_below_val0060,60,84305.32607086509,312186.1290646485,-227880.7020206468,84305.42704400173,0.10097313663573004
-12,2,rf,near_onb_above_val0120,120,389676.2108858952,312186.1290646485,77489.65482271812,389675.78388736665,-0.4269985285354778
-12,2,rf,worst_prediction_val0091,91,61984.60933629391,312186.1290646485,-250201.49817088305,61984.63089376548,0.02155747157667065
-12,2,rf,low_heatflux_val0180,180,92244.7948453622,312186.1290646485,-219941.2342880256,92244.89477662294,0.09993126074550673
-12,2,rf,high_heatflux_val0300,300,749269.8459284251,312186.1290646485,437083.11855966144,749269.24762431,-0.5983041151193902
-12,3,rf,near_onb_below_val0180,180,276467.953555495,375346.4082794026,-98876.66180400325,276469.74647539936,1.7929199043428525
-12,3,rf,near_onb_above_val0240,240,563969.6280335236,375346.4082794026,188622.28565433994,563968.6939337426,-0.9340997809777036
-12,3,rf,worst_prediction_val0005,5,191475.9607387612,375346.4082794026,-183870.30363441337,191476.10464498922,0.143906228011474
