snr,evaluation_unit,model_key,aggregation,n_wavs,claim_safe,claim_note,r2,rmse_all,mae_all,r2_high,rmse_high,mae_high,rmse_onb,mae_onb,n_onb,roc_auc_cont,pr_auc_cont,accuracy,precision,recall,f1,auc_binary,false_negatives,false_positives,onb_prediction,onb_signed_error
no_noise,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.91487859458828014,78205.058285039835,60027.424119309886,0.88506944408586719,54436.644983476515,42713.40565624999,21374.011249999981,21374.011249999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,347604.09375,-21374.01124999998
no_noise,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,within_experiment_source_wav_oof,0.95581637853182178,56343.796399236569,42454.022817330726,0.96558396553750092,29788.868780162222,23328.723078125011,16000.823749999981,16000.823749999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,352977.28125,-16000.823749999981
no_noise,source_wav_pooled_oof,alexnet,median,18,1,within_experiment_source_wav_oof,0.91897285509011428,76301.086012886066,61533.084467460933,0.8697946742064796,57941.264867768463,44863.596959375005,17104.245624999981,17104.245624999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,351873.859375,-17104.24562499998
no_noise,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.94024519655803163,65524.220385407403,46713.852508075812,0.93561839414301695,40743.140344515603,25595.113710416685,17647.375833333354,17647.375833333354,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,351330.7291666666,-17647.375833333354
no_noise,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.94187430229368696,64624.848911686466,45795.060580451398,0.94165617698166015,38785.646866038696,23514.592045729114,17830.4638249501,17830.4638249501,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,351147.6411750499,-17830.4638249501
0,source_wav_pooled_oof,rf,median,18,1,within_experiment_source_wav_oof,0.91695937626594004,77243.28809709636,59157.834527295985,0.88928565198353271,53428.816082872676,40214.720187499988,16924.808124999981,16924.808124999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,352053.296875,-16924.80812499998
0,source_wav_pooled_oof,cnntf_v2_gap,median,18,1,within_experiment_source_wav_oof,0.94582283405188228,62391.236500352992,43201.732353858504,0.96567835035450744,29747.993250606585,21343.577646875012,17923.870624999981,17923.870624999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,351054.234375,-17923.87062499998
0,source_wav_pooled_oof,alexnet,median,18,1,within_experiment_source_wav_oof,0.91567627758553227,77837.761227862633,61292.92876913194,0.86269996777152058,59498.89730426592,49519.729771875005,32243.589374999981,32243.589374999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,336734.515625,-32243.58937499998
0,source_wav_pooled_oof,ensemble__simple_equal,median,18,1,no_outer_validation_labels_used_for_weights,0.93457114341059988,68564.626833210947,48922.758978164064,0.93090772085093143,42207.376357292931,29261.178241666668,17667.198749999981,17667.198749999981,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,351310.90625,-17667.19874999998
0,source_wav_pooled_oof,ensemble__inner_holdout,median,18,1,no_outer_validation_labels_used_for_weights,0.9349595280446007,68360.824683772677,48570.990982417119,0.9340808547997741,41226.776696626337,28650.399650619045,20053.216645610228,20053.216645610228,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375,1,0,348924.88835438975,-20053.216645610228
