snr,fold,model,sample_id,method,randomized_layer,original_prediction,randomized_prediction,pearson_abs_map,cosine_abs_map,relative_l1_abs_map
no_noise,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,output,170727.265625,534071.375,0.5930612689876048,0.6624628618223314,0.8897771784900149
no_noise,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,output,352624.9375,491422.625,0.6066238896143609,0.6284776505902178,0.881661779786405
no_noise,1,cnntf_v2_gap,false_negative_val0230,integrated_gradients,output,280990.125,455115.875,0.629837971894994,0.6369892231042271,0.872334453374736
no_noise,1,cnntf_v2_gap,worst_prediction_val0128,integrated_gradients,output,24929.9453125,597119.75,0.5602996732266098,0.6497502638062352,0.8884153600645203
no_noise,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,output,26187.2890625,602098.5625,0.5790162699627834,0.6631815824322522,0.8942273226378356
no_noise,1,alexnet,near_onb_below_val0120,integrated_gradients,output,110213.1796875,436868.375,0.6245612150013041,0.6665154706586499,0.7614299068746966
no_noise,1,alexnet,near_onb_above_val0180,integrated_gradients,output,371051.8125,440365.6875,0.6569355903930522,0.6743962842973246,0.7809715954003563
no_noise,1,alexnet,false_negative_val0230,integrated_gradients,output,254594.546875,459587.9375,0.6156906131980723,0.6207452820652594,0.7727293893239638
no_noise,1,alexnet,worst_prediction_val0135,integrated_gradients,output,-43357.3046875,455791.6875,0.6030069241763467,0.6592685388609586,0.7638436510204404
no_noise,1,alexnet,low_heatflux_val0060,integrated_gradients,output,-5144.43994140625,447264.78125,0.6039482405930758,0.6594213587158351,0.7720969319800393
no_noise,2,cnntf_v2_gap,near_onb_below_val0060,integrated_gradients,output,108548.5703125,1190550.0,0.5705125362219309,0.646021118133444,0.8035486060516254
no_noise,2,cnntf_v2_gap,near_onb_above_val0120,integrated_gradients,output,414399.21875,1117711.125,0.6171224998574611,0.6394767095303017,0.7941261815662508
no_noise,2,cnntf_v2_gap,worst_prediction_val0185,integrated_gradients,output,192656.390625,1161316.375,0.6958952164843994,0.6998743721865782,0.7635389677581153
no_noise,2,cnntf_v2_gap,low_heatflux_val0180,integrated_gradients,output,110095.140625,1162680.25,0.5488283421548968,0.6354917493662141,0.8107156841144685
no_noise,2,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,output,774137.1875,1031963.4375,0.6109017905107118,0.6352408264401577,0.7835032214519644
no_noise,2,alexnet,near_onb_below_val0060,integrated_gradients,output,168383.78125,419883.8125,0.593990042178199,0.6411957913190657,0.7714949064576812
no_noise,2,alexnet,near_onb_above_val0120,integrated_gradients,output,400885.34375,433274.59375,0.6152725152650372,0.6341741668097686,0.7776961372640557
no_noise,2,alexnet,worst_prediction_val0303,integrated_gradients,output,672573.9375,448604.0625,0.6566603494894813,0.6784082654468012,0.7591928857731833
no_noise,2,alexnet,low_heatflux_val0180,integrated_gradients,output,91049.703125,421397.96875,0.6055389085650784,0.659134939558649,0.7707543449297322
no_noise,2,alexnet,high_heatflux_val0300,integrated_gradients,output,718818.6875,444141.5,0.6229178992990202,0.6470918287012333,0.7663024098449105
no_noise,3,cnntf_v2_gap,near_onb_below_val0180,integrated_gradients,output,254053.21875,-479727.0,0.6391038692164703,0.6449546139353369,0.7864913403402198
no_noise,3,cnntf_v2_gap,near_onb_above_val0240,integrated_gradients,output,496329.8125,-500084.125,0.5995688231037638,0.6259969961019728,0.7787922844109179
no_noise,3,cnntf_v2_gap,worst_prediction_val0005,integrated_gradients,output,238651.6875,-476669.78125,0.5561612839672488,0.6412541684664831,0.770967036077815
no_noise,3,cnntf_v2_gap,low_heatflux_val0000,integrated_gradients,output,98250.0546875,-486571.71875,0.5301515421334905,0.6306332335148543,0.7712510958992763
no_noise,3,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,output,753938.5625,-386291.71875,0.6123835928697907,0.6320156209619339,0.7647283340961715
no_noise,3,alexnet,near_onb_below_val0180,integrated_gradients,output,250831.125,479756.625,0.6426496747517522,0.6491900976951461,0.7439460968810234
no_noise,3,alexnet,near_onb_above_val0240,integrated_gradients,output,454837.1875,465989.875,0.5998813975759317,0.621126370821744,0.7698943965569486
no_noise,3,alexnet,worst_prediction_val0005,integrated_gradients,output,247275.375,466073.1875,0.5951504936062351,0.6491926261645596,0.7847507796361207
no_noise,3,alexnet,low_heatflux_val0000,integrated_gradients,output,85094.4375,473748.9375,0.5685030585203443,0.6356241077731419,0.7911893322388763
no_noise,3,alexnet,high_heatflux_val0300,integrated_gradients,output,702256.6875,420198.09375,0.652289988438671,0.6700462787888749,0.7560475201575699
