experiment_name,noise_dir,source_dir,max_freq_dir,chunks_per_source,data_path,split_strategy,feature_set,folds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,prediction_pearson_mean,prediction_pearson_std
2025.06.18_0.3_3,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,kfold,old_style_magnitude_minmax_pca,3,0.8471033660349473,0.0549027686333945,103124.68289592759,17096.248405046215,79799.19345859278,10204.335233975256,0.933378277166348,0.022771952752174307
2025.06.18_0.3_3,heatflux_SNR=0,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=0,kfold,total_power_only,3,0.9616712400775054,0.01695668891122179,51951.31018015702,12971.139001385542,33831.780887473506,9844.875407408641,0.9817736352718677,0.008231958031750329
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,group_kfold,full_spectrogram_pca,3,0.8404191798281667,0.08330634616679258,92902.78822092169,44779.40233990346,71819.52594603115,34279.830913659454,0.9557979167345066,0.01687071281977786
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,group_kfold,old_style_magnitude_minmax_pca,3,0.6145939298834912,0.3015879605146731,123946.73320755402,17299.214545805007,99783.69715123861,11322.294511605749,0.9039432001048343,0.030502682947511742
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,group_kfold,total_power_only,3,0.8830697219209912,0.07617651653441056,70310.14545595513,10281.923118050532,56156.34497063098,7014.165838906019,0.9496058034486747,0.04568185282895336
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,kfold,full_spectrogram_pca,3,0.856539902748656,0.07667377092778248,98976.26152853474,32896.47368504697,66934.30808388966,22845.949716951323,0.9572631865140483,0.02147891622941658
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,kfold,old_style_magnitude_minmax_pca,3,0.7829980184997609,0.08146863074069254,122821.33988108327,19908.627033641056,94352.35350095389,9052.851498373559,0.9128387826259604,0.027957279108409783
2025.06.18_0.3_3,heatflux_SNR=-4,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-4,kfold,total_power_only,3,0.9525907515826608,0.0073464207436592,58379.71032653394,6555.712445437348,40035.22531702888,7457.14382628093,0.9777567525463748,0.005230883121599908
2025.06.18_0.3_3,heatflux_SNR=-8,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-8,group_kfold,full_spectrogram_pca,3,0.8160188718890088,0.08566728156852314,100513.11044976967,48880.62825194148,76782.12561833498,38991.24835478306,0.945848293166582,0.011339027067237994
2025.06.18_0.3_3,heatflux_SNR=-8,waterflow_20260722_1s_y_power,maxfreq=22kHz,5,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.18_0.3_3\data\npy\waterflow_20260722_1s_y_power\maxfreq=22kHz\heatflux_SNR=-8,group_kfold,old_style_magnitude_minmax_pca,3,0.651388453368916,0.195412674210547,124405.21921170875,8284.501138073449,99348.3522214053,4901.8745557902885,0.9078105106655324,0.009345278142744117
