experiment_name,test_noise_level,split_strategy,feature_set,fold,r2,rmse,mae,prediction_pearson
2025.06.18_0.3_3,no_noise,kfold,total_power_only,1,0.9279246360570041,69690.1863372926,40149.98975468012,0.9664525084700899
2025.06.18_0.3_3,reference_SNR=0,kfold,total_power_only,1,0.7078436488753213,140309.10992493032,98964.410127428,0.941492270875121
2025.06.18_0.3_3,reference_SNR=-4,kfold,total_power_only,1,0.7078436488753213,140309.10992493032,98964.410127428,0.941492270875121
2025.06.18_0.3_3,reference_SNR=-8,kfold,total_power_only,1,0.7078436488753213,140309.10992493032,98964.410127428,0.941492270875121
2025.06.18_0.3_3,reference_SNR=-12,kfold,total_power_only,1,0.43581099283196156,194980.200978777,144562.80227409463,0.9180161530418561
2025.06.18_0.3_3,reference_SNR=-16,kfold,total_power_only,1,0.37091584859802695,205888.73049340188,156538.29289909464,0.9174148055560692
2025.06.18_0.3_3,reference_SNR=-20,kfold,total_power_only,1,0.17096687124282994,236354.64759119594,183180.49289909465,0.8808117469968268
2025.06.18_0.3_3,no_noise,kfold,full_spectrogram_pca,1,0.8959795029810212,83721.62823465222,65332.70374659468,0.9693876338597556
2025.06.18_0.3_3,reference_SNR=0,kfold,full_spectrogram_pca,1,0.8402668567814885,103747.04188028027,82590.81452742801,0.9534317234908043
2025.06.18_0.3_3,reference_SNR=-4,kfold,full_spectrogram_pca,1,0.7966627412075454,117054.1150504522,94666.71137659467,0.9404565220129796
2025.06.18_0.3_3,reference_SNR=-8,kfold,full_spectrogram_pca,1,0.7708915893319913,124250.66449646877,99329.597834928,0.9334689831688283
2025.06.18_0.3_3,reference_SNR=-12,kfold,full_spectrogram_pca,1,0.7483541101500153,130218.63075372712,104786.250959928,0.9257959823248886
2025.06.18_0.3_3,reference_SNR=-16,kfold,full_spectrogram_pca,1,0.7462382349239866,130764.93339873885,105416.34366826134,0.9257752327186474
2025.06.18_0.3_3,reference_SNR=-20,kfold,full_spectrogram_pca,1,0.7271549106836843,135592.68933660127,109479.63267326135,0.9236971131412232
2025.06.18_0.3_3,no_noise,kfold,old_style_magnitude_minmax_pca,1,0.9214477207893406,72754.12117540977,49065.91602496967,0.9599614622038192
2025.06.18_0.3_3,reference_SNR=0,kfold,old_style_magnitude_minmax_pca,1,0.8340364237094124,105751.0275763902,81553.07852159467,0.942452531747792
2025.06.18_0.3_3,reference_SNR=-4,kfold,old_style_magnitude_minmax_pca,1,0.8345034938315439,105602.1155465568,82547.16862576133,0.9428843226469771
2025.06.18_0.3_3,reference_SNR=-8,kfold,old_style_magnitude_minmax_pca,1,0.8357969881358444,105188.62136190986,81462.783729928,0.9427550235421689
2025.06.18_0.3_3,reference_SNR=-12,kfold,old_style_magnitude_minmax_pca,1,0.742536425796076,131715.26219332835,97073.31503909468,0.9109783434231501
2025.06.18_0.3_3,reference_SNR=-16,kfold,old_style_magnitude_minmax_pca,1,0.6174700385208984,160550.23001012573,119315.95107742799,0.8686739062613861
2025.06.18_0.3_3,reference_SNR=-20,kfold,old_style_magnitude_minmax_pca,1,0.5586288868456049,172456.73384753283,128888.98243617799,0.810990954854006
2025.06.18_0.3_3,no_noise,kfold,total_power_only,2,0.8522272952923826,106921.59261759631,70618.261794702,0.9234316669614011
2025.06.18_0.3_3,reference_SNR=0,kfold,total_power_only,2,0.622341120142119,170929.94708931557,130868.37236338067,0.9201446786087126
2025.06.18_0.3_3,reference_SNR=-4,kfold,total_power_only,2,0.6252624239811739,170267.5666676972,128230.42164838067,0.930264858373835
2025.06.18_0.3_3,reference_SNR=-8,kfold,total_power_only,2,0.6251976203439711,170282.2882773482,128544.56227338067,0.9309439657060424
2025.06.18_0.3_3,reference_SNR=-12,kfold,total_power_only,2,0.30785363219864403,231402.09149504013,182214.3705250473,0.8990527048117689
2025.06.18_0.3_3,reference_SNR=-16,kfold,total_power_only,2,0.2637996730288579,238652.67731920074,190311.50490004738,0.9014649345932981
2025.06.18_0.3_3,reference_SNR=-20,kfold,total_power_only,2,0.03791538901764013,272819.20674622565,221944.2105300473,0.888067944171924
2025.06.18_0.3_3,no_noise,kfold,full_spectrogram_pca,2,0.8663436312741926,101686.46191130305,79676.24635546401,0.9591687300849489
2025.06.18_0.3_3,reference_SNR=0,kfold,full_spectrogram_pca,2,0.8289029392732381,115050.78395357965,93158.18560171401,0.9376369165876689
2025.06.18_0.3_3,reference_SNR=-4,kfold,full_spectrogram_pca,2,0.8250829041000332,116328.04702209403,97033.60156379735,0.9380021283540415
2025.06.18_0.3_3,reference_SNR=-8,kfold,full_spectrogram_pca,2,0.7867521171703806,128443.06838269073,109739.09244921402,0.9167158689941104
2025.06.18_0.3_3,reference_SNR=-12,kfold,full_spectrogram_pca,2,0.7813464067554533,130060.85875763216,110592.91067838068,0.9114643492142914
2025.06.18_0.3_3,reference_SNR=-16,kfold,full_spectrogram_pca,2,0.781370778375468,130053.61011809602,110339.57422004735,0.9096845390749911
2025.06.18_0.3_3,reference_SNR=-20,kfold,full_spectrogram_pca,2,0.7600070862340849,136259.72783058605,114961.47409254735,0.9002072686210143
2025.06.18_0.3_3,no_noise,kfold,old_style_magnitude_minmax_pca,2,0.8459010993859437,109186.28208449153,84302.91501804735,0.9297356660647658
2025.06.18_0.3_3,reference_SNR=0,kfold,old_style_magnitude_minmax_pca,2,-0.07309404432212796,288129.1513843622,253076.33508838067,0.8591105309523587
2025.06.18_0.3_3,reference_SNR=-4,kfold,old_style_magnitude_minmax_pca,2,-0.09307827837471971,290799.6904587872,260331.70071338068,0.8859861075639387
2025.06.18_0.3_3,reference_SNR=-8,kfold,old_style_magnitude_minmax_pca,2,-0.07590937920387542,288506.8669746086,254961.915296714,0.8986216980045902
2025.06.18_0.3_3,reference_SNR=-12,kfold,old_style_magnitude_minmax_pca,2,-0.06322900844817636,286801.69679577625,251826.94238004735,0.8839490726354822
2025.06.18_0.3_3,reference_SNR=-16,kfold,old_style_magnitude_minmax_pca,2,-0.055211025816524595,285718.2412141227,247965.65383838068,0.8735747070985829
2025.06.18_0.3_3,reference_SNR=-20,kfold,old_style_magnitude_minmax_pca,2,-0.05468839950916449,285647.47699748346,247436.57363004735,0.8657802945788781
2025.06.18_0.3_3,no_noise,kfold,total_power_only,3,0.9551531752639257,56513.02279617776,34856.25628567306,0.981478570370877
2025.06.18_0.3_3,reference_SNR=0,kfold,total_power_only,3,0.8423391332621545,105960.65710539422,70887.76375759467,0.9446354440147546
2025.06.18_0.3_3,reference_SNR=-4,kfold,total_power_only,3,0.8423391332621545,105960.65710539422,70887.76375759467,0.9446354440147546
2025.06.18_0.3_3,reference_SNR=-8,kfold,total_power_only,3,0.8423391332621545,105960.65710539422,70887.76375759467,0.9446354440147546
2025.06.18_0.3_3,reference_SNR=-12,kfold,total_power_only,3,0.5906096728356649,170746.36884551003,112374.66632842801,0.8877423318591846
2025.06.18_0.3_3,reference_SNR=-16,kfold,total_power_only,3,0.5650096664977137,176003.98094211268,116220.89237009468,0.8798124026734593
2025.06.18_0.3_3,reference_SNR=-20,kfold,total_power_only,3,0.5689748731793707,175199.95171689423,111173.75944676132,0.8942445228139833
2025.06.18_0.3_3,no_noise,kfold,full_spectrogram_pca,3,0.851213900348227,102935.18930430089,76926.672837178,0.964757477620998
2025.06.18_0.3_3,reference_SNR=0,kfold,full_spectrogram_pca,3,0.7664991154967641,128951.66469107888,103863.14007009468,0.9327513923338999
2025.06.18_0.3_3,reference_SNR=-4,kfold,full_spectrogram_pca,3,0.7559894492660553,131821.72503136224,107198.29358842802,0.9297727166168382
2025.06.18_0.3_3,reference_SNR=-8,kfold,full_spectrogram_pca,3,0.7418518205044122,135586.7407788911,112720.70244259467,0.9265569469946704
2025.06.18_0.3_3,reference_SNR=-12,kfold,full_spectrogram_pca,3,0.71921492093379,141406.6067244358,117079.80660926134,0.914354285249444
2025.06.18_0.3_3,reference_SNR=-16,kfold,full_spectrogram_pca,3,0.7144675934469581,142597.00067555584,118272.86129676134,0.9131731971596047
2025.06.18_0.3_3,reference_SNR=-20,kfold,full_spectrogram_pca,3,0.7202879771604744,141136.1463266534,115768.49150509467,0.9195375592027161
2025.06.18_0.3_3,no_noise,kfold,old_style_magnitude_minmax_pca,3,0.8337935451921341,108794.4224539173,84424.45411544884,0.9306675940099916
2025.06.18_0.3_3,reference_SNR=0,kfold,old_style_magnitude_minmax_pca,3,0.7435762629427101,135133.1189325574,112022.58499842802,0.9233188047812474
2025.06.18_0.3_3,reference_SNR=-4,kfold,old_style_magnitude_minmax_pca,3,0.7449782721937305,134763.1891378863,110048.98720926134,0.9190380558013908
2025.06.18_0.3_3,reference_SNR=-8,kfold,old_style_magnitude_minmax_pca,3,0.6801807270403901,150915.90201861883,120257.77386176134,0.8630470599531328
2025.06.18_0.3_3,reference_SNR=-12,kfold,old_style_magnitude_minmax_pca,3,0.6933055234055374,147786.80672805264,115204.36435509467,0.894423866833124
2025.06.18_0.3_3,reference_SNR=-16,kfold,old_style_magnitude_minmax_pca,3,0.6406125265657994,159979.4339381439,127172.529763428,0.8720267208383551
2025.06.18_0.3_3,reference_SNR=-20,kfold,old_style_magnitude_minmax_pca,3,0.5826973775641954,172388.4818190761,147927.686728428,0.803179083999288
2025.06.18_0.3_3,no_noise,group_kfold,total_power_only,1,0.9373618175788757,64117.142283317466,56418.78588791668,0.9729322116872572
2025.06.18_0.3_3,reference_SNR=0,group_kfold,total_power_only,1,0.7623212105468441,124896.36456887644,97053.00489833335,0.8987611602020623
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,total_power_only,1,0.7623212105468441,124896.36456887644,97053.00489833335,0.8987611602020623
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,total_power_only,1,0.7623212105468441,124896.36456887644,97053.00489833335,0.8987611602020623
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,total_power_only,1,0.7623212105468441,124896.36456887644,97053.00489833335,0.8987611602020623
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,total_power_only,1,0.7688662823583641,123164.69514367828,94742.16985833335,0.9161141303440347
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,total_power_only,1,0.26376871478716,219817.2235019366,172664.90551833334,0.8704023335319417
2025.06.18_0.3_3,no_noise,group_kfold,full_spectrogram_pca,1,0.8064505712857784,112706.90676595902,87523.31094500002,0.9490173380448743
2025.06.18_0.3_3,reference_SNR=0,group_kfold,full_spectrogram_pca,1,0.6913789881727387,142320.45688075564,114361.97824083336,0.8764952807200646
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,full_spectrogram_pca,1,0.667902364660718,147634.37012843866,121766.24647000003,0.8682638375189421
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,full_spectrogram_pca,1,0.6448597260987606,152670.29561721356,125043.0898375,0.8580944583078676
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,full_spectrogram_pca,1,0.5737256683333805,167262.72770966156,138633.34804333336,0.820096023464393
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,full_spectrogram_pca,1,0.5796093024297609,166104.39838092134,138173.64960583334,0.8281834965075345
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,full_spectrogram_pca,1,0.5810912770901966,165811.3616426872,137790.02076583335,0.833095632484906
2025.06.18_0.3_3,no_noise,group_kfold,old_style_magnitude_minmax_pca,1,0.8935209955077605,83596.2074299241,66068.46616645834,0.948308272500871
