experiment_name,test_noise_level,split_strategy,feature_set,fold,r2,rmse,mae,prediction_pearson
2025.06.18_0.3_3,reference_SNR=0,group_kfold,old_style_magnitude_minmax_pca,1,0.7926924693295806,116643.92451493871,100278.03449666667,0.9275683387471326
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,old_style_magnitude_minmax_pca,1,0.8237492515484347,107552.39079717424,92165.82264500001,0.9370067217159005
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,old_style_magnitude_minmax_pca,1,0.8079594817357271,112266.71589419557,91097.19478083334,0.9155905973470961
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,old_style_magnitude_minmax_pca,1,0.7195755297459476,135663.35025976863,111024.27930000001,0.8556583135302509
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,old_style_magnitude_minmax_pca,1,0.6844970667275827,143898.50584763533,112036.01317583333,0.8573227482399628
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,old_style_magnitude_minmax_pca,1,0.4949963342422349,182054.6806491731,143427.1941979167,0.7125440939891395
2025.06.18_0.3_3,no_noise,group_kfold,total_power_only,2,0.8935604577690435,91664.10577664184,73227.44582479828,0.9545243443361148
2025.06.18_0.3_3,reference_SNR=0,group_kfold,total_power_only,2,0.8277958017167475,116592.2476411361,96147.89135666666,0.9660673134379293
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,total_power_only,2,0.8277958017167475,116592.2476411361,96147.89135666666,0.9660673134379293
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,total_power_only,2,0.8277958017167475,116592.2476411361,96147.89135666666,0.9660673134379293
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,total_power_only,2,0.6346024075047364,169836.35003538994,138928.11010666666,0.9280871996162062
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,total_power_only,2,0.5565070871630593,187107.47973985405,152930.42330333337,0.9162368844611164
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,total_power_only,2,0.5565070871630593,187107.47973985405,152930.42330333337,0.9162368844611164
2025.06.18_0.3_3,no_noise,group_kfold,full_spectrogram_pca,2,0.873638504603952,99874.63046202612,74395.72873175,0.9799791111852386
2025.06.18_0.3_3,reference_SNR=0,group_kfold,full_spectrogram_pca,2,0.8566371119100747,106381.51666981973,82946.11149999998,0.9732860388022516
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,full_spectrogram_pca,2,0.8348521346374497,114178.48844439036,87726.46179083333,0.9694897855656142
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,full_spectrogram_pca,2,0.8254352986416034,117388.62668816006,91204.15799166665,0.9708737205138337
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,full_spectrogram_pca,2,0.8227376768653014,118292.17725325302,91977.31111666666,0.9710533906190452
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,full_spectrogram_pca,2,0.8225560055338492,118352.7789467674,91975.02049166666,0.9711606720039856
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,full_spectrogram_pca,2,0.8123560529265251,121706.86811910292,95111.32049166667,0.9688374455595911
2025.06.18_0.3_3,no_noise,group_kfold,old_style_magnitude_minmax_pca,2,0.8725875822094616,100289.08881668832,87354.44389517707,0.9613133293168195
2025.06.18_0.3_3,reference_SNR=0,group_kfold,old_style_magnitude_minmax_pca,2,0.673677726224021,160498.56960260542,146517.02191666668,0.9204548853901049
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,old_style_magnitude_minmax_pca,2,0.6775409074174925,159545.70624117972,145541.96670833335,0.9207815913388028
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,old_style_magnitude_minmax_pca,2,0.6780342472863188,159423.61263620845,145167.09900000002,0.9214793782858725
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,old_style_magnitude_minmax_pca,2,0.6494692194862779,166345.4349557744,151216.27191666668,0.9048651005349853
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,old_style_magnitude_minmax_pca,2,0.637558812354808,169147.88797041387,149254.02017833336,0.8996600245645003
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,old_style_magnitude_minmax_pca,2,0.6412159348001136,168292.3520587435,149183.32952499998,0.926154001420398
2025.06.18_0.3_3,no_noise,group_kfold,total_power_only,3,0.8284228852736728,109100.09633586933,83254.89897892419,0.9177849545712827
2025.06.18_0.3_3,reference_SNR=0,group_kfold,total_power_only,3,0.512160679567695,183964.42819818005,145074.50320257002,0.9013778848915232
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,total_power_only,3,0.512160679567695,183964.42819818005,145074.50320257002,0.9013778848915232
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,total_power_only,3,0.512160679567695,183964.42819818005,145074.50320257002,0.9013778848915232
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,total_power_only,3,0.14057335756079348,244174.24879625824,191986.98476923667,0.8658607299402987
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,total_power_only,3,0.08005602239169807,252624.89395192536,199680.13060257,0.8567120887766828
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,total_power_only,3,-0.1851069360953732,286730.71907683316,229527.06393590334,0.7990151869912294
2025.06.18_0.3_3,no_noise,group_kfold,full_spectrogram_pca,3,0.8057432976323651,116086.9657586989,105334.89448673668,0.9431019319577938
2025.06.18_0.3_3,reference_SNR=0,group_kfold,full_spectrogram_pca,3,0.656862460612661,154287.08371065615,141324.77872340335,0.8949026918131191
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,full_spectrogram_pca,3,0.6235336759286777,161606.38687827313,149447.23080673668,0.88878930706557
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,full_spectrogram_pca,3,0.6019961713689331,166164.8189900097,154104.85841090334,0.8796447234192692
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,full_spectrogram_pca,3,0.5801216816641614,170669.99605623918,158120.71205673667,0.8701082074225251
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,full_spectrogram_pca,3,0.5678370807032962,173148.68761864374,159883.39382757002,0.8615401468806861
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,full_spectrogram_pca,3,0.5408872940589339,178465.8438826618,162805.85164007,0.8579564655663072
2025.06.18_0.3_3,no_noise,group_kfold,old_style_magnitude_minmax_pca,3,0.8606736610678403,98313.25305212816,81944.12063611168,0.9334037186153288
2025.06.18_0.3_3,reference_SNR=0,group_kfold,old_style_magnitude_minmax_pca,3,0.6999020852594499,144286.91329826263,123705.95741590335,0.8983420126822435
2025.06.18_0.3_3,reference_SNR=-4,group_kfold,old_style_magnitude_minmax_pca,3,0.6868002670323877,147402.9398932281,128320.41574923668,0.8954327171653923
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,old_style_magnitude_minmax_pca,3,0.5884591578937909,168967.0122834246,135732.40112507003,0.8615163050287508
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,old_style_magnitude_minmax_pca,3,0.20369256929003487,235036.78508703536,179938.11406423667,0.7324371354811804
2025.06.18_0.3_3,reference_SNR=-16,group_kfold,old_style_magnitude_minmax_pca,3,-0.10342431835764554,276672.9682948034,218237.53489757003,0.6333966766144158
2025.06.18_0.3_3,reference_SNR=-20,group_kfold,old_style_magnitude_minmax_pca,3,-0.2485085221752783,294300.64197823446,236053.6976217367,0.4891610209537435
2025.07.09_0.3_1,no_noise,kfold,total_power_only,1,0.5300698653898333,228328.39999245826,165306.89039942686,0.7541090821094406
2025.07.09_0.3_1,reference_SNR=0,kfold,total_power_only,1,0.6067890756991688,208860.3845049223,170369.8097859674,0.7835552928587743
2025.07.09_0.3_1,reference_SNR=-4,kfold,total_power_only,1,0.6067890756991688,208860.3845049223,170369.8097859674,0.7835552928587743
2025.07.09_0.3_1,reference_SNR=-8,kfold,total_power_only,1,0.6067890756991688,208860.3845049223,170369.8097859674,0.7835552928587743
2025.07.09_0.3_1,reference_SNR=-12,kfold,total_power_only,1,0.6067890756991688,208860.3845049223,170369.8097859674,0.7835552928587743
2025.07.09_0.3_1,reference_SNR=-16,kfold,total_power_only,1,-1.0282863442384196,474359.84560108214,381525.2872914988,0.7332041182320349
2025.07.09_0.3_1,reference_SNR=-20,kfold,total_power_only,1,-1.0314797313167183,474733.1210100699,379404.2418369534,0.7446821862228414
2025.07.09_0.3_1,no_noise,kfold,full_spectrogram_pca,1,0.4789596331725505,240424.63817959768,214591.49591656172,0.7521108560860715
2025.07.09_0.3_1,reference_SNR=0,kfold,full_spectrogram_pca,1,0.41152343043838513,255509.98333103905,225792.21679724354,0.6651363478783061
2025.07.09_0.3_1,reference_SNR=-4,kfold,full_spectrogram_pca,1,0.45388117285034124,246142.6432879997,218135.34139333505,0.701154073380506
2025.07.09_0.3_1,reference_SNR=-8,kfold,full_spectrogram_pca,1,0.5143710377055035,232110.92134879727,210264.6314723811,0.7820605255070837
2025.07.09_0.3_1,reference_SNR=-12,kfold,full_spectrogram_pca,1,0.5029721968025591,234819.2125632649,211495.89070533562,0.8228524062931656
2025.07.09_0.3_1,reference_SNR=-16,kfold,full_spectrogram_pca,1,0.5093308053011587,233312.3253172246,209602.36415444405,0.8183271529493052
2025.07.09_0.3_1,reference_SNR=-20,kfold,full_spectrogram_pca,1,0.5087490598054536,233450.59381786303,211623.5552055804,0.807200624838417
2025.07.09_0.3_1,no_noise,kfold,old_style_magnitude_minmax_pca,1,0.571724988103052,217973.97975459835,181054.30613925916,0.8334319549538098
2025.07.09_0.3_1,reference_SNR=0,kfold,old_style_magnitude_minmax_pca,1,-0.6825011545316084,432037.0292395892,354075.4889495034,0.746156812923182
2025.07.09_0.3_1,reference_SNR=-4,kfold,old_style_magnitude_minmax_pca,1,-0.658828202713166,428986.86107575864,352289.48610859434,0.7896159386323799
2025.07.09_0.3_1,reference_SNR=-8,kfold,old_style_magnitude_minmax_pca,1,-0.6687502444103133,430267.9098551002,352856.78156313975,0.7743676419682963
2025.07.09_0.3_1,reference_SNR=-12,kfold,old_style_magnitude_minmax_pca,1,-0.6755227682711389,431140.1341757997,352610.42360859434,0.7492608141384396
2025.07.09_0.3_1,reference_SNR=-16,kfold,old_style_magnitude_minmax_pca,1,-0.6790960521132567,431599.6222832753,351871.37815404887,0.7594801215359046
2025.07.09_0.3_1,reference_SNR=-20,kfold,old_style_magnitude_minmax_pca,1,-0.7180822369714868,436581.43051055423,358765.8951995034,0.7669962600082728
2025.07.09_0.3_1,no_noise,kfold,total_power_only,2,0.3843387548584347,195774.7926069717,126541.6686715893,0.7174018165240108
2025.07.09_0.3_1,reference_SNR=0,kfold,total_power_only,2,-0.17677492871257994,270665.29147769633,207120.8843201708,0.7404631587155226
2025.07.09_0.3_1,reference_SNR=-4,kfold,total_power_only,2,-0.17677492871257994,270665.29147769633,207120.8843201708,0.7404631587155226
2025.07.09_0.3_1,reference_SNR=-8,kfold,total_power_only,2,0.1447673609861051,230742.71471558197,158890.96334846618,0.7306732358699105
2025.07.09_0.3_1,reference_SNR=-12,kfold,total_power_only,2,0.1447673609861051,230742.71471558197,158890.96334846618,0.7306732358699105
2025.07.09_0.3_1,reference_SNR=-16,kfold,total_power_only,2,-0.7245617859115183,327661.3706522848,245605.55349705927,0.6300390501644612
2025.07.09_0.3_1,reference_SNR=-20,kfold,total_power_only,2,-0.7222798898673841,327444.5223241516,243909.16427013514,0.6837351964388406
2025.07.09_0.3_1,no_noise,kfold,full_spectrogram_pca,2,-0.18192386593633048,271256.78838690463,236711.02646650898,0.5056451073832244
2025.07.09_0.3_1,reference_SNR=0,kfold,full_spectrogram_pca,2,-0.22017255482562637,275610.96425630734,246264.21059292945,0.5563458423215735
2025.07.09_0.3_1,reference_SNR=-4,kfold,full_spectrogram_pca,2,-0.3278774744809798,287517.8858088856,249312.70757680607,0.6040962071778588
2025.07.09_0.3_1,reference_SNR=-8,kfold,full_spectrogram_pca,2,-0.3774141098075301,292831.7265573415,254852.1395561403,0.6277051337257548
2025.07.09_0.3_1,reference_SNR=-12,kfold,full_spectrogram_pca,2,-0.28045258094169934,282336.88205234334,250220.7833748205,0.5393368057746462
2025.07.09_0.3_1,reference_SNR=-16,kfold,full_spectrogram_pca,2,-0.26117942193637145,280203.98174173344,246527.47928621763,0.41153369518416966
2025.07.09_0.3_1,reference_SNR=-20,kfold,full_spectrogram_pca,2,-0.1660591783620866,269430.1297666861,243947.56975756382,0.3945382193255163
2025.07.09_0.3_1,no_noise,kfold,old_style_magnitude_minmax_pca,2,0.5822194113463512,161272.37925287161,131982.0140425967,0.7944915369429846
2025.07.09_0.3_1,reference_SNR=0,kfold,old_style_magnitude_minmax_pca,2,-0.0771621048976594,258956.2501380488,182129.04855157668,0.6301995963616895
2025.07.09_0.3_1,reference_SNR=-4,kfold,old_style_magnitude_minmax_pca,2,-0.03380211574946501,253690.71515072617,179573.7303697585,0.624232170420338
2025.07.09_0.3_1,reference_SNR=-8,kfold,old_style_magnitude_minmax_pca,2,0.0025004900122077567,249196.65584966968,176002.7928697585,0.6335418877564394
2025.07.09_0.3_1,reference_SNR=-12,kfold,old_style_magnitude_minmax_pca,2,0.01564734441873228,247549.02664579212,173225.42921101625,0.6524793778021133
2025.07.09_0.3_1,reference_SNR=-16,kfold,old_style_magnitude_minmax_pca,2,-0.0145634504256269,251319.0855512304,173386.52841171378,0.6520436011914222
2025.07.09_0.3_1,reference_SNR=-20,kfold,old_style_magnitude_minmax_pca,2,0.023998501117217907,246496.6984284938,174169.77864283443,0.6430314992479328
2025.07.09_0.3_1,no_noise,kfold,total_power_only,3,0.41479639346632846,199926.23620099167,146386.36859948994,0.733045216472009
2025.07.09_0.3_1,reference_SNR=0,kfold,total_power_only,3,0.4185201692677595,199289.1343638091,156519.89789964474,0.6601296467216032
2025.07.09_0.3_1,reference_SNR=-4,kfold,total_power_only,3,0.4183066184213383,199325.72587942236,157142.48123297808,0.6597378582005218
2025.07.09_0.3_1,reference_SNR=-8,kfold,total_power_only,3,-0.4711654455595484,316991.0868811629,232513.1380496341,0.6613132384452288
2025.07.09_0.3_1,reference_SNR=-12,kfold,total_power_only,3,-0.4711654455595484,316991.0868811629,232513.1380496341,0.6613132384452288
2025.07.09_0.3_1,reference_SNR=-16,kfold,total_power_only,3,-0.621389118744045,332782.0709865029,248191.5755496341,0.6587852817846901
2025.07.09_0.3_1,reference_SNR=-20,kfold,total_power_only,3,-1.7098486899019534,430218.23477340484,347035.2776650158,0.4510050520410088
2025.07.09_0.3_1,no_noise,kfold,full_spectrogram_pca,3,0.4613363777494469,191811.70981897792,146303.90406281108,0.6833190821648577
2025.07.09_0.3_1,reference_SNR=0,kfold,full_spectrogram_pca,3,0.4526200422644926,193357.37385963486,150519.05601980575,0.677992106445588
2025.07.09_0.3_1,reference_SNR=-4,kfold,full_spectrogram_pca,3,0.34648618011831633,211272.84526746173,172424.31672438435,0.6328837070544383
2025.07.09_0.3_1,reference_SNR=-8,kfold,full_spectrogram_pca,3,0.4685648996242501,190520.36760246873,157193.0607720034,0.7112398092907172
2025.07.09_0.3_1,reference_SNR=-12,kfold,full_spectrogram_pca,3,0.4291345961069173,197461.82893593432,159881.33532066675,0.6668889362846956
2025.07.09_0.3_1,reference_SNR=-16,kfold,full_spectrogram_pca,3,0.43469265002076274,196498.2147955376,157953.89112178414,0.6686107499294095
2025.07.09_0.3_1,reference_SNR=-20,kfold,full_spectrogram_pca,3,0.41432267397139577,200007.13949321583,160821.27281575865,0.653090559385898
2025.07.09_0.3_1,no_noise,kfold,old_style_magnitude_minmax_pca,3,0.3553174877248977,209840.46400642922,146730.31125099785,0.6054699607984508
2025.07.09_0.3_1,reference_SNR=0,kfold,old_style_magnitude_minmax_pca,3,-0.755842567889333,346305.2535057104,264031.90283307235,0.5839618532975438
2025.07.09_0.3_1,reference_SNR=-4,kfold,old_style_magnitude_minmax_pca,3,-0.6865518976206699,339403.36819165124,256985.86116640572,0.6165479590232351
2025.07.09_0.3_1,reference_SNR=-8,kfold,old_style_magnitude_minmax_pca,3,-0.6765984233507947,338400.36265748594,255231.62302241058,0.617858198067385
2025.07.09_0.3_1,reference_SNR=-12,kfold,old_style_magnitude_minmax_pca,3,-0.6875773285904261,339506.53188317164,254857.81349860106,0.6353765534683169
2025.07.09_0.3_1,reference_SNR=-16,kfold,old_style_magnitude_minmax_pca,3,-0.839303927177427,354440.25647896796,266837.59630889766,0.4471418362063745
