experiment_name,noise_level,split_strategy,feature_set,fold,train_samples,validation_samples,r2,rmse,mae,prediction_pearson
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,old_style_magnitude_minmax_pca,1,60,30,0.8687244328147299,92821.06253806777,78682.04414229166,0.9361083694801069
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,total_power_only,2,60,30,0.853419189598176,107568.81050850976,85637.46076461399,0.924960008985443
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,full_spectrogram_pca,2,60,30,0.8786818938417286,97861.21829369984,76993.52197145834,0.9652982031187746
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,old_style_magnitude_minmax_pca,2,60,30,0.8605219118490247,104930.2723080587,87143.50320958333,0.9642238133237782
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,total_power_only,3,60,30,0.7674139577471604,127024.43686171767,101483.85692163251,0.8819356616061406
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,full_spectrogram_pca,3,60,30,0.7737099105021019,125293.40762818456,109384.97502465335,0.8974450800958417
2025.06.18_0.3_3,reference_SNR=-8,group_kfold,old_style_magnitude_minmax_pca,3,60,30,0.7830757840642011,122673.1372473911,107675.32326798669,0.8974192747069651
2025.06.18_0.3_3,reference_SNR=-12,kfold,total_power_only,1,60,30,0.8551180777697278,98806.45171247712,56487.117860340884,0.9343205272058754
2025.06.18_0.3_3,reference_SNR=-12,kfold,full_spectrogram_pca,1,60,30,0.8790454719151373,90279.52583256613,73922.14659846967,0.9411000865806224
2025.06.18_0.3_3,reference_SNR=-12,kfold,old_style_magnitude_minmax_pca,1,60,30,0.8742356375197639,92057.03874058997,74691.35734221966,0.935098930234084
2025.06.18_0.3_3,reference_SNR=-12,kfold,total_power_only,2,60,30,0.8586323411685363,104578.72452649732,74432.36827675566,0.9299814234238829
2025.06.18_0.3_3,reference_SNR=-12,kfold,full_spectrogram_pca,2,60,30,0.8351103157964987,112944.49059094851,94839.76124650567,0.9246347439253645
2025.06.18_0.3_3,reference_SNR=-12,kfold,old_style_magnitude_minmax_pca,2,60,30,0.8067041166603099,122286.80837932823,99857.377225464,0.9231627303559697
2025.06.18_0.3_3,reference_SNR=-12,kfold,total_power_only,3,60,30,0.9365999758302205,67193.52109488231,45732.28853822239,0.9727940006770419
2025.06.18_0.3_3,reference_SNR=-12,kfold,full_spectrogram_pca,3,60,30,0.8574186999751598,100765.98930589455,82457.39582238633,0.9374153552523937
2025.06.18_0.3_3,reference_SNR=-12,kfold,old_style_magnitude_minmax_pca,3,60,30,0.8195703772022143,113353.93699568867,81567.04561926135,0.931112575489488
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,total_power_only,1,60,30,0.8633542322212581,94700.58819516309,74262.52393791667,0.9380372421669949
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,full_spectrogram_pca,1,60,30,0.8608852597321126,95552.3029157391,78254.08243395835,0.9526073407200437
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,old_style_magnitude_minmax_pca,1,60,30,0.8947948349064356,83094.65996647907,69045.42705249999,0.9510871433154219
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,total_power_only,2,60,30,0.8060691775509645,123728.92130067069,99892.98138390627,0.910220589244483
2025.06.18_0.3_3,reference_SNR=-12,group_kfold,full_spectrogram_pca,2,60,30,0.893293825805359,91778.84365124027,71040.34563041666,0.9677583477480803
