experiment_name,source_wav_id,chunk_index,chunk_start_seconds,chunk_duration_seconds,heat_flux,sample_filename,onb_threshold,q_over_onb,spectrum_method,spectrum_unit,peak_850_1200_psd,peak_850_1200_hz,peak_1250_1650_psd,peak_1250_1650_hz,peak_2100_2500_psd,peak_2100_2500_hz
2025.06.11_0.3_2,index=1.3.28E-04,14,14.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0014.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.2323680805776828e-11,1055.126953125,1.0924672335347205e-11,1356.591796875,1.7643871148640555e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,15,15.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0015.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.214887297962459e-11,947.4609375,1.1146048873038045e-11,1356.591796875,1.953258494791212e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,16,16.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0016.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.277657134530292e-11,1055.126953125,1.094857106606613e-11,1356.591796875,1.7782439113964775e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,17,17.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0017.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.6568157776370463e-11,1055.126953125,1.2059953108148e-11,1356.591796875,1.7647303045202466e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,18,18.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0018.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.42669708733532e-11,904.39453125,9.699198477669972e-12,1356.591796875,1.855336670690611e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,19,19.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0019.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,3.133510833519401e-11,1055.126953125,1.7344510082563105e-11,1356.591796875,1.8191175124778758e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,20,20.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0020.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.3231397167168855e-11,1055.126953125,1.0149411898014251e-11,1356.591796875,1.770414293214643e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,21,21.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0021.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.3788862100800738e-11,947.4609375,9.84355229120213e-12,1356.591796875,1.8987736499136607e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,22,22.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0022.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,3.332598133510072e-11,947.4609375,1.4643896750856697e-11,1356.591796875,2.0212518536036056e-11,2304.052734375
2025.06.11_0.3_2,index=1.3.28E-04,23,23.0,1,0.000328047,0.000328047_src-index=1.3.28E-04_chunk-0023.npy,368978.105,8.890690140001667e-10,welch_hann_2048_overlap_1024_fs_44100,digital_amplitude_squared_per_hz,2.2988272087904025e-11,1055.126953125,1.0297192641940087e-11,1356.591796875,1.6223149019173948e-11,2304.052734375
