maxfreq_khz,snr,model,source_wav_id,y_true,error,fraction_squared_error
22,-12,cnntf_v2_gap,index=15.6.24E+05,624442.5514,-4875.738899999997,0.00022423847961545318
22,-12,cnntf_v2_gap,index=16.6.98E+05,698421.296,38956.70400000003,0.01431507638442921
22,-12,cnntf_v2_gap,index=17.7.77E+05,776647.2223,-21898.159800000023,0.004523186553120013
22,-12,cnntf_v2_gap,index=18.8.59E+05,859343.9142,-69697.8517,0.045821367136285575
22,-12,cnntf_v2_gap,index=2.2.36E+03,2355.33535,83087.60215,0.06511809847087517
22,-12,cnntf_v2_gap,index=3.2.10E+04,20979.71604,69575.04567875,0.04566003698899166
22,-12,cnntf_v2_gap,index=4.5.76E+04,57593.31665,876.5192874999993,7.2468990695003414e-06
22,-12,cnntf_v2_gap,index=5.1.11E+05,111264.7017,3661.661581249995,0.000126469460362327
22,-12,cnntf_v2_gap,index=6.1.44E+05,144324.2618,-35174.23836250001,0.011670209792465337
22,-12,cnntf_v2_gap,index=7.1.81E+05,181378.003,-131711.602609375,0.16363542428566055
22,-12,cnntf_v2_gap,index=8.2.22E+05,221505.1102,-116336.5477,0.12766198782081928
22,-12,cnntf_v2_gap,index=9.2.67E+05,266907.6965,-28469.19650000002,0.00764503853331174
22,-12,alexnet,index=1.3.28E-04,0.0003280469999999,184887.960609453,0.39397900645907935
22,-12,alexnet,index=10.3.15E+05,315466.1173,-50241.83604999998,0.029092887030163283
22,-12,alexnet,index=11.3.69E+05,368978.105,-35352.19874999998,0.014404184546635465
22,-12,alexnet,index=12.4.27E+05,427276.195,-12083.976250000007,0.0016829667765916338
22,-12,alexnet,index=13.4.89E+05,489453.9981,-25865.654350000026,0.007710858897328836
22,-12,alexnet,index=14.5.54E+05,554196.3218,-46408.962425000034,0.02482330105625022
22,-12,alexnet,index=15.6.24E+05,624442.5514,-36840.1764,0.015642249856639943
22,-12,alexnet,index=16.6.98E+05,698421.296,-34384.76474999997,0.013626613293522877
22,-12,alexnet,index=17.7.77E+05,776647.2223,-59663.84730000002,0.041027809054321844
22,-12,alexnet,index=18.8.59E+05,859343.9142,-106606.1642,0.13098466422334362
22,-12,alexnet,index=2.2.36E+03,2355.33535,28540.5757828125,0.009388177182163414
22,-12,alexnet,index=3.2.10E+04,20979.71604,36935.047631875,0.015722917783041034
22,-12,alexnet,index=4.5.76E+04,57593.31665,38695.10131875,0.017257099092729662
22,-12,alexnet,index=5.1.11E+05,111264.7017,-30017.459512500005,0.010384932633987185
22,-12,alexnet,index=6.1.44E+05,144324.2618,-26306.961018750007,0.007976221009274436
22,-12,alexnet,index=7.1.81E+05,181378.003,-111908.59284375,0.14433866573563972
22,-12,alexnet,index=8.2.22E+05,221505.1102,-88295.9617625,0.08985401744412747
22,-12,alexnet,index=9.2.67E+05,266907.6965,-52777.37618750002,0.03210342792515992
22,-12,ensemble__simple_equal,index=1.3.28E-04,0.0003280469999999,184946.60774486963,0.39595518069215785
22,-12,ensemble__simple_equal,index=10.3.15E+05,315466.1173,-31829.153758333356,0.011727446869598996
22,-12,ensemble__simple_equal,index=11.3.69E+05,368978.105,-12623.203958333354,0.0018445587336463722
22,-12,ensemble__simple_equal,index=12.4.27E+05,427276.195,-16793.637708333437,0.0032646967689159293
22,-12,ensemble__simple_equal,index=13.4.89E+05,489453.9981,19646.168566666543,0.004467957380539605
22,-12,ensemble__simple_equal,index=14.5.54E+05,554196.3218,-13502.155133333523,0.0021103742383761794
22,-12,ensemble__simple_equal,index=15.6.24E+05,624442.5514,-18278.290983333485,0.003867447824748852
22,-12,ensemble__simple_equal,index=16.6.98E+05,698421.296,-6454.212666666717,0.000482214019297335
22,-12,ensemble__simple_equal,index=17.7.77E+05,776647.2223,-39091.170216666884,0.017689299401170897
22,-12,ensemble__simple_equal,index=18.8.59E+05,859343.9142,-95282.61211666686,0.1050946477385754
22,-12,ensemble__simple_equal,index=2.2.36E+03,2355.33535,81696.430275,0.07726084444998568
22,-12,ensemble__simple_equal,index=3.2.10E+04,20979.71604,63535.890730833315,0.04672954316811783
22,-12,ensemble__simple_equal,index=4.5.76E+04,57593.31665,21677.100016666656,0.005439458310379586
22,-12,ensemble__simple_equal,index=5.1.11E+05,111264.7017,2684.535279166652,8.342409826716993e-05
22,-12,ensemble__simple_equal,index=6.1.44E+05,144324.2618,-35473.31778958335,0.014566556873818543
22,-12,ensemble__simple_equal,index=7.1.81E+05,181378.003,-114097.399484375,0.15069706077424141
22,-12,ensemble__simple_equal,index=8.2.22E+05,221505.1102,-116606.782075,0.15739861655215295
22,-12,ensemble__simple_equal,index=9.2.67E+05,266907.6965,-10681.21993750002,0.0013206721060094076
22,-12,ensemble__inner_holdout,index=1.3.28E-04,0.0003280469999999,193357.35116344475,0.43562440489444576
22,-12,ensemble__inner_holdout,index=10.3.15E+05,315466.1173,-36366.17955450312,0.015409416136753168
22,-12,ensemble__inner_holdout,index=11.3.69E+05,368978.105,-13183.353048114397,0.0020250818970873217
22,-12,ensemble__inner_holdout,index=12.4.27E+05,427276.195,-13901.531110995275,0.002251728880919795
22,-12,ensemble__inner_holdout,index=13.4.89E+05,489453.9981,-420.90415315242717,2.064226020943294e-06
22,-12,ensemble__inner_holdout,index=14.5.54E+05,554196.3218,-16314.985714319977,0.0031014459854277294
22,-12,ensemble__inner_holdout,index=15.6.24E+05,624442.5514,-13276.034338763333,0.0020536553472910103
22,-12,ensemble__inner_holdout,index=16.6.98E+05,698421.296,-5205.161203136784,0.0003156888146420626
22,-12,ensemble__inner_holdout,index=17.7.77E+05,776647.2223,-37059.43388856959,0.016002520341831215
22,-12,ensemble__inner_holdout,index=18.8.59E+05,859343.9142,-90602.82697029598,0.09564765426577652
22,-12,ensemble__inner_holdout,index=2.2.36E+03,2355.33535,61936.47903614933,0.04469756371665404
22,-12,ensemble__inner_holdout,index=3.2.10E+04,20979.71604,62877.63535285588,0.04606628899214974
22,-12,ensemble__inner_holdout,index=4.5.76E+04,57593.31665,16913.19076914811,0.0033330507093212902
22,-12,ensemble__inner_holdout,index=5.1.11E+05,111264.7017,-7168.727040336002,0.0005987905183914371
22,-12,ensemble__inner_holdout,index=6.1.44E+05,144324.2618,-34127.90603912843,0.013570945645058183
22,-12,ensemble__inner_holdout,index=7.1.81E+05,181378.003,-115520.1747349985,0.1554914453486149
22,-12,ensemble__inner_holdout,index=8.2.22E+05,221505.1102,-117607.56148767707,0.16116150588519604
22,-12,ensemble__inner_holdout,index=9.2.67E+05,266907.6965,-15071.654019850248,0.002646748394418787
22,-16,rf,index=1.3.28E-04,0.0003280469999999,134271.296546953,0.17592249333139837
22,-16,rf,index=10.3.15E+05,315466.1173,-26924.695424999984,0.0070738623544040575
22,-16,rf,index=11.3.69E+05,368978.105,-6571.854999999981,0.0004214353407229676
22,-16,rf,index=12.4.27E+05,427276.195,-33640.57000000001,0.011042863351671683
22,-16,rf,index=13.4.89E+05,489453.9981,70703.37689999997,0.04877927264448304
22,-16,rf,index=14.5.54E+05,554196.3218,19056.271949999966,0.003543487380130019
22,-16,rf,index=15.6.24E+05,624442.5514,-2629.2388999999966,6.745514881070918e-05
22,-16,rf,index=16.6.98E+05,698421.296,-21660.952249999973,0.004578361664251239
22,-16,rf,index=17.7.77E+05,776647.2223,-53277.37855000002,0.027697508350444804
22,-16,rf,index=18.8.59E+05,859343.9142,-113968.38295,0.12674294059312427
22,-16,rf,index=2.2.36E+03,2355.33535,131428.2818375,0.1685515176486107
22,-16,rf,index=3.2.10E+04,20979.71604,73965.74099125,0.05338462928833298
22,-16,rf,index=4.5.76E+04,57593.31665,16340.68335,0.0026055261430742113
22,-16,rf,index=5.1.11E+05,111264.7017,22730.712362499995,0.0050417475886403475
22,-16,rf,index=6.1.44E+05,144324.2618,-49438.34773750001,0.02384969900020913
22,-16,rf,index=7.1.81E+05,181378.003,-107413.6358125,0.11258326535985189
22,-16,rf,index=8.2.22E+05,221505.1102,-147076.3523875,0.21107690009352262
22,-16,rf,index=9.2.67E+05,266907.6965,41784.91287499998,0.017037034718317003
22,-16,cnntf_v2_gap,index=1.3.28E-04,0.0003280469999999,135414.687171953,0.32372892319916524
22,-16,cnntf_v2_gap,index=10.3.15E+05,315466.1173,-84949.42979999998,0.12740043104190465
22,-16,cnntf_v2_gap,index=11.3.69E+05,368978.105,-9852.558124999981,0.0017137519913167222
22,-16,cnntf_v2_gap,index=12.4.27E+05,427276.195,4571.429999999993,0.0003689386116668794
22,-16,cnntf_v2_gap,index=13.4.89E+05,489453.9981,2348.923774999974,9.740647082419685e-05
22,-16,cnntf_v2_gap,index=14.5.54E+05,554196.3218,-2787.8843000000343,0.00013721432496047702
22,-16,cnntf_v2_gap,index=15.6.24E+05,624442.5514,3237.3236000000034,0.00018502149578759108
22,-16,cnntf_v2_gap,index=16.6.98E+05,698421.296,26467.860250000027,0.012367662546055116
22,-16,cnntf_v2_gap,index=17.7.77E+05,776647.2223,-6386.691050000023,0.0007201148672261438
22,-16,cnntf_v2_gap,index=18.8.59E+05,859343.9142,-56523.9142,0.05640458628136073
22,-16,cnntf_v2_gap,index=2.2.36E+03,2355.33535,17375.584571875,0.005330019652408171
22,-16,cnntf_v2_gap,index=3.2.10E+04,20979.71604,95498.2605225,0.16100556353036946
22,-16,cnntf_v2_gap,index=4.5.76E+04,57593.31665,94808.6130375,0.15868853387434334
22,-16,cnntf_v2_gap,index=5.1.11E+05,111264.7017,-58230.398965625005,0.05986176152645407
22,-16,cnntf_v2_gap,index=6.1.44E+05,144324.2618,-17821.152425000007,0.005606883476948703
22,-16,cnntf_v2_gap,index=7.1.81E+05,181378.003,-47201.78425,0.039333880324300186
22,-16,cnntf_v2_gap,index=8.2.22E+05,221505.1102,-47620.172699999996,0.04003426810755229
22,-16,cnntf_v2_gap,index=9.2.67E+05,266907.6965,-19933.79806250002,0.007015038677356152
22,-16,alexnet,index=1.3.28E-04,0.0003280469999999,93253.441078203,0.07020040139201364
22,-16,alexnet,index=10.3.15E+05,315466.1173,-71394.61729999998,0.04114724879689889
22,-16,alexnet,index=11.3.69E+05,368978.105,-37209.76124999998,0.011176958271630172
22,-16,alexnet,index=12.4.27E+05,427276.195,-25833.351250000007,0.005387302481315995
22,-16,alexnet,index=13.4.89E+05,489453.9981,-21699.216850000026,0.0038010009880247338
