maxfreq_khz,model,clean_r2,noise20_r2,r2_drop_clean_to_noise20,r2_relative_drop_percent,rmse_clean,rmse_noise20,rmse_increase,r2_rebounds_across_six_steps
3,rf,0.91487859458828,0.918892770661273,-0.0040141760729929254,-0.43876598455114285,78205.05828503982,76338.78337829928,-1866.2749067405384,3
3,cnntf_v2_gap,0.9558163785318216,0.9193513498064254,0.03646502872539614,3.815066318638327,56343.79639923657,76122.66825826287,19778.8718590263,1
3,alexnet,0.9189728550901142,0.9142280903735513,0.0047447647165628215,0.5163117376407763,76301.08601288607,78503.31402990078,2202.2280170147133,3
3,ensemble__simple_equal,0.9402451965580316,0.9226689400691576,0.017576256488874065,1.8693269110244546,65524.2203854074,74540.52250626328,9016.302120855878,3
3,ensemble__inner_holdout,0.9418743022936868,0.9233813513055996,0.01849295098808723,1.963420272010025,64624.84891168647,74196.37633594722,9571.527424260748,2
22,rf,0.913938288976829,0.9213807479661464,-0.007442458989317391,-0.814328393840394,78635.82352878286,75158.81171436781,-3477.0118144150474,3
22,cnntf_v2_gap,0.962283190306594,0.9300388325786674,0.032244357727926665,3.3508179351707534,52057.45429771598,70899.63104932723,18842.176751611252,1
22,alexnet,0.9427601572499524,0.9108517432908342,0.031908413959118254,3.384573872128373,64130.50610244332,80033.51272180825,15903.006619364925,3
22,ensemble__simple_equal,0.9504821471105032,0.930581586160328,0.019900560950175117,2.0937332711270247,59648.0642194104,70624.07852305587,10976.014303645468,2
22,ensemble__inner_holdout,0.9535068544402706,0.9283114666071248,0.025195387833145788,2.642391894281246,57797.61480138581,71769.56254761844,13971.947746232625,3
