frequency,snr,unit,model,r2,rmse_kW,bias_kW,slope_prediction_vs_truth
maxfreq=22kHz,no_noise,chunk,rf,0.8885511502824344,89.48561897868866,-12.14755450514035,0.9042030356392551
maxfreq=22kHz,no_noise,chunk,cnntf_v2_gap,0.9506333019669848,59.55695581040255,2.998249503569594,0.9200712009306096
maxfreq=22kHz,no_noise,chunk,alexnet,0.9456438935401664,62.49418685028134,-18.163967441343917,0.8746524943317439
maxfreq=22kHz,no_noise,chunk,ensemble__simple_equal,0.9425887099434521,64.2264775546321,-9.104424147638262,0.899642243633869
maxfreq=22kHz,no_noise,chunk,ensemble__inner_holdout,0.9482385937476202,60.984361989298314,-8.075844206449247,0.9021986984013697
maxfreq=22kHz,no_noise,wav_median,rf,0.9139382889768289,78.6358235287829,-12.229810946835945,0.8976256280411379
maxfreq=22kHz,no_noise,wav_median,cnntf_v2_gap,0.9617739470691875,52.407709571463215,2.871129808372386,0.9228850149281094
maxfreq=22kHz,no_noise,wav_median,alexnet,0.9571244590791376,55.503485580247194,-18.268897291236986,0.8772201603401906
maxfreq=22kHz,no_noise,wav_median,ensemble__simple_equal,0.9544134441241529,57.23133047972515,-8.128129884914689,0.8980345479508839
maxfreq=22kHz,no_noise,wav_median,ensemble__inner_holdout,0.9596169983230214,53.86600285670535,-7.812233172383937,0.9046956944329447
maxfreq=22kHz,-20,chunk,rf,0.8994551579724996,84.99538576227242,-4.920614751812803,0.8849995443753673
maxfreq=22kHz,-20,chunk,cnntf_v2_gap,0.926932712450003,72.45643198884078,10.870296901041835,0.9041017511642233
maxfreq=22kHz,-20,chunk,alexnet,0.8896340049639018,89.04982961933582,-17.094567524843402,0.8285811980222871
maxfreq=22kHz,-20,chunk,ensemble__simple_equal,0.9203810375750365,75.63515619742138,-3.7149617918715,0.8725608311872926
maxfreq=22kHz,-20,chunk,ensemble__inner_holdout,0.9247262809667998,73.5422881494205,-1.893630720757352,0.8830587768167165
maxfreq=22kHz,-20,wav_median,rf,0.9213807479661467,75.1588117143678,-1.5707558253081693,0.8754993525778629
maxfreq=22kHz,-20,wav_median,cnntf_v2_gap,0.9426308994919802,64.20287432184219,11.275408888233498,0.8993822577662978
maxfreq=22kHz,-20,wav_median,alexnet,0.9067646834150208,81.84754854797293,-17.849265156905393,0.826341242006552
maxfreq=22kHz,-20,wav_median,ensemble__simple_equal,0.9349093632146672,68.38718248877716,-2.121408928606839,0.870332644355006
maxfreq=22kHz,-20,wav_median,ensemble__inner_holdout,0.9389931928447933,66.20710520323469,-0.6466877379431195,0.8813606871614511
maxfreq=22kHz,0,chunk,rf,0.890246508186616,88.80238386532143,-9.407983961158868,0.9022489348019934
maxfreq=22kHz,0,chunk,cnntf_v2_gap,0.9352302723658074,68.21839331859215,7.6604010432944385,0.9222897209718747
maxfreq=22kHz,0,chunk,alexnet,0.8727329727003286,95.62543004694292,-39.59123404327376,0.8537505233857553
maxfreq=22kHz,0,chunk,ensemble__simple_equal,0.9184092155309538,76.5660082164424,-13.779605653712773,0.8927630597198742
maxfreq=22kHz,0,chunk,ensemble__inner_holdout,0.9181097327294522,76.70639906892757,-14.715403352205398,0.8907880455249578
maxfreq=22kHz,0,wav_median,rf,0.9132909550873115,78.93100863620042,-8.729529588329003,0.8973524237421614
maxfreq=22kHz,0,wav_median,cnntf_v2_gap,0.9479296902511063,61.16606358542877,7.364538879552941,0.9203938236800343
maxfreq=22kHz,0,wav_median,alexnet,0.8885900259451203,89.47001040053449,-38.44065716536893,0.8536892573621314
maxfreq=22kHz,0,wav_median,ensemble__simple_equal,0.9323885839608386,69.69882667995249,-12.68422877995232,0.8921661622120659
maxfreq=22kHz,0,wav_median,ensemble__inner_holdout,0.9297646573631055,71.0384217132518,-13.798614679820158,0.8901599978622623
