maxfreq,snr,model,axis,group,mean_r2_drop,min_r2_drop,max_r2_drop
maxfreq=22kHz,-20,alexnet,frequency,freq_0_256Hz,-0.006525518307024133,-0.0098415817315107,-0.0006731148819683
maxfreq=22kHz,-20,alexnet,frequency,freq_10000_15000Hz,117.86950609640155,111.06246400455444,123.77743132665738
maxfreq=22kHz,-20,alexnet,frequency,freq_1000_2000Hz,129.4375719673009,63.40081839649272,240.08855145350452
maxfreq=22kHz,-20,alexnet,frequency,freq_15000_22000Hz,25.84461638328568,19.67183971173344,32.936551868558354
maxfreq=22kHz,-20,alexnet,frequency,freq_2000_5000Hz,67.92751773525642,40.65347213794958,99.54901317479752
maxfreq=22kHz,-20,alexnet,frequency,freq_256_512Hz,0.026459375693680103,-0.0204372674770064,0.1045748497156469
maxfreq=22kHz,-20,alexnet,frequency,freq_5000_10000Hz,79.04235865087573,61.80906620652297,88.12430040977834
maxfreq=22kHz,-20,alexnet,frequency,freq_512_1000Hz,19.05411226946621,6.645949891156042,26.016207470881405
maxfreq=22kHz,-20,alexnet,time,time_1,81.62500277321318,54.73733152739887,99.06500937788992
maxfreq=22kHz,-20,alexnet,time,time_2,166.54016968996618,88.64893408944573,248.8379962626893
maxfreq=22kHz,-20,alexnet,time,time_3,62.31435546423018,28.698005741958145,126.03463124435156
maxfreq=22kHz,-20,alexnet,time,time_4,21.511519499438453,15.738127972786502,28.260850705643797
maxfreq=22kHz,-20,cnntf_v2_gap,frequency,freq_0_256Hz,-7.889502372117746e-05,-0.0002497049818298,4.6863076149872285e-05
maxfreq=22kHz,-20,cnntf_v2_gap,frequency,freq_10000_15000Hz,1.4452025035466696,0.776234407228011,2.7633905568179498
maxfreq=22kHz,-20,cnntf_v2_gap,frequency,freq_1000_2000Hz,1.6624617396553436,0.5837473985771957,3.2633175348662475
maxfreq=22kHz,-20,cnntf_v2_gap,frequency,freq_15000_22000Hz,1.1082714897351655,0.7051124357448224,1.475944900509215
maxfreq=22kHz,-20,cnntf_v2_gap,frequency,freq_2000_5000Hz,1.4668327955841676,1.0395902021151162,2.14433428753847
maxfreq=22kHz,-20,cnntf_v2_gap,frequency,freq_256_512Hz,0.1615055723379436,0.0479547375918658,0.3429823783897737
maxfreq=22kHz,-20,cnntf_v2_gap,frequency,freq_5000_10000Hz,1.020190419450512,0.8254677549792996,1.354922155336402
maxfreq=22kHz,-20,cnntf_v2_gap,frequency,freq_512_1000Hz,2.020855113551377,1.2189625186762063,2.8431780283702976
maxfreq=22kHz,-20,cnntf_v2_gap,time,time_1,0.3452183014161212,0.2125946101499054,0.5732639591605335
maxfreq=22kHz,-20,cnntf_v2_gap,time,time_2,0.44234201400321194,0.4175559959651931,0.4638944003332377
maxfreq=22kHz,-20,cnntf_v2_gap,time,time_3,0.6693366044225852,0.6476092147254411,0.7032590789881109
maxfreq=22kHz,-20,cnntf_v2_gap,time,time_4,0.33610155138808867,0.2767681434228417,0.4002779250024416
maxfreq=22kHz,-20,rf,frequency,freq_0_256Hz,0.0,0.0,0.0
maxfreq=22kHz,-20,rf,frequency,freq_10000_15000Hz,-0.0002845035044989333,-0.0017760906704817,0.0011847244952881
maxfreq=22kHz,-20,rf,frequency,freq_1000_2000Hz,0.0012999363277942666,0.0009783088531916,0.0018099851231963
maxfreq=22kHz,-20,rf,frequency,freq_15000_22000Hz,0.0002074620025459479,4.233571464984376e-05,0.0003578900442877
maxfreq=22kHz,-20,rf,frequency,freq_2000_5000Hz,0.447667161364949,0.3117551573676096,0.5866838175490686
maxfreq=22kHz,-20,rf,frequency,freq_256_512Hz,-1.1906487335992347e-05,-3.571946200797704e-05,0.0
maxfreq=22kHz,-20,rf,frequency,freq_5000_10000Hz,0.0007597547006405334,-0.0007779910670355,0.0019274318721981
maxfreq=22kHz,-20,rf,frequency,freq_512_1000Hz,0.0003002923888424,-0.0004408280467435,0.0012109510179212
maxfreq=22kHz,-20,rf,time,time_1,0.0133781352324669,0.0079488964248285,0.0204802742830906
maxfreq=22kHz,-20,rf,time,time_2,0.010509930862968968,0.0038385348700741,0.0215125966867854
maxfreq=22kHz,-20,rf,time,time_3,0.012233007633336665,0.0079128279690492,0.0200912450458071
maxfreq=22kHz,-20,rf,time,time_4,0.012527349357967668,0.0077493502581447,0.0220241512869799
maxfreq=22kHz,0,alexnet,frequency,freq_0_256Hz,-0.0018986325657827333,-0.0039843080634093,-0.0004153586019638
maxfreq=22kHz,0,alexnet,frequency,freq_10000_15000Hz,3.7454652065821947,1.844934742437259,6.376379227014404
maxfreq=22kHz,0,alexnet,frequency,freq_1000_2000Hz,31.02635277886408,7.598266213044962,45.10560553896671
maxfreq=22kHz,0,alexnet,frequency,freq_15000_22000Hz,1.0796473626777987,0.4118178534427473,2.0584800009065183
maxfreq=22kHz,0,alexnet,frequency,freq_2000_5000Hz,21.8457169045668,8.734348001224472,31.819492453836364
maxfreq=22kHz,0,alexnet,frequency,freq_256_512Hz,0.08251239040875867,0.0214176976148702,0.1271136696229799
