frequency,snr,unit,fold,model,r2
maxfreq=22kHz,0,chunk,3,alexnet,0.8578420918280645
maxfreq=22kHz,0,chunk,3,ensemble__simple_equal,0.8748984937188508
maxfreq=22kHz,0,chunk,3,ensemble__inner_holdout,0.872759126116891
maxfreq=22kHz,0,wav_median,1,rf,0.9668935042971254
maxfreq=22kHz,0,wav_median,1,cnntf_v2_gap,0.987879360440707
maxfreq=22kHz,0,wav_median,1,alexnet,0.9176512784107826
maxfreq=22kHz,0,wav_median,1,ensemble__simple_equal,0.9789177906166274
maxfreq=22kHz,0,wav_median,1,ensemble__inner_holdout,0.9787316060963103
maxfreq=22kHz,0,wav_median,2,rf,0.8769166661631574
maxfreq=22kHz,0,wav_median,2,cnntf_v2_gap,0.978753857083286
maxfreq=22kHz,0,wav_median,2,alexnet,0.8732471521255273
maxfreq=22kHz,0,wav_median,2,ensemble__simple_equal,0.9300026521988483
maxfreq=22kHz,0,wav_median,2,ensemble__inner_holdout,0.9287251050869798
maxfreq=22kHz,0,wav_median,3,rf,0.893344524624532
maxfreq=22kHz,0,wav_median,3,cnntf_v2_gap,0.8687208619707254
maxfreq=22kHz,0,wav_median,3,alexnet,0.8648875151319002
maxfreq=22kHz,0,wav_median,3,ensemble__simple_equal,0.8828201912111097
maxfreq=22kHz,0,wav_median,3,ensemble__inner_holdout,0.8760387678092956
maxfreq=3kHz,no_noise,chunk,1,rf,0.9245953047254405
maxfreq=3kHz,no_noise,chunk,1,cnntf_v2_gap,0.9491465192655011
maxfreq=3kHz,no_noise,chunk,1,alexnet,0.90236625404024
maxfreq=3kHz,no_noise,chunk,1,ensemble__simple_equal,0.941429577641005
maxfreq=3kHz,no_noise,chunk,1,ensemble__inner_holdout,0.9440186415750028
maxfreq=3kHz,no_noise,chunk,2,rf,0.8968540888002783
maxfreq=3kHz,no_noise,chunk,2,cnntf_v2_gap,0.9277519375034982
maxfreq=3kHz,no_noise,chunk,2,alexnet,0.9168066673723104
maxfreq=3kHz,no_noise,chunk,2,ensemble__simple_equal,0.9205476205086552
maxfreq=3kHz,no_noise,chunk,2,ensemble__inner_holdout,0.922830885651267
maxfreq=3kHz,no_noise,chunk,3,rf,0.8510287913200143
maxfreq=3kHz,no_noise,chunk,3,cnntf_v2_gap,0.8900273874214745
maxfreq=3kHz,no_noise,chunk,3,alexnet,0.8839417279036793
maxfreq=3kHz,no_noise,chunk,3,ensemble__simple_equal,0.8858484956326234
maxfreq=3kHz,no_noise,chunk,3,ensemble__inner_holdout,0.8877963920882639
maxfreq=3kHz,no_noise,wav_median,1,rf,0.9698598064573852
maxfreq=3kHz,no_noise,wav_median,1,cnntf_v2_gap,0.9922801445624156
maxfreq=3kHz,no_noise,wav_median,1,alexnet,0.9447976768531425
maxfreq=3kHz,no_noise,wav_median,1,ensemble__simple_equal,0.9837842724787432
maxfreq=3kHz,no_noise,wav_median,1,ensemble__inner_holdout,0.9848302366161835
maxfreq=3kHz,no_noise,wav_median,2,rf,0.8970109439290795
maxfreq=3kHz,no_noise,wav_median,2,cnntf_v2_gap,0.9355829343105292
maxfreq=3kHz,no_noise,wav_median,2,alexnet,0.9253041943789196
maxfreq=3kHz,no_noise,wav_median,2,ensemble__simple_equal,0.9252495150552804
maxfreq=3kHz,no_noise,wav_median,2,ensemble__inner_holdout,0.9279184172424069
maxfreq=3kHz,no_noise,wav_median,3,rf,0.8727775593239558
maxfreq=3kHz,no_noise,wav_median,3,cnntf_v2_gap,0.9063816025186836
maxfreq=3kHz,no_noise,wav_median,3,alexnet,0.8958077237870599
maxfreq=3kHz,no_noise,wav_median,3,ensemble__simple_equal,0.8982412537750594
maxfreq=3kHz,no_noise,wav_median,3,ensemble__inner_holdout,0.8987250425765536
maxfreq=3kHz,-20,chunk,1,rf,0.9302070690877949
maxfreq=3kHz,-20,chunk,1,cnntf_v2_gap,0.9317693319419582
maxfreq=3kHz,-20,chunk,1,alexnet,0.9061672777680059
maxfreq=3kHz,-20,chunk,1,ensemble__simple_equal,0.9346478554872576
maxfreq=3kHz,-20,chunk,1,ensemble__inner_holdout,0.9357854270834531
maxfreq=3kHz,-20,chunk,2,rf,0.8863949382767318
maxfreq=3kHz,-20,chunk,2,cnntf_v2_gap,0.9076699210966471
maxfreq=3kHz,-20,chunk,2,alexnet,0.8688618499061331
maxfreq=3kHz,-20,chunk,2,ensemble__simple_equal,0.8971047127327492
maxfreq=3kHz,-20,chunk,2,ensemble__inner_holdout,0.8969285414166511
maxfreq=3kHz,-20,chunk,3,rf,0.8758134323984448
maxfreq=3kHz,-20,chunk,3,cnntf_v2_gap,0.8908579858137867
maxfreq=3kHz,-20,chunk,3,alexnet,0.8606908414672326
maxfreq=3kHz,-20,chunk,3,ensemble__simple_equal,0.8957163895641617
maxfreq=3kHz,-20,chunk,3,ensemble__inner_holdout,0.8935762091885955
maxfreq=3kHz,-20,wav_median,1,rf,0.9664337996595208
maxfreq=3kHz,-20,wav_median,1,cnntf_v2_gap,0.9720669682138346
maxfreq=3kHz,-20,wav_median,1,alexnet,0.9591393902227688
maxfreq=3kHz,-20,wav_median,1,ensemble__simple_equal,0.9731865717233991
maxfreq=3kHz,-20,wav_median,1,ensemble__inner_holdout,0.9736916484899555
maxfreq=3kHz,-20,wav_median,2,rf,0.8926498245381951
maxfreq=3kHz,-20,wav_median,2,cnntf_v2_gap,0.9165284684395998
maxfreq=3kHz,-20,wav_median,2,alexnet,0.8777335665190181
maxfreq=3kHz,-20,wav_median,2,ensemble__simple_equal,0.902852238958716
maxfreq=3kHz,-20,wav_median,2,ensemble__inner_holdout,0.903434874666719
maxfreq=3kHz,-20,wav_median,3,rf,0.8938416895284941
maxfreq=3kHz,-20,wav_median,3,cnntf_v2_gap,0.9129569221854518
maxfreq=3kHz,-20,wav_median,3,alexnet,0.8851528719704637
maxfreq=3kHz,-20,wav_median,3,ensemble__simple_equal,0.9108647682380218
maxfreq=3kHz,-20,wav_median,3,ensemble__inner_holdout,0.9108800543388054
maxfreq=3kHz,0,chunk,1,rf,0.9308697572329552
maxfreq=3kHz,0,chunk,1,cnntf_v2_gap,0.9401322578294495
maxfreq=3kHz,0,chunk,1,alexnet,0.9080077669823686
maxfreq=3kHz,0,chunk,1,ensemble__simple_equal,0.9393058772222938
maxfreq=3kHz,0,chunk,1,ensemble__inner_holdout,0.9395309722902464
maxfreq=3kHz,0,chunk,2,rf,0.8912620973910095
maxfreq=3kHz,0,chunk,2,cnntf_v2_gap,0.9456529115805863
maxfreq=3kHz,0,chunk,2,alexnet,0.933736664830845
maxfreq=3kHz,0,chunk,2,ensemble__simple_equal,0.9350146815502246
maxfreq=3kHz,0,chunk,2,ensemble__inner_holdout,0.9407918458912009
maxfreq=3kHz,0,chunk,3,rf,0.8529929869418271
maxfreq=3kHz,0,chunk,3,cnntf_v2_gap,0.8819884210717627
maxfreq=3kHz,0,chunk,3,alexnet,0.8628753374144225
maxfreq=3kHz,0,chunk,3,ensemble__simple_equal,0.8761255512179804
maxfreq=3kHz,0,chunk,3,ensemble__inner_holdout,0.8759961336883388
maxfreq=3kHz,0,wav_median,1,rf,0.9703670061743185
maxfreq=3kHz,0,wav_median,1,cnntf_v2_gap,0.9856246467653281
maxfreq=3kHz,0,wav_median,1,alexnet,0.9557558882678222
maxfreq=3kHz,0,wav_median,1,ensemble__simple_equal,0.9846999276679009
maxfreq=3kHz,0,wav_median,1,ensemble__inner_holdout,0.9840320756010448
maxfreq=3kHz,0,wav_median,2,rf,0.8999698396741573
maxfreq=3kHz,0,wav_median,2,cnntf_v2_gap,0.9563903239747095
maxfreq=3kHz,0,wav_median,2,alexnet,0.9418536624415862
maxfreq=3kHz,0,wav_median,2,ensemble__simple_equal,0.9393742525274877
maxfreq=3kHz,0,wav_median,2,ensemble__inner_holdout,0.9464820849897198
maxfreq=3kHz,0,wav_median,3,rf,0.8756025670548023
maxfreq=3kHz,0,wav_median,3,cnntf_v2_gap,0.8901987860519932
maxfreq=3kHz,0,wav_median,3,alexnet,0.869480981717611
maxfreq=3kHz,0,wav_median,3,ensemble__simple_equal,0.8837299665046261
maxfreq=3kHz,0,wav_median,3,ensemble__inner_holdout,0.8822560573450938
