ensemble_key,ensemble,mean_rmse_7snr_3seed,rf_mean_rmse_7snr_3seed,relative_mean_rmse_vs_rf,criterion_mean_better_than_rf,mean_rmse_noisy_6snr_3seed,rf_mean_rmse_noisy_6snr_3seed,relative_noisy_mean_rmse_vs_rf,criterion_noisy_mean_better_than_rf,cells_within_2pct_best_single,criterion_at_least_14_of_21_within_2pct,cells_beating_rf,cells_beating_best_single,noisy_cells_within_2pct_best_single,noisy_cells_beating_rf,noisy_cells_beating_best_single,five_way_wins,noisy_five_way_wins,snr_means_beating_rf,worst_snr_mean_relative_rmse_vs_rf,worst_snr,criterion_no_snr_over_10pct_worse_than_rf
ensemble__simple_equal,Equal ensemble,93544.80219357142,96169.7321307619,-0.02729476186562907,True,96106.34193277778,96236.04731388889,-0.0013477837539197512,True,11,False,11,7,9,8,5,4,2,4,0.05892601344730353,-8,True
ensemble__inner_holdout,Inner-holdout ensemble,94449.62637557143,96169.7321307619,-0.01788614480959183,True,96976.72761072221,96236.04731388889,0.007696495414212912,False,11,False,13,9,9,10,7,5,5,3,0.05517820886065827,-8,True
