subset,models,model_count,mean_rmse_all,std_rmse_all,evaluation_day_wins,mean_rmse_noisy,noisy_evaluation_day_wins
alexnet,alexnet,1,111287.01716759133,14964.675423135486,1,114730.73520771292,1
conformer,conformer,1,105322.34233189066,26451.767456544712,2,108709.12935234212,1
conformer+alexnet,conformer;alexnet,2,100513.23689353894,11235.986353055969,0,103028.79602092238,0
rf,randomforest,1,96169.73213081252,803.5915954289212,2,96236.04731394263,2
rf+alexnet,randomforest;alexnet,2,97238.97640347516,9473.421979057435,4,100237.84785962771,2
rf+conformer,randomforest;conformer,2,91645.14331209716,8565.19908389866,12,93663.41819145001,12
rf+conformer+alexnet,randomforest;conformer;alexnet,3,93544.80219360771,8146.170285325635,0,96106.34193280584,0
