seed,snr,training_noise_matches_evaluation,fit_id,randomforest,conformer,alexnet,source_run
42,-8,1,37f7ea5d8e42,0.19594509781966502,0.5328594369833082,0.27119546519702675,b_matched_s4_xd-t0611-v0618_iw3-nm_s1e-9_e200_165646
42,-16,1,225cc7599092,0.250809135916919,0.4424485991167922,0.30674226496628887,b_matched_s4_xd-t0611-v0618_iw3-nm_s1e-9_e200_165646
43,-8,1,8a0000f01600,0.27616914358532396,0.34748328416577356,0.37634757224890253,b_matched_s4_xd-t0611-v0618_iw3-nm_s1e-9_e200_205955
43,-16,1,2b4d1778f12e,0.4021680559624097,0.25019374219367224,0.3476382018439181,b_matched_s4_xd-t0611-v0618_iw3-nm_s1e-9_e200_205955
44,-8,1,7fe15ed3b6a3,0.2330919596583103,0.45497429873212014,0.3119337416095695,b_matched_s4_xd-t0611-v0618_iw3-nm_s1e-9_e200_213458
44,-16,1,920509af4f69,0.400807419191239,0.2624383243824576,0.33675425642630347,b_matched_s4_xd-t0611-v0618_iw3-nm_s1e-9_e200_213458
