scope,max_weight_matches_evaluation_best,cells,mean_delta_rmse_vs_best_single,mean_delta_rmse_vs_rf,cells_beating_best_single,mean_weight_rank_alignment
all,False,12,3490.362334166663,2306.4173239166644,3,-0.375
all,True,9,-1088.214152666669,-7088.803194000001,6,0.7777777777777778
clean,True,3,-3147.6929940000023,-16484.822067333338,2,0.8333333333333334
noisy,False,12,3490.362334166663,2306.4173239166644,3,-0.375
noisy,True,6,-58.474732000002405,-2390.793757333333,4,0.75
