seed,snr,model_key,model,inner_holdout_error_1_minus_r2,inner_holdout_weight,selected_epoch
42,clean,randomforest,RandomForest,0.17669142293904905,0.156219841828975,
42,clean,conformer,Conformer,0.046714134251644945,0.5908855336027723,170.0
42,clean,alexnet,AlexNet,0.10914706546728192,0.2528946245682527,80.0
42,0,randomforest,RandomForest,0.177098608935367,0.239784989626258,
42,0,conformer,Conformer,0.07519883242916192,0.5647107373162307,160.0
42,0,alexnet,AlexNet,0.21721053684540004,0.1955042730575112,70.0
42,-4,randomforest,RandomForest,0.17759372853646815,0.2739681706327745,
42,-4,conformer,Conformer,0.14050738753249914,0.3462809306858397,50.0
42,-4,alexnet,AlexNet,0.12812353859315484,0.3797508986813857,120.0
42,-8,randomforest,RandomForest,0.17612175567634414,0.2188389782091988,
42,-8,conformer,Conformer,0.0837536253756026,0.4601867069010325,80.0
42,-8,alexnet,AlexNet,0.12007909438441455,0.3209743148897685,60.0
42,-12,randomforest,RandomForest,0.1740811754566286,0.1763528772885892,
42,-12,conformer,Conformer,0.05106245555810385,0.6012189550622582,120.0
42,-12,alexnet,AlexNet,0.13802081138383715,0.2224281676491525,80.0
42,-16,randomforest,RandomForest,0.1770644836685502,0.1709891847811383,
42,-16,conformer,Conformer,0.06478340168342045,0.4673436548474255,180.0
42,-16,alexnet,AlexNet,0.08371263701433296,0.3616671603714361,60.0
42,-20,randomforest,RandomForest,0.1758966170356009,0.3580980795174017,
42,-20,conformer,Conformer,0.22952408834433546,0.2744297612003175,100.0
42,-20,alexnet,AlexNet,0.17140955896381516,0.3674721592822807,60.0
43,clean,randomforest,RandomForest,0.16371240092853412,0.1291366762704615,
43,clean,conformer,Conformer,0.04874595352259825,0.4337031854421966,160.0
43,clean,alexnet,AlexNet,0.04836048273521254,0.4371601382873418,190.0
43,0,randomforest,RandomForest,0.15706497791025997,0.1229198587873928,
43,0,conformer,Conformer,0.07403819718511528,0.260762763535462,70.0
43,0,alexnet,AlexNet,0.031325426808406,0.6163173776771452,120.0
43,-4,randomforest,RandomForest,0.16078025911212546,0.205253699649737,
43,-4,conformer,Conformer,0.05261480063365631,0.6272140655475065,70.0
43,-4,alexnet,AlexNet,0.19698145286643143,0.1675322348027564,10.0
43,-8,randomforest,RandomForest,0.16105529593859713,0.1897501888192277,
43,-8,conformer,Conformer,0.05166467666535568,0.5915119340169595,80.0
43,-8,alexnet,AlexNet,0.1397118469418025,0.2187378771638128,80.0
43,-12,randomforest,RandomForest,0.1608708674428182,0.263114039261123,
43,-12,conformer,Conformer,0.09175354984834416,0.4613160341183732,170.0
43,-12,alexnet,AlexNet,0.15359943028402734,0.2755699266205036,80.0
43,-16,randomforest,RandomForest,0.15954247254327603,0.3522216741741694,
43,-16,conformer,Conformer,0.24669524013920008,0.2277884111155568,50.0
43,-16,alexnet,AlexNet,0.1337992052019732,0.4199899147102737,40.0
43,-20,randomforest,RandomForest,0.1776468680408667,0.3678219038730558,
43,-20,conformer,Conformer,0.23803926303050815,0.2745026529993186,170.0
43,-20,alexnet,AlexNet,0.18268631653462908,0.3576754431276255,200.0
44,clean,randomforest,RandomForest,0.3184832919871643,0.2024772798002942,
44,clean,conformer,Conformer,0.1876113040006394,0.3437193242001243,180.0
44,clean,alexnet,AlexNet,0.1421003703186552,0.4538033959995814,140.0
44,0,randomforest,RandomForest,0.3180208467889032,0.3550978840227898,
44,0,conformer,Conformer,0.2743914800509941,0.4115598988309994,140.0
44,0,alexnet,AlexNet,0.483960987218678,0.2333422171462109,140.0
44,-4,randomforest,RandomForest,0.31718417061388804,0.3554015560393877,
44,-4,conformer,Conformer,0.3073083112724919,0.3668229711082632,40.0
44,-4,alexnet,AlexNet,0.4058232594465192,0.2777754728523491,40.0
44,-8,randomforest,RandomForest,0.3182288440575681,0.3526153986586375,
44,-8,conformer,Conformer,0.34981320077157485,0.3207780337178029,140.0
44,-8,alexnet,AlexNet,0.34357052746523653,0.3266065676235595,160.0
44,-12,randomforest,RandomForest,0.3188252160338847,0.3568547055680451,
44,-12,conformer,Conformer,0.32312246957155066,0.352108842032252,190.0
44,-12,alexnet,AlexNet,0.3909279324199064,0.2910364523997027,10.0
44,-16,randomforest,RandomForest,0.3171038197827397,0.397853621288081,
44,-16,conformer,Conformer,0.3919228420534342,0.3219023988595322,190.0
44,-16,alexnet,AlexNet,0.4501823842613816,0.2802439798523867,10.0
44,-20,randomforest,RandomForest,0.33160452516727934,0.4072648922817091,
44,-20,conformer,Conformer,0.4460398691046912,0.3027776003375186,190.0
44,-20,alexnet,AlexNet,0.46576094008502555,0.2899575073807724,200.0
