seed,snr,subset,models,model_count,rmse,best_equal_subset_on_evaluation_day
44,clean,alexnet,alexnet,1,84137.30131293027,False
44,clean,rf+conformer,randomforest;conformer,2,79416.37750847609,False
44,clean,rf+alexnet,randomforest;alexnet,2,73588.23266131182,True
44,clean,conformer+alexnet,conformer;alexnet,2,84913.45853961898,False
44,clean,rf+conformer+alexnet,randomforest;conformer;alexnet,3,75646.02799409334,False
44,0,rf,randomforest,1,95085.39669218603,False
44,0,conformer,conformer,1,104931.52068308281,False
44,0,alexnet,alexnet,1,134235.329529466,False
44,0,rf+conformer,randomforest;conformer,2,89483.57556354124,True
44,0,rf+alexnet,randomforest;alexnet,2,105203.56520295472,False
44,0,conformer+alexnet,conformer;alexnet,2,108141.03673314494,False
44,0,rf+conformer+alexnet,randomforest;conformer;alexnet,3,97186.73698962336,False
44,-4,rf,randomforest,1,95609.62019192833,True
44,-4,conformer,conformer,1,121193.11445475773,False
44,-4,alexnet,alexnet,1,124153.98313886386,False
44,-4,rf+conformer,randomforest;conformer,2,99867.07967070317,False
44,-4,rf+alexnet,randomforest;alexnet,2,105665.56904320962,False
44,-4,conformer+alexnet,conformer;alexnet,2,119495.33455575001,False
44,-4,rf+conformer+alexnet,randomforest;conformer;alexnet,3,106681.21893512044,False
44,-8,rf,randomforest,1,95851.79411801248,False
44,-8,conformer,conformer,1,109781.12301593948,False
44,-8,alexnet,alexnet,1,129409.4322869209,False
44,-8,rf+conformer,randomforest;conformer,2,93816.38907633645,True
44,-8,rf+alexnet,randomforest;alexnet,2,106715.07314340143,False
44,-8,conformer+alexnet,conformer;alexnet,2,116599.076550689,False
44,-8,rf+conformer+alexnet,randomforest;conformer;alexnet,3,103898.24232289556,False
44,-12,rf,randomforest,1,96950.83611387604,False
44,-12,conformer,conformer,1,107080.08793416739,False
44,-12,alexnet,alexnet,1,114135.77950204462,False
44,-12,rf+conformer,randomforest;conformer,2,91068.19158077142,True
44,-12,rf+alexnet,randomforest;alexnet,2,103875.0505677991,False
44,-12,conformer+alexnet,conformer;alexnet,2,97210.05524698307,False
44,-12,rf+conformer+alexnet,randomforest;conformer;alexnet,3,94422.43138611928,False
44,-16,rf,randomforest,1,97355.49819032838,False
44,-16,conformer,conformer,1,98250.76490259911,False
44,-16,alexnet,alexnet,1,116824.83681906776,False
44,-16,rf+conformer,randomforest;conformer,2,91389.705815286,True
44,-16,rf+alexnet,randomforest;alexnet,2,104885.54324865251,False
44,-16,conformer+alexnet,conformer;alexnet,2,97076.72234258201,False
44,-16,rf+conformer+alexnet,randomforest;conformer;alexnet,3,95643.10615788626,False
44,-20,rf,randomforest,1,97328.8538872874,True
44,-20,conformer,conformer,1,207060.6101217268,False
44,-20,alexnet,alexnet,1,119406.79146896106,False
44,-20,rf+conformer,randomforest;conformer,2,120479.65732602448,False
44,-20,rf+alexnet,randomforest;alexnet,2,105781.89307102277,False
44,-20,conformer+alexnet,conformer;alexnet,2,114257.38762326032,False
44,-20,rf+conformer+alexnet,randomforest;conformer;alexnet,3,99126.5439943664,False
