seed,snr,model_key,model,region,chunks,r2,rmse,mae,mean_residual,misses,false_alarms
42,clean,randomforest,RandomForest,below,480,-0.012098575688866742,81408.14063245419,73382.49048046916,10206.515251927502,0,2
42,clean,randomforest,RandomForest,near,60,-6.926663857218582e+30,153194.15787319953,147836.27242708337,-141135.91727708332,55,0
42,clean,randomforest,RandomForest,above,540,0.6911386062196663,99145.23703322763,78669.16393032408,-76961.02860717593,46,0
42,clean,randomforest,RandomForest,all,1080,0.8764155360660727,95729.57720513211,80162.14842465296,-41785.16959590259,101,2
42,clean,conformer,Conformer,below,480,-0.23740978903971444,90014.65107847881,76039.93718337278,47458.53096644572,0,0
42,clean,conformer,Conformer,near,60,-2.2426726257165004e+30,87169.20566087976,79025.14156229167,-78926.69240729166,59,0
42,clean,conformer,Conformer,above,540,0.9137277728183029,52399.3074261454,38934.481924768515,-8041.11564421296,61,0
42,clean,conformer,Conformer,all,1080,0.9272294156443043,73458.51302849957,57653.05424178838,12687.306362575413,120,0
42,clean,alexnet,AlexNet,below,480,-1.596828626759014,130400.14482355113,118908.5617955733,103910.00363083374,0,24
42,clean,alexnet,AlexNet,near,60,-2.1155549250488182e+30,84662.73615333847,68911.30660541667,-67657.95790208333,56,0
42,clean,alexnet,AlexNet,above,540,0.8960620917832671,57514.45754891699,43647.93630620371,-22336.5190875,74,0
42,clean,alexnet,AlexNet,all,1080,0.8704085510224286,98028.50393219262,78500.62376254649,31255.188853171483,130,24
42,clean,ensemble__simple_equal,Equal ensemble,below,480,-0.2984098784003604,92206.66919739671,77935.97008504815,53858.34994973565,0,0
42,clean,ensemble__simple_equal,Equal ensemble,near,60,-3.0910867508490934e+30,102337.72170202788,95989.2112671528,-95906.85586215282,59,0
42,clean,ensemble__simple_equal,Equal ensemble,above,540,0.8824522992182355,61164.173467735054,44467.018606111145,-35779.554446296366,57,0
42,clean,ensemble__simple_equal,Equal ensemble,all,1080,0.9159701665366513,78937.0611038762,62204.45218902992,719.108539948064,116,0
42,clean,ensemble__inner_holdout,Inner-holdout ensemble,below,480,-0.3282147026047295,93258.9605065674,78788.41602609589,55915.30094949859,0,0
42,clean,ensemble__inner_holdout,Inner-holdout ensemble,near,60,-2.517515209167246e+30,92356.2304856247,85827.1881768673,-85795.2052946997,59,0
42,clean,ensemble__inner_holdout,Inner-holdout ensemble,above,540,0.9074568363286092,54270.298838863426,39371.93000149217,-22423.004232995543,59,0
42,clean,ensemble__inner_holdout,Inner-holdout ensemble,all,1080,0.9216222549592956,76236.08472376877,59471.21591105911,8873.342455796072,118,0
42,0,randomforest,RandomForest,below,480,-0.012350544129809737,81418.2735415703,73448.32592968791,9964.430714167083,0,2
42,0,randomforest,RandomForest,near,60,-6.356297660240796e+30,146751.40259335685,139584.42626958332,-132218.65946458332,54,0
42,0,randomforest,RandomForest,above,540,0.695459608778306,98449.26827656149,78395.98226444445,-76659.51208518518,46,0
42,0,randomforest,RandomForest,all,1080,0.8787807324724981,94809.1012135997,79596.38189372704,-41246.60125099518,100,2
42,0,conformer,Conformer,below,480,-1.1099643623999138,117542.24701868733,99458.84327794962,54700.86581751994,0,0
42,0,conformer,Conformer,near,60,-3.852762449201757e+30,114252.64517582183,100639.59325635416,-99156.10536302083,58,0
42,0,conformer,Conformer,above,540,0.869159896726743,64529.82406827029,48093.20499335648,-12186.52378946759,59,0
42,0,conformer,Conformer,all,1080,0.8793334884923798,94592.69097669532,73841.62135667553,12709.56150399613,117,0
42,0,alexnet,AlexNet,below,480,-1.8388170494695837,136340.57810192875,125324.12550804061,-7135.353416914803,0,0
42,0,alexnet,AlexNet,near,60,-5.244374348678858e+30,133299.03017000994,123259.34665533854,-123259.34665533854,60,0
42,0,alexnet,AlexNet,above,540,0.7746913093408258,84679.64210406298,65104.95573895831,-28875.749744328703,94,0
42,0,alexnet,AlexNet,all,1080,0.8269234593811787,113287.84219938266,95099.83068723825,-24456.884538311962,154,0
42,0,ensemble__simple_equal,Equal ensemble,below,480,-0.687519153167113,105118.89429475069,98304.40557242268,19176.647704924068,0,1
42,0,ensemble__simple_equal,Equal ensemble,near,60,-4.7839936006100305e+30,127313.78871387696,118211.37049431427,-118211.37049431427,60,0
42,0,ensemble__simple_equal,Equal ensemble,above,540,0.8347786567257907,72514.20939102377,52006.62097768521,-39240.595206327234,60,0
42,0,ensemble__simple_equal,Equal ensemble,all,1080,0.8861711115712314,91873.53970755932,76261.4557707146,-17664.64142843705,120,1
42,0,ensemble__inner_holdout,Inner-holdout ensemble,below,480,-0.7419893553313881,106801.94876450037,97149.17874862536,31884.495100293658,0,0
42,0,ensemble__inner_holdout,Inner-holdout ensemble,near,60,-4.4015025603253286e+30,122118.2653990747,111804.32541608537,-111796.29622246596,59,0
42,0,ensemble__inner_holdout,Inner-holdout ensemble,above,540,0.8546526423267196,68013.26321847182,48653.15717473261,-30908.99360732779,58,0
42,0,ensemble__inner_holdout,Inner-holdout ensemble,all,1080,0.8892691340192657,90614.67767600245,73715.34277653787,-7494.515438114827,117,0
42,-4,randomforest,RandomForest,below,480,-0.020540481953292833,81746.94793286818,73711.05333854209,9903.317367812917,0,2
42,-4,randomforest,RandomForest,near,60,-6.592195089983525e+30,149449.74320411624,142163.75791020834,-134905.432771875,54,0
42,-4,randomforest,RandomForest,above,540,0.6929511428528874,98853.89470202515,78394.36811166668,-76616.70919166667,46,0
42,-4,randomforest,RandomForest,all,1080,0.8773221973966734,95377.77699301297,79855.63875686361,-41401.62647524287,100,2
