seed,snr,model_key,model,r2_mean_matched,rmse_all_mean_matched,mae_all_mean_matched,r2_high_mean_matched,rmse_high_mean_matched,mae_high_mean_matched,rmse_onb_mean_matched,mae_onb_mean_matched,roc_auc_cont_mean_matched,pr_auc_cont_mean_matched,accuracy_mean_matched,precision_mean_matched,recall_mean_matched,f1_mean_matched,r2_mean_clean_only,rmse_all_mean_clean_only,mae_all_mean_clean_only,r2_high_mean_clean_only,rmse_high_mean_clean_only,mae_high_mean_clean_only,rmse_onb_mean_clean_only,mae_onb_mean_clean_only,roc_auc_cont_mean_clean_only,pr_auc_cont_mean_clean_only,accuracy_mean_clean_only,precision_mean_clean_only,recall_mean_clean_only,f1_mean_clean_only,delta_rmse_all_mean_matched_minus_clean_only,delta_rmse_onb_mean_matched_minus_clean_only,delta_r2_mean_matched_minus_clean_only,delta_recall_mean_matched_minus_clean_only,delta_f1_mean_matched_minus_clean_only,relative_rmse_matched_vs_clean_only
42,-4,conformer,Conformer,0.860705,101632.428647,73240.193436,0.903318,59856.73048,45512.255444,68859.620871,61946.289418,0.925764,0.957842,0.893519,0.99591,0.811667,0.894399,0.718414,144500.604149,105629.679299,0.947177,44243.603733,36256.409182,35117.31945,31041.179263,0.932372,0.958434,0.656481,0.621679,0.975,0.759247,-42868.175502,33742.301421000004,0.14229100000000006,-0.16333299999999995,0.13515200000000005,-0.29666433406601544
42,-4,alexnet,AlexNet,0.796637,122800.502424,92938.933996,0.730035,100021.795521,67716.590506,179571.295068,156548.891617,0.94542,0.966567,0.885185,0.995833,0.796667,0.885185,0.761794,132904.834391,97999.301778,0.93156,50361.025113,40030.921233,18670.092241,14563.32239,0.900979,0.940803,0.785185,0.766667,0.881667,0.820155,-10104.331967000006,160901.202827,0.03484300000000007,-0.08499999999999996,0.06503000000000003,-0.07602682034329555
42,-4,ensemble__simple_equal,Equal ensemble,0.889842,90379.82835,74222.929825,0.821372,81360.934225,59572.731677,128817.744908,118578.823005,0.946472,0.968251,0.896296,0.997959,0.815,0.897248,0.846481,106695.424682,78142.846797,0.932154,50141.998977,40251.665172,45426.363218,43059.697537,0.94592,0.968543,0.906481,0.998004,0.833333,0.908265,-16315.596332000001,83391.38169,0.04336099999999998,-0.018333000000000044,-0.011016999999999944,-0.1529174880799975
42,-4,ensemble__inner_holdout,Inner-holdout ensemble,0.887788,91218.628166,74429.614313,0.824468,80652.748073,58249.453968,129346.515937,118376.817614,0.946177,0.968009,0.894444,0.997951,0.811667,0.895221,0.795417,123168.220879,87607.222727,0.960352,38331.254577,31009.915677,19090.690033,14543.063721,0.946562,0.968658,0.900926,0.939394,0.878333,0.907838,-31949.592713000005,110255.825904,0.09237099999999998,-0.066666,-0.01261699999999999,-0.25939802073123364
42,-8,randomforest,RandomForest,0.876916,95535.456768,79793.009072,0.70114,105238.536759,84621.150535,149932.940197,143036.871061,0.928012,0.943909,0.905556,0.996016,0.833333,0.907441,0.878139,95059.809763,79547.921135,0.706561,104279.620715,84561.723081,149066.486884,143394.897884,0.932875,0.946142,0.906481,0.996024,0.835,0.908432,475.6470050000062,866.4533129999763,-0.001222999999999974,-0.001666999999999974,-0.0009909999999999641,0.00500366039218747
42,-8,conformer,Conformer,0.856454,103171.529668,82510.450456,0.882513,65983.64552,51256.944684,89216.609041,76817.615335,0.955385,0.971153,0.902778,0.995992,0.828333,0.904459,0.538627,184965.28527,140798.347929,0.909892,57786.039807,48661.54881,91690.620909,89018.246525,0.912257,0.946201,0.556481,0.55607,1.0,0.714711,-81793.75560199999,-2474.0118680000014,0.3178270000000001,-0.17166700000000001,0.18974800000000003,-0.44221138838351703
42,-8,alexnet,AlexNet,0.812285,117981.306425,94966.736388,0.84356,76140.388721,60790.075026,94078.328893,78016.970698,0.917722,0.950314,0.877778,0.979508,0.796667,0.878676,0.747034,136960.573611,106942.481097,0.888884,64169.585753,54245.278512,16609.592804,13726.977205,0.876819,0.927455,0.743519,0.73508,0.841667,0.784771,-18979.267185999997,77468.736089,0.06525100000000006,-0.04500000000000004,0.09390500000000002,-0.13857467653359534
42,-8,ensemble__simple_equal,Equal ensemble,0.867216,99228.835096,84218.905401,0.830766,79192.52699,63515.231777,106099.393473,97357.900019,0.943271,0.965301,0.9,0.997976,0.821667,0.90128,0.813025,117748.765958,85815.514172,0.946363,44583.357953,36057.039821,27472.131814,25239.731721,0.943344,0.967361,0.912963,0.996078,0.846667,0.915315,-18519.93086200001,78627.26165900001,0.05419099999999999,-0.02499999999999991,-0.01403500000000002,-0.15728343911991327
42,-8,ensemble__inner_holdout,Inner-holdout ensemble,0.862117,101116.103019,84438.895621,0.849086,74783.535283,59662.165494,99628.780415,89804.651851,0.945243,0.966085,0.898148,0.997967,0.818333,0.899267,0.717115,144833.529604,102542.25198,0.972214,32089.003679,26722.393132,34161.4765,31349.195311,0.943646,0.966755,0.585185,0.573218,0.991667,0.726496,-43717.42658500001,65467.303915000004,0.14500200000000008,-0.173334,0.172771,-0.3018460345786713
42,-12,randomforest,RandomForest,0.874382,96513.95695,80656.740533,0.695143,106289.140384,85456.70245,154241.094313,148586.292285,0.929427,0.958357,0.906481,0.996024,0.835,0.908432,0.878833,94788.79885,79362.441227,0.710632,103553.715837,84004.009806,147093.25729,140914.336492,0.934712,0.942519,0.908333,0.99604,0.838333,0.910407,1725.1581000000006,7147.837023,-0.004450999999999983,-0.0033330000000000304,-0.001974999999999949,0.01820002068736004
