seed,snr,model_key,model,r2_mean,rmse_all_mean,mae_all_mean,r2_high_mean,rmse_high_mean,mae_high_mean,rmse_onb_mean,mae_onb_mean,roc_auc_cont_mean,pr_auc_cont_mean,accuracy_mean,precision_mean,recall_mean,f1_mean
42,-20,alexnet,AlexNet,0.879655,94466.407329,79842.247062,0.716747,102453.757794,84084.014957,145072.187392,138968.282514,0.93624,0.963694,0.893519,1.0,0.808333,0.894009
42,-20,ensemble__simple_equal,Equal ensemble,0.888965,90739.164911,75282.710605,0.762562,93802.784092,74200.685144,136356.51784,130491.350292,0.939253,0.965345,0.899074,0.997972,0.82,0.900274
42,-20,ensemble__inner_holdout,Inner-holdout ensemble,0.887551,91314.890881,75982.732064,0.753992,95480.630491,75962.096451,138854.782307,132942.060487,0.939653,0.965441,0.9,0.997976,0.821667,0.90128
43,clean,randomforest,RandomForest,0.876519,95689.602517,80064.196059,0.698052,105780.794635,85451.494298,151402.42828,145810.629198,0.93392,0.941704,0.90463,0.996008,0.831667,0.906449
43,clean,conformer,Conformer,0.884958,92361.989837,73366.690026,0.896031,62071.507688,51544.560717,77958.418105,70066.259465,0.949247,0.969413,0.884259,1.0,0.791667,0.883721
43,clean,alexnet,AlexNet,0.891473,89708.321535,77027.481667,0.814455,82921.057722,71182.406996,109836.758603,100941.142407,0.954535,0.973289,0.887037,1.0,0.796667,0.886827
43,clean,ensemble__simple_equal,Equal ensemble,0.913814,79943.602177,64118.704703,0.87993,66704.843665,51744.677389,109185.97431,103175.728779,0.959743,0.976319,0.891667,1.0,0.805,0.891967
43,clean,ensemble__inner_holdout,Inner-holdout ensemble,0.904257,84259.427551,69225.605287,0.878818,67013.196576,55564.445462,98621.492136,92403.388259,0.957906,0.975351,0.888889,1.0,0.8,0.888889
43,0,randomforest,RandomForest,0.877523,95299.795284,79859.903919,0.701834,105116.148546,84993.934435,147571.405418,140746.995801,0.940516,0.947619,0.905556,0.996016,0.833333,0.907441
43,0,conformer,Conformer,0.854289,103946.729469,83196.171572,0.780644,90160.270774,63466.014733,151240.994698,141069.772682,0.947733,0.968324,0.883333,1.0,0.79,0.882682
43,0,alexnet,AlexNet,0.812114,118035.163129,92986.768798,0.836918,77739.82013,57235.791659,125497.337159,101186.860281,0.916587,0.951699,0.888889,0.98583,0.811667,0.890311
43,0,ensemble__simple_equal,Equal ensemble,0.874345,96528.170815,78965.001805,0.819121,81871.98149,57919.60234,135185.499767,124759.185433,0.935979,0.962883,0.891667,0.997938,0.806667,0.892166
43,0,ensemble__inner_holdout,Inner-holdout ensemble,0.850959,105127.600067,84805.531821,0.834741,78256.984923,55746.280151,129770.222515,114548.25072,0.927767,0.958269,0.890741,0.997934,0.805,0.891144
43,-4,randomforest,RandomForest,0.876234,95800.011278,80111.512853,0.69857,105690.007476,85238.546557,148252.825294,140952.209473,0.934821,0.946989,0.905556,0.996016,0.833333,0.907441
43,-4,conformer,Conformer,0.867299,99197.655213,80936.855447,0.843543,76144.364887,57002.601821,112667.095169,102871.842148,0.951986,0.969776,0.887037,1.0,0.796667,0.886827
43,-4,alexnet,AlexNet,0.858557,102413.060922,80020.412874,0.852671,73889.861025,62453.31413,77050.386923,73653.877566,0.934813,0.959647,0.875,1.0,0.775,0.873239
43,-4,ensemble__simple_equal,Equal ensemble,0.89186,89548.432189,74703.636998,0.839279,77175.064344,59827.354149,109875.327445,103746.952762,0.953535,0.971261,0.892593,1.0,0.806667,0.892989
43,-4,ensemble__inner_holdout,Inner-holdout ensemble,0.885143,92287.455326,77088.47076,0.841715,76588.032472,58427.245414,111564.43466,104205.469172,0.954184,0.971467,0.888889,1.0,0.8,0.888889
43,-8,randomforest,RandomForest,0.876082,95858.604684,80059.15332,0.697252,105920.89751,85242.115558,149637.039035,142361.638249,0.940286,0.947607,0.905556,0.996016,0.833333,0.907441
43,-8,conformer,Conformer,0.873489,96856.247559,76346.396769,0.886546,64841.090198,45472.609254,99219.889154,88874.952766,0.961597,0.974715,0.9,0.997976,0.821667,0.90128
43,-8,alexnet,AlexNet,0.758075,133938.327342,114968.94613,0.764816,93356.589554,85366.045849,79650.025994,59387.278292,0.924156,0.951937,0.856481,0.917448,0.815,0.863195
43,-8,ensemble__simple_equal,Equal ensemble,0.86231,101045.031299,87772.447522,0.81935,81820.072988,68300.524485,103644.670694,95559.450726,0.949927,0.968889,0.900926,0.99798,0.823333,0.902283
43,-8,ensemble__inner_holdout,Inner-holdout ensemble,0.868905,98595.375296,82192.015064,0.8568,72847.011245,56609.532784,100270.95355,91199.211638,0.955896,0.971868,0.899074,0.997972,0.82,0.900274
43,-12,randomforest,RandomForest,0.873388,96895.230298,80925.297335,0.690889,107028.088273,86040.032857,154667.567131,148888.362598,0.927658,0.956929,0.906481,0.996024,0.835,0.908432
43,-12,conformer,Conformer,0.857574,102768.356578,80524.226974,0.869204,69620.502618,48995.193079,106592.883855,94526.872297,0.956872,0.971917,0.891667,0.993865,0.81,0.892562
43,-12,alexnet,AlexNet,0.814207,117376.007014,106364.977042,0.679326,109011.596702,98184.653907,96227.732962,88177.158165,0.949733,0.9684,0.888889,0.997925,0.801667,0.889094
43,-12,ensemble__simple_equal,Equal ensemble,0.86783,98998.782263,86751.159039,0.784118,89443.440451,73674.492345,116597.530622,109908.632714,0.95591,0.971961,0.898148,0.997967,0.818333,0.899267
43,-12,ensemble__inner_holdout,Inner-holdout ensemble,0.869221,98476.525469,84675.272969,0.809188,84089.760179,67257.78393,113850.282379,106572.755622,0.956708,0.972326,0.897222,0.997963,0.816667,0.898258
43,-16,randomforest,RandomForest,0.872399,97272.722585,81097.933997,0.684872,108064.750718,87034.234296,158144.218452,152638.702702,0.917589,0.95374,0.906481,0.996024,0.835,0.908432
43,-16,conformer,Conformer,0.884754,92443.668752,68614.381883,0.903736,59727.189689,46067.815488,75120.361186,71275.54443,0.953215,0.9706,0.894444,0.997951,0.811667,0.895221
43,-16,alexnet,AlexNet,0.905986,83495.21867,65836.678746,0.821667,81293.618145,56539.757749,140305.297706,134197.949051,0.943312,0.96647,0.887963,0.997921,0.8,0.888067
43,-16,ensemble__simple_equal,Equal ensemble,0.901798,85334.494768,69615.433315,0.829597,79465.52771,60836.074318,123601.375276,118110.019082,0.954403,0.971574,0.896296,0.997959,0.815,0.897248
