seed,snr,model_key,model,region,chunks,r2_matched,rmse_matched,mae_matched,mean_residual_matched,misses_matched,false_alarms_matched,r2_clean_only,rmse_clean_only,mae_clean_only,mean_residual_clean_only,misses_clean_only,false_alarms_clean_only,delta_rmse_matched_minus_clean_only,delta_mae_matched_minus_clean_only,delta_mean_residual_matched_minus_clean_only,delta_misses_matched_minus_clean_only,delta_false_alarms_matched_minus_clean_only
42,-4,alexnet,AlexNet,below,480,-2.2718786853983404,146370.99496066422,124466.86335704527,-52394.41925283576,0,2,-4.585319201293731,191240.74538987852,170459.77745895876,170459.77745895876,0,161,-44869.7504292143,-45992.9141019135,-222854.19671179453,0,-159
42,-4,alexnet,AlexNet,near,60,-9.517295081895894e+30,179571.29506808304,156548.8916165365,-154347.62604986984,55,0,-1.0288039721713817e+29,18670.092240749716,14563.322390416668,-4681.451652083344,34,0,160901.20282733333,141985.56922611984,-149666.1743977865,21,0
42,-4,alexnet,AlexNet,above,540,0.7633030505118871,86793.33421690317,57846.33482755678,-30974.202705890115,67,0,0.9126714360447276,52719.12594157962,42860.654437731486,-36492.63312106481,37,0,34074.208275323545,14985.680389825291,5518.430415174698,30,0
42,-4,alexnet,AlexNet,all,1080,0.7966370262995024,122800.5024236488,92938.93399560609,-47348.37802364261,122,2,0.7617937491979028,132904.83439139745,97999.30177787055,57253.5038850002,71,161,-10104.331967748658,-5060.367782264468,-104601.88190864281,51,-159
42,-4,ensemble__simple_equal,Equal ensemble,below,480,-0.5431514441246279,100521.90341356468,92535.67751128583,19623.012561103624,0,1,-2.431706476555813,149903.40433502354,125506.82382694483,124329.85619159762,0,1,-49381.500921458864,-32971.146315659,-104706.843630494,0,0
42,-4,ensemble__simple_equal,Equal ensemble,near,60,-4.8976877041787257e+30,128817.74490809337,118578.82300488718,-116219.5540121094,57,0,-6.090537805818362e+29,45426.363217964376,43059.69753694448,-38550.6621555556,54,0,83391.381690129,75519.12546794271,-77668.89185655379,3,0
42,-4,ensemble__simple_equal,Equal ensemble,above,540,0.8268284131861755,74238.35844158365,53016.499306917125,-48059.41082025049,54,0,0.9194273338088416,50638.85874877351,39939.66157642751,-31969.037861612727,46,0,23599.49969281014,13076.837730489613,-16090.37295863776,8,0
42,-4,ensemble__simple_equal,Equal ensemble,all,1080,0.8898423605812975,90379.82835026001,74222.92982541268,-21765.008383640823,111,1,0.84648062657158,106695.4246815181,78142.84679668615,37131.49147903949,100,1,-16315.596331258086,-3919.916971273473,-58896.49986268031,11,0
42,-4,ensemble__inner_holdout,Inner-holdout ensemble,below,480,-0.6173948486674694,102911.62988392898,94654.81474401346,17915.44940947102,0,1,-3.932270347661185,179713.15361066707,158353.85653983988,158353.85653983988,0,34,-76801.52372673809,-63699.041795826415,-140438.40713036887,0,-33
42,-4,ensemble__inner_holdout,Inner-holdout ensemble,near,60,-4.9379782803393783e+30,129346.51593720776,118376.81761361915,-116144.4718958095,57,0,-1.0756796625079594e+29,19090.69003295196,14543.063720671187,-6055.911483970836,41,0,110255.8259042558,103833.75389294796,-110088.56041183867,16,0
42,-4,ensemble__inner_holdout,Inner-holdout ensemble,above,540,0.8313106816415572,73271.28930776309,51568.63578496589,-45422.51238656956,56,0,0.9499763943043108,39900.42652005226,32839.565894551844,-10897.690522945872,32,0,33370.86278771083,18729.069890414044,-34524.821863623685,24,0
42,-4,ensemble__inner_holdout,Inner-holdout ensemble,all,1080,0.8877881636525792,91218.62816559208,74429.61431280112,-21201.30489439819,113,1,0.7954172872994802,123168.2208787376,87607.22272724203,64594.207007124176,73,34,-31949.592713145525,-13177.60841444091,-85795.51190152236,40,-33
42,-8,randomforest,RandomForest,below,480,-0.021961108835836907,81803.82540469295,73757.83224479208,9976.577393854584,0,2,-0.0291635059792392,82091.58057913113,73280.66870312541,15137.409815729585,0,2,-287.7551744381781,477.1635416666686,-5160.832421875,0,0
42,-8,randomforest,RandomForest,near,60,-6.634891425666447e+30,149932.94019653636,143036.87106125,-135639.55633958333,54,0,-6.558427740059521e+30,149066.4868844366,143394.89788416668,-136189.39253749998,54,0,866.4533120997658,-358.0268229166686,549.8361979166511,0,0
42,-8,randomforest,RandomForest,above,540,0.6918242562947838,99035.12824395897,78130.51492041667,-76489.33989189815,46,0,0.697934013309393,98048.5001600178,78024.70365833334,-76316.56833518519,45,0,986.6280839411775,105.81126208332716,-172.7715567129635,1,0
42,-8,randomforest,RandomForest,all,1080,0.8769162370419811,95535.45676849996,79793.00907240759,-41346.166456435,100,2,0.8781387922319643,95059.80976340012,79547.92113523166,-38996.62383490722,99,2,475.64700509984687,245.08793717592198,-2349.5426215277766,1,0
42,-8,conformer,Conformer,below,480,-1.8264111090688568,136042.34030739352,121577.33267091704,35752.912779812934,0,2,-10.118298392301268,269820.90301400376,255969.34682744835,255969.34682744835,0,479,-133778.56270661025,-134392.0141565313,-220216.4340476354,0,-477
42,-8,conformer,Conformer,near,60,-2.3492602485554528e+30,89216.60904117115,76817.61533479166,-71598.58459479167,52,0,-2.4813586029943253e+30,91690.62090942771,89018.24652500001,89018.24652500001,0,0,-2474.0118682565662,-12200.631190208354,-160616.83111979166,52,0
42,-8,conformer,Conformer,above,540,0.8757864876574956,62874.488229996256,48416.87016722222,-43484.44900648148,51,0,0.9127715019847116,52688.91302653433,44177.47128657407,40025.24792638888,0,0,10185.575203461929,4239.39888064815,-83509.69693287037,51,0
42,-8,conformer,Conformer,all,1080,0.8564539204769888,103171.52966755087,82510.45045595156,-9829.740189701197,103,2,0.5386271337696423,184965.28527032,140798.34792909745,138722.23624900484,0,479,-81793.75560276912,-58287.89747314589,-148551.97643870604,103,-477
