snr,model,sample_id,val_local_index,baseline_value_raw_power,nodes,completeness_passed,map_converged,completeness_error_w_m2,final_map_relative_l1_change,alternate_baseline_available
no_noise,conformer,near_onb_below_val0300,300,0.0,4096,False,False,-115.61060755209252,0.003898675323467884,False
no_noise,conformer,near_onb_above_val0420,420,0.0,4096,False,False,234.8462875426402,0.004544679655024124,False
no_noise,conformer,false_negative_val0573,573,0.0,4096,False,False,119.27810328510535,0.004143568643715697,False
no_noise,conformer,worst_prediction_val0057,57,0.0,2048,True,True,1.5178992116242955,0.006183328613790067,False
no_noise,conformer,low_heatflux_val0000,0,0.0,4096,False,False,14.532378140789355,0.0037981442981401604,False
no_noise,alexnet,near_onb_below_val0300,300,0.0,4096,False,False,63.865663791014875,0.004053984014377875,False
no_noise,alexnet,near_onb_above_val0420,420,0.0,4096,False,False,-221.55087464492223,0.005238623808004613,False
no_noise,alexnet,false_negative_val0424,424,0.0,4096,False,False,181.6121240424701,0.004535004667336553,False
no_noise,alexnet,low_heatflux_val0000,0,0.0,4096,False,False,-109.98281389705565,0.004006252753306583,False
no_noise,alexnet,high_heatflux_val1020,1020,0.0,4096,True,False,66.98630129551104,0.012711855924892972,False
-8,conformer,near_onb_below_val0300,300,0.0,2048,True,True,157.33407124799496,0.008895356691947227,False
-8,conformer,near_onb_above_val0420,420,0.0,4096,True,True,-365.75271216803725,0.004867127106819697,False
-8,conformer,false_negative_val0508,508,0.0,4096,True,True,-314.6305998187788,0.0054944538895825325,False
-8,conformer,low_heatflux_val0000,0,0.0,2048,True,True,-262.63628356533735,0.008852375159525982,False
-8,conformer,high_heatflux_val1020,1020,0.0,4096,False,False,553.0312079529436,0.0078614852109848,False
-8,alexnet,near_onb_below_val0300,300,0.0,4096,True,True,118.45979256617395,0.007050733423836088,False
-8,alexnet,near_onb_above_val0420,420,0.0,4096,True,True,302.3520948182865,0.006638349438963556,False
-8,alexnet,false_negative_val0573,573,0.0,4096,False,False,-866.392986034445,0.007356634439027361,False
-8,alexnet,low_heatflux_val0000,0,0.0,4096,False,False,556.8838539904881,0.0074539571505503575,False
-8,alexnet,high_heatflux_val1020,1020,0.0,4096,True,False,-19.465271547308646,0.01181933983252125,False
