snr,model,band,selected_samples,selected_improved,selected_worsened,selected_mean_abs_error_change_w_m2,selected_median_abs_error_change_w_m2,all_1080_r2_drop,all_1080_rmse_increase_w_m2,run_onb_60_rmse_increase_w_m2,base_recall,masked_recall,base_f1,masked_f1,f1_drop,run_onb_false_negative_increase
no_noise,randomforest,freq_0_256Hz,5,0,0,0.0,0.0,0.0,0.0,0.0,0.8283333333333334,0.8283333333333334,0.9044585987261147,0.9044585987261147,0.0,0
no_noise,randomforest,freq_256_512Hz,5,0,0,0.0,0.0,0.0,0.0,0.0,0.8283333333333334,0.8283333333333334,0.9044585987261147,0.9044585987261147,0.0,0
no_noise,randomforest,freq_512_1000Hz,5,1,4,824.20703125,1297.9296875,-0.0032242542443406963,-1139.9147413146275,-498.6134785276372,0.8283333333333334,0.8283333333333334,0.9044585987261147,0.9044585987261147,0.0,0
no_noise,randomforest,freq_1000_2000Hz,5,2,3,508.325,1182.5,0.00023355012754544546,82.09188686752168,-57.70979202107992,0.8283333333333334,0.8283333333333334,0.9044585987261147,0.9044585987261147,0.0,0
no_noise,randomforest,freq_2000_5000Hz,5,1,4,61733.27578125,10171.48046875,0.4620446379840073,107584.32477719989,12897.166731193749,0.8283333333333334,0.7166666666666667,0.9044585987261147,0.8349514563106796,0.0695071424154351,67
no_noise,randomforest,freq_5000_10000Hz,5,0,2,506.3953125,0.0,0.001237501624000159,434.2517208000936,425.43102544543217,0.8283333333333334,0.8283333333333334,0.9044585987261147,0.9044585987261147,0.0,0
no_noise,randomforest,freq_10000_15000Hz,5,0,0,0.0,0.0,3.486029595844986e-05,12.257304797574761,0.0,0.8283333333333334,0.8283333333333334,0.9044585987261147,0.9044585987261147,0.0,0
no_noise,randomforest,freq_15000_22000Hz,5,0,0,0.0,0.0,3.0760775526217365e-05,10.815937387073063,0.0,0.8283333333333334,0.8283333333333334,0.9044585987261147,0.9044585987261147,0.0,0
no_noise,conformer,freq_0_256Hz,5,4,1,-16.55,-21.703125,-0.0009594816971272291,-411.1755571444519,4.489417366756243,0.8416666666666667,0.8416666666666667,0.9132007233273056,0.9132007233273056,0.0,0
no_noise,conformer,freq_256_512Hz,5,2,3,4742.6,26092.40625,0.07701635788644234,28306.64865861884,35711.709704687615,0.8416666666666667,0.8116666666666666,0.9132007233273056,0.8952205882352942,0.017980135092011462,18
no_noise,conformer,freq_512_1000Hz,5,3,2,-19593.60111,-28062.72257500002,0.3577011908108624,97790.70739327269,-60371.24602194943,0.8416666666666667,0.935,0.9132007233273056,0.8926014319809069,0.020599291346398707,-56
no_noise,conformer,freq_1000_2000Hz,5,1,4,15113.733264999988,23422.90242499998,0.5957679208932452,140650.22634046493,-25498.54065714468,0.8416666666666667,1.0,0.9132007233273056,0.7142857142857143,0.19891500904159132,-95
no_noise,conformer,freq_2000_5000Hz,5,1,4,116234.041475,151731.13890000002,0.8276041227845519,175745.7813048972,91418.21689748063,0.8416666666666667,1.0,0.9132007233273056,0.7142857142857143,0.19891500904159132,-95
no_noise,conformer,freq_5000_10000Hz,5,1,4,191813.785225,222636.35937499997,1.223830383988592,226759.24521093463,168278.22824165242,0.8416666666666667,1.0,0.9132007233273056,0.7142857142857143,0.19891500904159132,-95
no_noise,conformer,freq_10000_15000Hz,5,1,4,31236.083264999987,61704.51390000002,0.8148054838772967,173931.57505215803,-17959.095815635796,0.8416666666666667,1.0,0.9132007233273056,0.7142857142857143,0.19891500904159132,-95
no_noise,conformer,freq_15000_22000Hz,5,2,3,22770.74609375,100814.4140625,0.7813782133081342,169132.594325143,106549.34750258987,0.8416666666666667,0.4816666666666667,0.9132007233273056,0.6501687289088864,0.2630319944184192,216
no_noise,alexnet,freq_0_256Hz,5,1,4,2094.74296875,2.578125,0.003768962107042362,1541.4307450403576,-0.32685709398356266,0.7983333333333333,0.7983333333333333,0.8878591288229842,0.8878591288229842,0.0,0
no_noise,alexnet,freq_256_512Hz,5,4,1,-4045.24609375,-3008.9375,-0.0023219028193592894,-962.9122825677041,-4003.3472584344854,0.7983333333333333,0.7983333333333333,0.8878591288229842,0.8878591288229842,0.0,0
no_noise,alexnet,freq_512_1000Hz,5,1,4,192363.47234375,136225.59202500002,4.034221659389463,464397.00522605225,118934.59867325341,0.7983333333333333,1.0,0.8878591288229842,0.7142857142857143,0.17357341453726993,-121
no_noise,alexnet,freq_1000_2000Hz,5,0,5,572178.99109375,391346.154525,16.090691156851094,1006130.9854631337,450006.2966195068,0.7983333333333333,1.0,0.8878591288229842,0.7142857142857143,0.17357341453726993,-121
