evaluation_unit,model_key,aggregation,n_wavs,claim_safe,claim_note,r2,rmse_all,mae_all,r2_high,rmse_high,mae_high,rmse_onb,mae_onb,n_onb,roc_auc_cont,pr_auc_cont,accuracy,precision,recall,f1,auc_binary
source_wav_pooled_oof,rf,mean,18,1,held_out_experiment_day,0.84778174852857746,106242.32500800888,90571.939276608973,0.68904238856961531,91008.94336906122,82273.098039322911,43620.513068749977,43620.513068749977,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375
source_wav_pooled_oof,rf,median,18,1,held_out_experiment_day,0.83227947628320575,111521.16733453356,96294.928070995549,0.64286377220536772,97532.74107941761,85876.904712499992,47197.4951,47197.4951,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375
source_wav_pooled_oof,rf,p90,18,1,held_out_experiment_day,0.74237858388123179,138215.00168107921,117730.61576300945,0.076253820361773084,156859.13073716735,134065.70359375002,22326.59865,22326.59865,1,1,1,1,1,1,1,1
source_wav_pooled_oof,cnntf_v2_gap,mean,18,1,held_out_experiment_day,0.33298992567182861,222397.75477445658,182587.84510820621,-2.5667172726935905,308224.96986741805,292791.94898072915,142558.99500416667,142558.99500416667,1,1,1,1,1,1,1,1
source_wav_pooled_oof,cnntf_v2_gap,median,18,1,held_out_experiment_day,0.30343705187286207,227271.19032757491,189555.70770224553,-2.6771895217132204,312961.90976019826,298553.2954,167037.84865,167037.84865,1,1,1,1,1,1,1,1
source_wav_pooled_oof,cnntf_v2_gap,p90,18,1,held_out_experiment_day,0.15122469444402231,250876.83933636628,208330.98025155111,-3.5133842113311227,346724.57858542632,335674.52899374999,287285.17364999995,287285.17364999995,1,1,1,0.94444444444444442,0.88888888888888884,1,0.94117647058823528,0.95000000000000007
source_wav_pooled_oof,alexnet,mean,18,1,held_out_experiment_day,0.81006784925881958,118676.14890888974,94828.660591134438,0.378790954629322,128632.98912651645,93155.714823177084,19173.766714583326,19173.766714583326,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375
source_wav_pooled_oof,alexnet,median,18,1,held_out_experiment_day,0.80228709550443678,121082.59216226268,96696.248264745562,0.37831059792545796,128682.71295044261,91287.855415625003,2555.9326000000001,2555.9326000000001,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375
source_wav_pooled_oof,alexnet,p90,18,1,held_out_experiment_day,0.81207300902428292,118048.04029767998,94120.918573773335,0.39302925896249818,127150.28985696056,102209.119665625,79984.779900000023,79984.779900000023,1,1,1,1,1,1,1,1
source_wav_pooled_oof,ensemble__performance_kfold,mean,18,1,no_outer_validation_labels_used_for_weights,0.85327340894671277,104308.23951341609,88499.328727363973,0.69271015905489963,90470.622306140023,79572.772589462751,20740.615140778304,20740.615140778304,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375
source_wav_pooled_oof,ensemble__performance_kfold,median,18,1,no_outer_validation_labels_used_for_weights,0.84160683757532384,108375.82504945649,92437.57841514227,0.66235301427659299,94834.184687341447,82535.769118230877,16079.785954436753,16079.785954436753,1,1,1,0.94444444444444442,1,0.875,0.93333333333333335,0.9375
source_wav_pooled_oof,ensemble__performance_kfold,p90,18,1,no_outer_validation_labels_used_for_weights,0.78267040166673141,126947.35028017203,106816.3037838842,0.26634530103049703,139791.03747531402,121221.07049088157,33288.479844617425,33288.479844617425,1,1,1,1,1,1,1,1
