snr,model,r2_mean,rmse_all_mean,mae_all_mean,r2_high_mean,rmse_high_mean,mae_high_mean,rmse_onb_mean,mae_onb_mean,auc_binary_mean,roc_auc_cont_mean,pr_auc_cont_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,r2_se,rmse_all_se,mae_all_se,r2_high_se,rmse_high_se,mae_high_se,rmse_onb_se,mae_onb_se,auc_binary_se,roc_auc_cont_se,pr_auc_cont_se,accuracy_se,precision_se,recall_se,f1_se,maxfreq_khz
-12,RandomForest,0.896592,84084.87418,70593.611957,0.7718,64495.498114,57129.593088,27090.361684,18545.5415,0.949769,0.998909,0.998967,0.948148,0.981627,0.909259,0.938035,0.016861,8611.431981,7948.82415,0.09237,8655.424592,8602.23352,0.0,0.0,0.043146,0.001091,0.001033,0.042502,0.018373,0.090741,0.048491,3
-12,CNN+Tf v2 GAP,0.900029,82378.470299,61134.182613,0.923822,38992.91852,30923.909767,28221.573525,21545.142479,0.97037,0.996749,0.996502,0.97037,0.991453,0.948148,0.968254,0.019744,9387.233797,6192.679484,0.021009,4551.001091,3046.252287,0.0,0.0,0.02963,0.003251,0.003498,0.02963,0.008547,0.051852,0.031746,3
-12,AlexNet,0.886821,87716.759574,66981.412531,0.806026,63529.842324,50777.014076,32601.829914,24256.265271,0.966667,0.999568,0.999553,0.966667,1.0,0.933333,0.962963,0.019241,7252.415285,6076.471761,0.04634,11209.691745,7043.099318,0.0,0.0,0.033333,0.000432,0.000447,0.033333,0.0,0.066667,0.037037,3
-12,Ensemble simple equal,0.907593,79286.926693,60353.348069,0.897453,46822.716649,37111.134288,26359.726167,17998.890847,0.964815,0.999177,0.999195,0.964815,1.0,0.92963,0.960663,0.01714,8480.037906,7115.456276,0.026847,10447.898315,8161.849705,0.0,0.0,0.035185,0.000823,0.000805,0.035185,0.0,0.07037,0.039337,3
-12,Ensemble inner holdout,0.906744,79553.590064,59903.148947,0.905692,45124.74784,35312.334398,26287.329414,18096.034565,0.966667,0.999053,0.999072,0.966667,1.0,0.933333,0.962963,0.018388,8839.116407,6890.895278,0.026044,10701.415648,8310.144963,0.0,0.0,0.033333,0.000947,0.000928,0.033333,0.0,0.066667,0.037037,3
-16,RandomForest,0.897313,83764.69946,70858.981651,0.774411,64000.301685,56774.319844,26543.270075,18365.650062,0.947917,0.998848,0.998934,0.946296,0.981627,0.905556,0.935537,0.017141,8741.582537,7965.918185,0.092301,8897.331932,8812.570596,0.0,0.0,0.044989,0.001152,0.001066,0.044338,0.018373,0.094444,0.050954,3
-16,CNN+Tf v2 GAP,0.903327,81088.356857,61369.073426,0.925687,39487.147086,30601.107279,31055.909611,22484.745396,0.961806,0.997551,0.997431,0.960185,0.974961,0.938889,0.95419,0.017374,7799.704151,5958.73791,0.014358,5334.109163,4160.016753,0.0,0.0,0.031188,0.002449,0.002569,0.030612,0.016109,0.061111,0.032681,3
-16,AlexNet,0.872298,93784.307467,75920.614731,0.729223,73314.504887,62033.830394,59717.546964,50590.070625,0.944444,0.999167,0.999196,0.944444,1.0,0.888889,0.933333,0.004516,2137.187587,913.27221,0.071901,5970.532973,6861.320304,0.0,0.0,0.055556,0.000833,0.000804,0.055556,0.0,0.111111,0.066667,3
-16,Ensemble simple equal,0.906394,80234.587207,62009.166816,0.890379,48816.293748,38461.231679,33834.858891,24595.724597,0.950926,0.999218,0.999243,0.950926,1.0,0.901852,0.942454,0.011487,6761.794952,5680.486215,0.015296,7686.959372,5519.362744,0.0,0.0,0.049074,0.000782,0.000757,0.049074,0.0,0.098148,0.057546,3
-16,Ensemble inner holdout,0.907271,79823.098464,61464.530798,0.893347,47788.221389,37320.627932,32169.895076,23023.563787,0.95463,0.999136,0.999159,0.95463,1.0,0.909259,0.947481,0.012123,7046.960135,5824.914585,0.018095,7385.675365,5385.817307,0.0,0.0,0.04537,0.000864,0.000841,0.04537,0.0,0.090741,0.052519,3
-20,RandomForest,0.897472,83734.608416,70724.17122,0.779126,63605.278256,55973.911691,26756.468364,18283.255625,0.953472,0.998714,0.998822,0.951852,0.981627,0.916667,0.942934,0.01665,8581.072219,7927.054416,0.088,8651.37317,8583.510891,0.0,0.0,0.039461,0.001286,0.001178,0.038834,0.018373,0.083333,0.043669,3
-20,CNN+Tf v2 GAP,0.894132,84951.228688,65940.115243,0.914227,41718.162092,33785.552703,31829.209016,24642.980563,0.969907,0.997942,0.997781,0.968519,0.975794,0.955556,0.964419,0.018349,8504.014307,6505.873685,0.020252,3114.65612,2749.452794,0.0,0.0,0.024114,0.002058,0.002219,0.023643,0.013752,0.044444,0.024423,3
-20,AlexNet,0.88944,87377.783178,69328.320539,0.843271,60310.062071,48158.300751,43914.903274,32159.332271,0.955556,0.997521,0.997483,0.955556,1.0,0.911111,0.948718,0.009515,6167.664585,4655.017842,0.035166,14734.176308,12048.143531,0.0,0.0,0.044444,0.002479,0.002517,0.044444,0.0,0.088889,0.051282,3
-20,Ensemble simple equal,0.903933,81095.22165,63582.333072,0.895705,47934.925971,38053.665314,28114.640478,19151.715819,0.965741,0.999023,0.999062,0.965741,1.0,0.931481,0.961816,0.015345,8393.773323,6416.47461,0.014247,8289.062773,5928.767784,0.0,0.0,0.034259,0.000977,0.000938,0.034259,0.0,0.068519,0.038184,3
-20,Ensemble inner holdout,0.904373,80907.159997,63112.462848,0.902733,46321.492817,36524.861775,27824.286303,19108.150887,0.966667,0.998981,0.999018,0.966667,1.0,0.933333,0.962963,0.015206,8298.660112,6131.137368,0.011309,7658.757722,5461.698557,0.0,0.0,0.033333,0.001019,0.000982,0.033333,0.0,0.066667,0.037037,3
no_noise,RandomForest,0.885654,88254.617649,72361.608764,0.768767,64634.407451,57122.187935,32366.025984,22772.903417,0.947454,0.998302,0.99845,0.946296,0.986667,0.901852,0.935651,0.021512,10459.408863,9135.087623,0.096281,8511.362415,8281.010978,0.0,0.0,0.047433,0.001698,0.00155,0.046931,0.013333,0.098148,0.054464,22
no_noise,CNN+Tf v2 GAP,0.950886,54623.282712,41566.516786,0.949227,30296.101059,24645.372982,25546.242679,19300.022271,0.963426,0.999331,0.999312,0.962963,0.994536,0.92963,0.957908,0.024937,13584.687416,10315.613818,0.021203,3475.137235,2998.423983,0.0,0.0,0.034512,0.000669,0.000688,0.034297,0.005464,0.07037,0.038035,22
no_noise,AlexNet,0.923548,71954.491917,56881.220598,0.906189,46448.820084,39434.860831,37761.203128,27461.878198,0.958333,0.999249,0.999249,0.958333,1.0,0.916667,0.953174,0.011238,3462.293924,2375.221284,0.026514,12324.424923,11452.796284,0.0,0.0,0.037577,0.000751,0.000751,0.037577,0.0,0.075154,0.042694,22
no_noise,Ensemble simple equal,0.935052,66165.477596,50467.275444,0.924395,39789.173693,32659.30741,28708.299374,20541.443212,0.958333,0.99963,0.99964,0.958333,1.0,0.916667,0.952381,0.014285,7160.692605,6579.60695,0.018877,7836.673016,6184.747426,0.0,0.0,0.041667,0.00037,0.00036,0.041667,0.0,0.083333,0.047619,22
no_noise,Ensemble inner holdout,0.940495,62942.415063,47871.787547,0.938675,36043.81157,29073.316275,27855.695376,20490.45407,0.960185,0.99965,0.999658,0.960185,1.0,0.92037,0.954784,0.016034,8097.96655,6359.727416,0.015141,7413.685894,5703.088385,0.0,0.0,0.039815,0.00035,0.000342,0.039815,0.0,0.07963,0.045216,22
0,RandomForest,0.88734,87603.21161,72975.405819,0.767499,65328.294457,58933.287873,45115.109564,42631.903229,0.981944,0.998488,0.998627,0.980556,0.984127,0.972222,0.977377,0.021085,10284.471201,8166.191746,0.092404,7591.059014,6030.515204,0.0,0.0,0.012345,0.001512,0.001373,0.012108,0.015873,0.027778,0.012582,22
0,CNN+Tf v2 GAP,0.929581,65264.218563,45508.542125,0.965594,26378.168671,21005.650527,26684.07248,20226.610906,0.96713,0.998477,0.998443,0.966667,0.990091,0.940741,0.962902,0.035639,16152.723022,8690.091682,0.009022,3795.155306,3377.144432,0.0,0.0,0.030811,0.001523,0.001557,0.030598,0.005033,0.059259,0.033052,22
0,AlexNet,0.900229,82877.674678,59105.669049,0.904922,45177.102942,37122.598022,42650.531353,34891.204958,0.955556,0.999486,0.999486,0.955556,1.0,0.911111,0.949306,0.00829,4566.733226,6713.634265,0.052623,17523.036738,14752.113162,0.0,0.0,0.041698,0.000514,0.000514,0.041698,0.0,0.083395,0.047928,22
0,Ensemble simple equal,0.920591,72995.552306,53756.487845,0.926249,39343.864223,32329.137343,31173.452888,23209.731253,0.975,0.999465,0.999481,0.975,1.0,0.95,0.972973,0.019371,9010.718176,7209.905053,0.023644,10101.633607,7904.09911,0.0,0.0,0.025,0.000535,0.000519,0.025,0.0,0.05,0.027027,22
0,Ensemble inner holdout,0.923203,71739.95202,51518.350983,0.939371,36051.382486,28689.269222,30588.057607,22684.470495,0.967593,0.999465,0.999479,0.967593,1.0,0.935185,0.964103,0.019031,8833.672323,6734.387679,0.024312,11089.082834,8841.981234,0.0,0.0,0.032407,0.000535,0.000521,0.032407,0.0,0.064815,0.035897,22
-4,RandomForest,0.892385,85590.7983,70838.895028,0.769967,64171.257456,56549.795057,29953.662642,19650.315542,0.949769,0.998385,0.998535,0.949074,0.99187,0.903704,0.939608,0.020586,10290.491323,8821.298238,0.098143,8992.133692,8811.911569,0.0,0.0,0.047141,0.001615,0.001465,0.046821,0.00813,0.096296,0.054336,22
-4,CNN+Tf v2 GAP,0.912754,73497.62022,52440.334869,0.940475,31353.262243,25694.68921,32002.110248,23747.872313,0.971991,0.99927,0.999283,0.971296,0.989705,0.95,0.967941,0.040025,16249.234766,10216.981996,0.031465,3382.800853,3629.15854,0.0,0.0,0.02495,0.00073,0.000717,0.024655,0.007293,0.05,0.026131,22
-4,AlexNet,0.886627,87876.564329,64405.098108,0.900201,47561.076469,39731.895226,43827.368367,32249.446396,0.956481,0.999115,0.999103,0.956481,1.0,0.912963,0.950785,0.012643,2968.49235,1736.780244,0.040572,15218.43331,13191.644297,0.0,0.0,0.039425,0.000885,0.000897,0.039425,0.0,0.078851,0.045078,22
-4,Ensemble simple equal,0.914888,75682.667794,55438.494554,0.923619,40074.167634,32664.642536,31040.721524,21261.145819,0.961111,0.999547,0.999562,0.961111,1.0,0.922222,0.955975,0.019097,8171.659088,6554.219623,0.019909,8452.889138,6644.193064,0.0,0.0,0.038889,0.000453,0.000438,0.038889,0.0,0.077778,0.044025,22
-4,Ensemble inner holdout,0.915866,75133.171249,53968.545062,0.938906,36513.74709,29352.515253,31336.41265,21797.53124,0.966667,0.999506,0.999524,0.966667,1.0,0.933333,0.962963,0.019621,8223.948799,5685.639869,0.018318,9289.174186,7173.118238,0.0,0.0,0.033333,0.000494,0.000476,0.033333,0.0,0.066667,0.037037,22
-8,RandomForest,0.898177,83460.179269,69800.249855,0.773418,63859.149051,56142.001016,25377.263653,15950.916937,0.951852,0.9982,0.998384,0.95,0.979167,0.914815,0.940415,0.016901,8988.460695,7813.452832,0.095054,9163.85534,9059.729362,0.0,0.0,0.040104,0.0018,0.001616,0.039414,0.020833,0.085185,0.044442,22
-8,CNN+Tf v2 GAP,0.904295,78026.296736,56512.939079,0.934959,36135.268933,29455.245359,44261.067804,33345.12599,0.949306,0.997767,0.997793,0.949074,0.994701,0.901852,0.941153,0.039222,15870.383721,9665.702677,0.017251,4083.996768,4334.513872,0.0,0.0,0.045522,0.002233,0.002207,0.045399,0.002656,0.089944,0.052585,22
-8,AlexNet,0.895725,83847.251427,63844.544974,0.879167,52894.946866,45278.417085,48910.17496,42452.404396,0.94537,0.999588,0.999563,0.94537,1.0,0.890741,0.935432,0.017572,5821.514741,1330.014496,0.024008,12284.220285,11260.448288,0.0,0.0,0.051877,0.000412,0.000437,0.051877,0.0,0.103753,0.061796,22
-8,Ensemble simple equal,0.915496,75265.359622,56618.073073,0.917004,42685.844967,35424.068395,36041.353621,27469.18976,0.951852,0.999198,0.999223,0.951852,1.0,0.903704,0.943723,0.021039,9629.530663,6887.785595,0.015986,8456.998117,6534.811232,0.0,0.0,0.048148,0.000802,0.000777,0.048148,0.0,0.096296,0.056277,22
-8,Ensemble inner holdout,0.916116,74679.391036,54742.452374,0.93432,38560.252775,31205.098218,37341.67807,28634.385311,0.95463,0.998961,0.999001,0.95463,1.0,0.909259,0.947481,0.023533,10614.141477,6553.980455,0.018261,9855.68847,8195.605491,0.0,0.0,0.04537,0.001039,0.000999,0.04537,0.0,0.090741,0.052519,22
-12,RandomForest,0.899464,82908.99231,69907.25351,0.778872,63140.863258,55293.154507,25084.274314,15491.312458,0.956481,0.998632,0.998761,0.95463,0.979167,0.924074,0.946405,0.016555,8654.106895,7947.342433,0.092127,9380.718096,9384.956708,0.0,0.0,0.035513,0.001368,0.001239,0.034855,0.020833,0.075926,0.038606,22
-12,CNN+Tf v2 GAP,0.900429,80483.825733,58700.990402,0.929923,35585.12388,28742.696105,27903.667488,21170.021375,0.961574,0.997551,0.997419,0.961111,0.987686,0.931481,0.956345,0.034619,14623.860355,9340.814853,0.029052,5103.291498,4078.876133,0.0,0.0,0.036362,0.002449,0.002581,0.036147,0.006273,0.068519,0.039594,22
-12,AlexNet,0.908818,78898.896837,61295.461728,0.870945,53589.702179,44734.560293,51392.882438,41573.064292,0.947222,0.998529,0.998538,0.947222,1.0,0.894444,0.937294,0.014395,6891.359342,4547.527631,0.007494,8429.164068,6380.935911,0.0,0.0,0.052778,0.001471,0.001462,0.052778,0.0,0.105556,0.062706,22
-12,Ensemble simple equal,0.917326,74616.625799,56919.634401,0.919256,41762.404015,34031.954083,30445.1667,21751.149694,0.959259,0.998848,0.998878,0.959259,1.0,0.918519,0.953586,0.019297,9978.991123,7713.497516,0.019237,8922.127143,6592.805121,0.0,0.0,0.040741,0.001152,0.001122,0.040741,0.0,0.081481,0.046414,22
-12,Ensemble inner holdout,0.916525,74836.722321,55565.889609,0.935084,38146.575754,30099.620122,30576.712866,22240.158494,0.958333,0.998848,0.998875,0.958333,1.0,0.916667,0.952381,0.02068,10437.752483,7272.750681,0.01845,9715.930912,7608.311613,0.0,0.0,0.041667,0.001152,0.001125,0.041667,0.0,0.083333,0.047619,22
-16,RandomForest,0.898897,83136.26281,70289.109499,0.777407,63586.211275,55920.761407,26745.741718,17205.658312,0.95,0.997963,0.998155,0.948148,0.979167,0.911111,0.937965,0.016571,8543.955027,7821.208433,0.090887,9021.782001,8863.789827,0.0,0.0,0.041944,0.002037,0.001845,0.041243,0.020833,0.088889,0.046841,22
-16,CNN+Tf v2 GAP,0.935789,65750.432581,49860.767824,0.953385,30737.045402,24296.639191,30822.82409,23388.095271,0.961111,0.997047,0.996984,0.961111,0.997619,0.924074,0.95625,0.013478,6309.040632,4781.351212,0.011753,3828.298852,2547.020421,0.0,0.0,0.038889,0.002953,0.003016,0.038889,0.002381,0.075926,0.04375,22
-16,AlexNet,0.876751,92204.65735,73692.020602,0.862596,55310.335068,47009.147661,52052.349066,41316.579781,0.953009,0.997603,0.997421,0.952778,0.99472,0.909259,0.945198,0.008386,5141.752269,4229.792296,0.048653,14940.350004,14135.188815,0.0,0.0,0.045953,0.002397,0.002579,0.04584,0.002648,0.090741,0.052741,22
-16,Ensemble simple equal,0.929818,69596.147807,56475.86896,0.921758,41575.654442,34200.12557,33268.677962,25179.332997,0.956481,0.998405,0.998379,0.956481,0.997531,0.914815,0.950265,0.005685,4564.613819,4345.465728,0.009541,7045.648656,4957.444579,0.0,0.0,0.043519,0.001595,0.001621,0.043519,0.002469,0.085185,0.049735,22
-16,Ensemble inner holdout,0.931924,68484.892051,54966.33676,0.933609,38732.554824,31255.242313,33124.087956,25239.131328,0.956481,0.998333,0.998309,0.956481,0.997531,0.914815,0.950265,0.005746,4113.300422,3802.017774,0.009675,7709.017264,5792.820569,0.0,0.0,0.043519,0.001667,0.001691,0.043519,0.002469,0.085185,0.049735,22
-20,RandomForest,0.89631,84096.766193,71219.393713,0.777539,63428.277845,55826.039065,27113.810911,17389.94925,0.94537,0.998426,0.998573,0.943519,0.979167,0.901852,0.931701,0.017971,8716.350059,8221.08651,0.09194,9224.248813,8992.59552,0.0,0.0,0.046546,0.001574,0.001427,0.045822,0.020833,0.098148,0.052994,22
-20,CNN+Tf v2 GAP,0.908464,78999.35903,60974.22631,0.931965,39250.348952,31605.130983,40854.386721,33265.480792,0.950463,0.998457,0.998362,0.95,0.991971,0.905556,0.941331,0.014568,6503.598985,4232.000903,0.014173,8829.364164,6476.391972,0.0,0.0,0.047469,0.001543,0.001638,0.047249,0.004735,0.094444,0.054589,22
-20,AlexNet,0.88269,89469.207251,71121.113013,0.86819,55039.806555,47191.288195,79775.213153,68746.731854,0.943519,0.997798,0.997743,0.943519,0.99729,0.888889,0.933231,0.02225,10646.177104,9773.05613,0.039791,14823.754503,13729.597664,0.0,0.0,0.053728,0.002202,0.002257,0.053728,0.00271,0.105604,0.063996,22
-20,Ensemble simple equal,0.91211,77836.035826,61742.012034,0.906275,45967.565604,38251.375355,46154.924162,38015.244007,0.945602,0.998909,0.99892,0.94537,0.997245,0.892593,0.934599,0.010695,6896.233944,5699.797722,0.015123,9341.359626,7016.886142,0.0,0.0,0.05336,0.001091,0.00108,0.053247,0.002755,0.107407,0.063337,22
-20,Ensemble inner holdout,0.910265,78576.067327,61857.185682,0.910972,44723.385007,36900.360548,43752.557101,35638.666388,0.945833,0.999105,0.999124,0.94537,0.994536,0.894444,0.934539,0.010893,6659.786149,5322.413305,0.015231,9154.027791,6792.281531,0.0,0.0,0.052097,0.000895,0.000876,0.051877,0.005464,0.105556,0.061375,22
