run,experiment,maxfreq,snr,created_at,epochs_requested,folds,n_wavs,n_chunks,original_threshold,evaluated_threshold,run_manifest,wav_evaluation_present
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=10kHz,-20,2026-09-03T17:12:19,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-20/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=15kHz,-20,2026-09-03T18:53:44,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-20/maxfreq=15kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-20,2026-09-03T20:36:10,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-20/maxfreq=22kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,-20,2026-09-03T13:55:51,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-20/maxfreq=3kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=5kHz,-20,2026-09-03T15:32:26,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-20/maxfreq=5kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=10kHz,-4,2026-09-03T16:14:55,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-4/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=15kHz,-4,2026-09-03T17:55:37,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-4/maxfreq=15kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-4,2026-09-03T19:37:18,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-4/maxfreq=22kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,-4,2026-09-03T13:01:51,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-4/maxfreq=3kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=5kHz,-4,2026-09-03T14:36:56,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-4/maxfreq=5kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=10kHz,-8,2026-09-03T16:29:09,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-8/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=15kHz,-8,2026-09-03T18:10:10,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-8/maxfreq=15kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,-8,2026-09-03T19:51:59,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-8/maxfreq=22kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=3kHz,-8,2026-09-03T13:15:20,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-8/maxfreq=3kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=5kHz,-8,2026-09-03T14:50:48,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=-8/maxfreq=5kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=10kHz,0,2026-09-03T16:00:40,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=0/maxfreq=10kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
20260903_selected_log_architecture,2025.06.11_0.3_2,maxfreq=15kHz,0,2026-09-03T17:41:13,200,3,18,1080,266907.6965,368978.105,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260903_selected_log_architecture/heatflux_reference_SNR=0/maxfreq=15kHz/e200_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/run_manifest.json,True
