run,experiment,maxfreq,snr,fold,model,source_csv,sample_id,val_local_index,y_true,y_pred,abs_error,method,attribution_units,attribution_sum,output_delta_from_baseline,completeness_error,completeness_relative_error,deletion_prediction_auc,deletion_linear_auc,deletion_area_between_curve,insertion_prediction_auc,insertion_linear_auc,insertion_area_between_curve,top_frequency_bin,top_frequency_hz,top_time_frame,top_time_s
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/explainability_summary.csv,near_onb_below_val0060,60,221505.1102,186216.09375,35289.016449999996,integrated_gradients,heat_flux,-427903.5625,-65264.546875,-362639.015625,5.556447305449862,1512535.1859375,218848.5234375,1293686.6625,1098314.273828125,218848.5234375,879465.7503906251,5,540.1785714285714,154,0.6897321428571429
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/explainability_summary.csv,near_onb_above_val0120,120,427276.195,378268.375,49007.82000000001,integrated_gradients,heat_flux,-728625536.0,126787.734375,-728752323.734375,5747.81407150115,2552027.0390625,314874.7734375,2237152.265625,1994415.717578125,314874.7734375,1679540.944140625,22,2209.8214285714284,8,0.03794642857142857
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/explainability_summary.csv,false_negative_val0133,133,427276.195,355286.96875,71989.22625,integrated_gradients,heat_flux,-2485366528.0,103806.328125,-2485470334.328125,23943.341212639825,2262251.45,303383.9921875,1958867.4578125002,1998197.139453125,303383.9921875,1694813.147265625,22,2209.8214285714284,138,0.6183035714285714
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/explainability_summary.csv,worst_prediction_val0330,330,859343.9142,721329.1875,138014.7267,integrated_gradients,heat_flux,-17397737472.0,469848.546875,-17398207320.546875,37029.3947619158,3307323.14765625,486405.9453125,2820917.20234375,2763712.478515625,486405.9453125,2277306.533203125,23,2308.035714285714,50,0.22544642857142858
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,alexnet,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/alexnet/explainability_summary.csv,low_heatflux_val0180,180,57593.31665,145598.296875,88004.980225,integrated_gradients,heat_flux,-1075591.25,-105882.34375,-969708.90625,9.158362687357872,1857016.41796875,198539.6015625,1658476.81640625,1137417.241015625,198539.6015625,938877.639453125,5,540.1785714285714,154,0.6897321428571429
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/cnntf_v2_gap/explainability_summary.csv,near_onb_below_val0060,60,221505.1102,139860.265625,81644.844575,integrated_gradients,heat_flux,1358568.375,86459.98828125,1272108.38671875,14.713261151281277,197361.7923828125,96579.443359375,100782.3490234375,162583.77373046876,96579.443359375,66004.33037109376,5,540.1785714285714,206,0.921875
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/cnntf_v2_gap/explainability_summary.csv,near_onb_above_val0120,120,427276.195,373668.15625,53608.03875000001,integrated_gradients,heat_flux,951955200.0,320267.87890625,951634932.1210938,2971.371763446998,303264.2263671875,213562.185546875,89702.04082031251,235189.07646484376,213562.185546875,21626.89091796876,22,2209.8214285714284,7,0.033482142857142856
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/cnntf_v2_gap/explainability_summary.csv,worst_prediction_val0040,40,181378.003,50581.74609375,130796.25690625,integrated_gradients,heat_flux,1877220.0,-2818.53125,1880038.53125,667.0277405120129,203456.9583984375,51965.013671875,151491.9447265625,111989.70771484374,51965.013671875,60024.69404296874,5,540.1785714285714,183,0.8191964285714286
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/cnntf_v2_gap/explainability_summary.csv,low_heatflux_val0180,180,57593.31665,94800.9609375,37207.6442875,integrated_gradients,heat_flux,2927944.25,41400.68359375,2886543.56640625,69.72212330431213,236922.4869140625,74084.427734375,162838.0591796875,132911.37177734374,74084.427734375,58826.94404296874,5,540.1785714285714,157,0.703125
20260908_selected_log_architecture,2025.06.11_0.3_2,maxfreq=22kHz,no_noise,fold2,cnntf_v2_gap,Pool_boiling/Subcooling_20_degrees/0.3/2025.06.11_0.3_2/regression_result/npy/ensemble/20260908_selected_log_architecture/heatflux_no_noise/maxfreq=22kHz/e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp/explainability/fold2/cnntf_v2_gap/explainability_summary.csv,high_heatflux_val0300,300,859343.9142,835288.25,24055.6642,integrated_gradients,heat_flux,37916303360.0,781887.97265625,37915521472.02734,48492.268455313046,380254.6474609375,444356.669921875,-64102.0224609375,299011.60498046875,444356.669921875,-145345.06494140625,23,2308.035714285714,193,0.8638392857142857
