snr,model_key,r2_sep14,r2_sep15,r2_change,recall_sep14,recall_sep15
no_noise,rf,0.913938288976829,0.913938288976829,0.0,0.875,0.875
no_noise,cnntf_v2_gap,0.9617739470691876,0.962283190306594,0.0005092432374064204,1.0,0.875
no_noise,alexnet,0.9571244590791376,0.9427601572499524,-0.014364301829185133,0.875,0.875
no_noise,ensemble__simple_equal,0.9544134441241529,0.9504821471105032,-0.003931297013649693,1.0,0.875
no_noise,ensemble__inner_holdout,0.9596169983230212,0.9535068544402706,-0.006110143882750552,1.0,0.875
0,rf,0.9132909550873116,0.9132909550873116,0.0,1.0,1.0
0,cnntf_v2_gap,0.9479296902511062,0.9473440107689288,-0.0005856794821773592,0.875,0.875
0,alexnet,0.8885900259451202,0.9213839664946784,0.0327939405495582,0.875,0.875
0,ensemble__simple_equal,0.9323885839608383,0.9397116895493848,0.00732310558854643,1.0,1.0
0,ensemble__inner_holdout,0.9297646573631057,0.9401670459046368,0.010402388541531193,0.875,0.875
-20,rf,0.9213807479661464,0.9213807479661464,0.0,0.875,0.875
-20,cnntf_v2_gap,0.9426308994919802,0.9300388325786674,-0.012592066913312827,0.875,0.875
-20,alexnet,0.9067646834150208,0.9108517432908342,0.00408705987581337,0.875,0.875
-20,ensemble__simple_equal,0.9349093632146672,0.930581586160328,-0.004327777054339177,0.875,0.875
-20,ensemble__inner_holdout,0.9389931928447934,0.9283114666071248,-0.01068172623766861,0.875,0.875
