snr,model,r2_mean,rmse_all_mean,mae_all_mean,r2_high_mean,rmse_high_mean,mae_high_mean,rmse_onb_mean,mae_onb_mean,auc_binary_mean,roc_auc_cont_mean,pr_auc_cont_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,r2_se,rmse_all_se,mae_all_se,r2_high_se,rmse_high_se,mae_high_se,rmse_onb_se,mae_onb_se,auc_binary_se,roc_auc_cont_se,pr_auc_cont_se,accuracy_se,precision_se,recall_se,f1_se
-8,AlexNet,0.895725,83847.251427,63844.544974,0.879167,52894.946866,45278.417085,48910.174960,42452.404396,0.945370,0.999588,0.999563,0.945370,1.000000,0.890741,0.935432,0.017572,5821.514741,1330.014496,0.024008,12284.220285,11260.448288,0.000000,0.000000,0.051877,0.000412,0.000437,0.051877,0.000000,0.103753,0.061796
-8,Ensemble simple equal,0.915496,75265.359622,56618.073073,0.917004,42685.844967,35424.068395,36041.353621,27469.189760,0.951852,0.999198,0.999223,0.951852,1.000000,0.903704,0.943723,0.021039,9629.530663,6887.785595,0.015986,8456.998117,6534.811232,0.000000,0.000000,0.048148,0.000802,0.000777,0.048148,0.000000,0.096296,0.056277
-8,Ensemble inner holdout,0.916116,74679.391036,54742.452374,0.934320,38560.252775,31205.098218,37341.678070,28634.385311,0.954630,0.998961,0.999001,0.954630,1.000000,0.909259,0.947481,0.023533,10614.141477,6553.980455,0.018261,9855.688470,8195.605491,0.000000,0.000000,0.045370,0.001039,0.000999,0.045370,0.000000,0.090741,0.052519
-12,RandomForest,0.899464,82908.992310,69907.253510,0.778872,63140.863258,55293.154507,25084.274314,15491.312458,0.956481,0.998632,0.998761,0.954630,0.979167,0.924074,0.946405,0.016555,8654.106895,7947.342433,0.092127,9380.718096,9384.956708,0.000000,0.000000,0.035513,0.001368,0.001239,0.034855,0.020833,0.075926,0.038606
-12,CNN+Tf v2 GAP,0.900429,80483.825733,58700.990402,0.929923,35585.123880,28742.696105,27903.667488,21170.021375,0.961574,0.997551,0.997419,0.961111,0.987686,0.931481,0.956345,0.034619,14623.860355,9340.814853,0.029052,5103.291498,4078.876133,0.000000,0.000000,0.036362,0.002449,0.002581,0.036147,0.006273,0.068519,0.039594
-12,AlexNet,0.908818,78898.896837,61295.461728,0.870945,53589.702179,44734.560293,51392.882438,41573.064292,0.947222,0.998529,0.998538,0.947222,1.000000,0.894444,0.937294,0.014395,6891.359342,4547.527631,0.007494,8429.164068,6380.935911,0.000000,0.000000,0.052778,0.001471,0.001462,0.052778,0.000000,0.105556,0.062706
-12,Ensemble simple equal,0.917326,74616.625799,56919.634401,0.919256,41762.404015,34031.954083,30445.166700,21751.149694,0.959259,0.998848,0.998878,0.959259,1.000000,0.918519,0.953586,0.019297,9978.991123,7713.497516,0.019237,8922.127143,6592.805121,0.000000,0.000000,0.040741,0.001152,0.001122,0.040741,0.000000,0.081481,0.046414
-12,Ensemble inner holdout,0.916525,74836.722321,55565.889609,0.935084,38146.575754,30099.620122,30576.712866,22240.158494,0.958333,0.998848,0.998875,0.958333,1.000000,0.916667,0.952381,0.020680,10437.752483,7272.750681,0.018450,9715.930912,7608.311613,0.000000,0.000000,0.041667,0.001152,0.001125,0.041667,0.000000,0.083333,0.047619
-16,RandomForest,0.898897,83136.262810,70289.109499,0.777407,63586.211275,55920.761407,26745.741718,17205.658312,0.950000,0.997963,0.998155,0.948148,0.979167,0.911111,0.937965,0.016571,8543.955027,7821.208433,0.090887,9021.782001,8863.789827,0.000000,0.000000,0.041944,0.002037,0.001845,0.041243,0.020833,0.088889,0.046841
-16,CNN+Tf v2 GAP,0.935789,65750.432581,49860.767824,0.953385,30737.045402,24296.639191,30822.824090,23388.095271,0.961111,0.997047,0.996984,0.961111,0.997619,0.924074,0.956250,0.013478,6309.040632,4781.351212,0.011753,3828.298852,2547.020421,0.000000,0.000000,0.038889,0.002953,0.003016,0.038889,0.002381,0.075926,0.043750
-16,AlexNet,0.876751,92204.657350,73692.020602,0.862596,55310.335068,47009.147661,52052.349066,41316.579781,0.953009,0.997603,0.997421,0.952778,0.994720,0.909259,0.945198,0.008386,5141.752269,4229.792296,0.048653,14940.350004,14135.188815,0.000000,0.000000,0.045953,0.002397,0.002579,0.045840,0.002648,0.090741,0.052741
-16,Ensemble simple equal,0.929818,69596.147807,56475.868960,0.921758,41575.654442,34200.125570,33268.677962,25179.332997,0.956481,0.998405,0.998379,0.956481,0.997531,0.914815,0.950265,0.005685,4564.613819,4345.465728,0.009541,7045.648656,4957.444579,0.000000,0.000000,0.043519,0.001595,0.001621,0.043519,0.002469,0.085185,0.049735
-16,Ensemble inner holdout,0.931924,68484.892051,54966.336760,0.933609,38732.554824,31255.242313,33124.087956,25239.131328,0.956481,0.998333,0.998309,0.956481,0.997531,0.914815,0.950265,0.005746,4113.300422,3802.017774,0.009675,7709.017264,5792.820569,0.000000,0.000000,0.043519,0.001667,0.001691,0.043519,0.002469,0.085185,0.049735
-20,RandomForest,0.896310,84096.766193,71219.393713,0.777539,63428.277845,55826.039065,27113.810911,17389.949250,0.945370,0.998426,0.998573,0.943519,0.979167,0.901852,0.931701,0.017971,8716.350059,8221.086510,0.091940,9224.248813,8992.595520,0.000000,0.000000,0.046546,0.001574,0.001427,0.045822,0.020833,0.098148,0.052994
-20,CNN+Tf v2 GAP,0.908464,78999.359030,60974.226310,0.931965,39250.348952,31605.130983,40854.386721,33265.480792,0.950463,0.998457,0.998362,0.950000,0.991971,0.905556,0.941331,0.014568,6503.598985,4232.000903,0.014173,8829.364164,6476.391972,0.000000,0.000000,0.047469,0.001543,0.001638,0.047249,0.004735,0.094444,0.054589
-20,AlexNet,0.882690,89469.207251,71121.113013,0.868190,55039.806555,47191.288195,79775.213153,68746.731854,0.943519,0.997798,0.997743,0.943519,0.997290,0.888889,0.933231,0.022250,10646.177104,9773.056130,0.039791,14823.754503,13729.597664,0.000000,0.000000,0.053728,0.002202,0.002257,0.053728,0.002710,0.105604,0.063996
-20,Ensemble simple equal,0.912110,77836.035826,61742.012034,0.906275,45967.565604,38251.375355,46154.924162,38015.244007,0.945602,0.998909,0.998920,0.945370,0.997245,0.892593,0.934599,0.010695,6896.233944,5699.797722,0.015123,9341.359626,7016.886142,0.000000,0.000000,0.053360,0.001091,0.001080,0.053247,0.002755,0.107407,0.063337
-20,Ensemble inner holdout,0.910265,78576.067327,61857.185682,0.910972,44723.385007,36900.360548,43752.557101,35638.666388,0.945833,0.999105,0.999124,0.945370,0.994536,0.894444,0.934539,0.010893,6659.786149,5322.413305,0.015231,9154.027791,6792.281531,0.000000,0.000000,0.052097,0.000895,0.000876,0.051877,0.005464,0.105556,0.061375
