snr,fold,model,sample_id,method,randomized_layer,original_prediction,randomized_prediction,pearson_abs_map,cosine_abs_map,relative_l1_abs_map
no_noise,3,cnntf_v2_gap,worst_prediction_val0008,integrated_gradients,output,217528.828125,-647756.5625,0.6145858630512481,0.6628574593077033,0.7702391190155852
no_noise,3,cnntf_v2_gap,low_heatflux_val0000,integrated_gradients,output,124795.3515625,-620621.9375,0.6164922615458986,0.6702804633043391,0.7720048606002307
no_noise,3,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,output,724379.0,-637696.8125,0.6430032609818319,0.6468529120078156,0.7619757626769209
no_noise,3,alexnet,near_onb_below_val0180,integrated_gradients,output,284175.03125,480912.4375,0.667171139687166,0.6684231116092417,0.716026903776383
no_noise,3,alexnet,near_onb_above_val0240,integrated_gradients,output,460390.34375,460455.0625,0.5986785470875199,0.6026081026201779,0.7657359529581883
no_noise,3,alexnet,worst_prediction_val0005,integrated_gradients,output,191504.609375,467861.8125,0.6110097055690161,0.6496101123960524,0.7507738193018954
no_noise,3,alexnet,low_heatflux_val0000,integrated_gradients,output,156485.5,472858.8125,0.6136160571126572,0.6472264829467056,0.7544989261192967
no_noise,3,alexnet,high_heatflux_val0300,integrated_gradients,output,686102.875,445191.65625,0.7068821274903186,0.7103405803081285,0.7692604004192797
0,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,output,176910.859375,523257.125,0.715063217056062,0.7245680457211543,0.8654485561840373
0,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,output,395394.625,431203.96875,0.6114280036366275,0.6162393375682046,0.9008253013489206
0,1,cnntf_v2_gap,false_negative_val0230,integrated_gradients,output,259186.453125,390621.03125,0.6671830940277885,0.6689095819895301,0.937945114759042
0,1,cnntf_v2_gap,worst_prediction_val0133,integrated_gradients,output,27086.4609375,431167.65625,0.5608062231325102,0.5706474115036401,0.9049286942095108
0,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,output,92230.78125,520921.15625,0.7134755923722252,0.7242035668177027,0.8630349619804577
0,1,alexnet,near_onb_below_val0120,integrated_gradients,output,88685.6953125,465307.625,0.6203758273412701,0.6361849870027649,0.8084146900086434
0,1,alexnet,near_onb_above_val0180,integrated_gradients,output,387017.96875,428160.71875,0.6565797077052435,0.6604805029391061,0.7369414900181345
0,1,alexnet,false_negative_val0230,integrated_gradients,output,273692.0,452713.3125,0.5904609290096361,0.5921317712163854,0.7475712913289921
0,1,alexnet,worst_prediction_val0128,integrated_gradients,output,-21666.935546875,463223.0625,0.5830015121746668,0.6012792820153922,0.8176380550426537
0,1,alexnet,low_heatflux_val0060,integrated_gradients,output,9661.7646484375,457153.8125,0.6177384212697126,0.6366854134340034,0.7974309729860669
0,2,cnntf_v2_gap,near_onb_below_val0060,integrated_gradients,output,204442.71875,878146.0,0.532626669748575,0.5467556476254575,0.8696563899965942
0,2,cnntf_v2_gap,near_onb_above_val0120,integrated_gradients,output,403077.21875,799622.0,0.6713067336022301,0.6749824932749496,0.8135642570082987
0,2,cnntf_v2_gap,worst_prediction_val0048,integrated_gradients,output,62519.1875,758462.8125,0.6819050570987991,0.6894733271614508,0.837190534909743
