created_at,run_instance_id,run_hash,run_dir,save_path,experiment_name,data_source_dir,max_freq_hz,noise_dir_name,snr_value,threshold_available,threshold,parameter_set,model_key,model_label,lr,batch_size,n_estimators,max_depth,subsample,colsample_bynode,builder_params_json,requested_batch_size,actual_batch_sizes,min_actual_batch_size,epochs_completed,stopped_by_memory_error,r2_mean,r2_se,rmse_all_mean,rmse_all_se,mae_all_mean,mae_all_se,r2_high_mean,r2_high_se,rmse_high_mean,rmse_high_se,mae_high_mean,mae_high_se,rmse_onb_mean,rmse_onb_se,mae_onb_mean,mae_onb_se,auc_binary_mean,auc_binary_se,roc_auc_cont_mean,roc_auc_cont_se,pr_auc_cont_mean,pr_auc_cont_se,accuracy_mean,accuracy_se,precision_mean,precision_se,recall_mean,recall_se,f1_mean,f1_se
2026-09-15T10:40:21,093628,2b4cef,e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\regression_result\npy\ensemble\202609\15_selected_log_architecture\maxfreq=22kHz\heatflux_reference_SNR=-4\e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,2025.06.11_0.3_2,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\data\npy\waterflow_20260817_1s,maxfreq=22kHz,heatflux_reference_SNR=-4,-4,1,368978.105,rf__n_estimators=300__max_depth=4__subsample=0.6__colsample_bynode=0.6___cnntf_v2_gap__lr=0.001__batch_size=16___alexnet__lr=0.001__batch_size=16,rf,RandomForest,,,300,4,0.6,0.6,"{""colsample_bynode"": 0.6, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.6}",,,,,0,0.89238517,0.02058639775,85590.7983,10290.49132,70838.89503,8821.298238,0.7699671725,0.09814270343,64171.25746,8992.133692,56549.79506,8811.911569,29953.66264,0,19650.31554,0,0.9497685185,0.04714102042,0.9983847737,0.001615226337,0.9985348586,0.001465141378,0.9490740741,0.04682109955,0.9918699187,0.008130081301,0.9037037037,0.0962962963,0.9396077174,0.05433644566
2026-09-15T10:40:21,093628,2b4cef,e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\regression_result\npy\ensemble\202609\15_selected_log_architecture\maxfreq=22kHz\heatflux_reference_SNR=-4\e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,2025.06.11_0.3_2,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\data\npy\waterflow_20260817_1s,maxfreq=22kHz,heatflux_reference_SNR=-4,-4,1,368978.105,rf__n_estimators=300__max_depth=4__subsample=0.6__colsample_bynode=0.6___cnntf_v2_gap__lr=0.001__batch_size=16___alexnet__lr=0.001__batch_size=16,cnntf_v2_gap,CNN+Tf v2 GAP,0.001,16,,,,,{},16,16,16,300,0,0.9127536977,0.04002461691,73497.62022,16249.23477,52440.33487,10216.982,0.9404752612,0.03146494595,31353.26224,3382.800853,25694.68921,3629.15854,32002.11025,0,23747.87231,0,0.9719907407,0.0249495805,0.9992695473,0.0007304526749,0.9992832875,0.0007167125162,0.9712962963,0.02465467955,0.9897054165,0.007292853557,0.95,0.05,0.9679406619,0.02613067404
2026-09-15T10:40:21,093628,2b4cef,e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\regression_result\npy\ensemble\202609\15_selected_log_architecture\maxfreq=22kHz\heatflux_reference_SNR=-4\e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,2025.06.11_0.3_2,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\data\npy\waterflow_20260817_1s,maxfreq=22kHz,heatflux_reference_SNR=-4,-4,1,368978.105,rf__n_estimators=300__max_depth=4__subsample=0.6__colsample_bynode=0.6___cnntf_v2_gap__lr=0.001__batch_size=16___alexnet__lr=0.001__batch_size=16,alexnet,AlexNet,0.001,16,,,,,{},16,16,16,300,0,0.8866270392,0.01264255765,87876.56433,2968.49235,64405.09811,1736.780244,0.9002007072,0.04057204547,47561.07647,15218.43331,39731.89523,13191.6443,43827.36837,0,32249.4464,0,0.9564814815,0.0394253127,0.9991152263,0.0008847736626,0.9991028369,0.0008971631072,0.9564814815,0.0394253127,1,0,0.912962963,0.07885062539,0.9507853774,0.04507826132
2026-09-15T10:40:21,093628,2b4cef,e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\regression_result\npy\ensemble\202609\15_selected_log_architecture\maxfreq=22kHz\heatflux_reference_SNR=-4\e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,2025.06.11_0.3_2,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\data\npy\waterflow_20260817_1s,maxfreq=22kHz,heatflux_reference_SNR=-4,-4,1,368978.105,rf__n_estimators=300__max_depth=4__subsample=0.6__colsample_bynode=0.6___cnntf_v2_gap__lr=0.001__batch_size=16___alexnet__lr=0.001__batch_size=16,ensemble__simple_equal,ensemble__simple_equal,,,,,,,{},,,,,0,0.9148876868,0.01909658066,75682.66779,8171.659088,55438.49455,6554.219623,0.9236185311,0.01990898817,40074.16763,8452.889138,32664.64254,6644.193064,31040.72152,0,21261.14582,0,0.9611111111,0.03888888889,0.9995473251,0.0004526748971,0.9995621137,0.0004378863249,0.9611111111,0.03888888889,1,0,0.9222222222,0.07777777778,0.9559748428,0.04402515723
2026-09-15T10:40:21,093628,2b4cef,e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\regression_result\npy\ensemble\202609\15_selected_log_architecture\maxfreq=22kHz\heatflux_reference_SNR=-4\e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,2025.06.11_0.3_2,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\data\npy\waterflow_20260817_1s,maxfreq=22kHz,heatflux_reference_SNR=-4,-4,1,368978.105,rf__n_estimators=300__max_depth=4__subsample=0.6__colsample_bynode=0.6___cnntf_v2_gap__lr=0.001__batch_size=16___alexnet__lr=0.001__batch_size=16,ensemble__inner_holdout,ensemble__inner_holdout,,,,,,,{},,,,,0,0.9158657902,0.01962141953,75133.17125,8223.948799,53968.54506,5685.639869,0.9389063919,0.01831822427,36513.74709,9289.174186,29352.51525,7173.118238,31336.41265,0,21797.53124,0,0.9666666667,0.03333333333,0.9995061728,0.0004938271605,0.9995240926,0.0004759073643,0.9666666667,0.03333333333,1,0,0.9333333333,0.06666666667,0.962962963,0.03703703704
2026-09-15T11:01:19,093628,2b4cef,e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\regression_result\npy\ensemble\202609\15_selected_log_architecture\maxfreq=22kHz\heatflux_reference_SNR=-8\e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,2025.06.11_0.3_2,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\data\npy\waterflow_20260817_1s,maxfreq=22kHz,heatflux_reference_SNR=-8,-8,1,368978.105,rf__n_estimators=300__max_depth=4__subsample=0.6__colsample_bynode=0.6___cnntf_v2_gap__lr=0.001__batch_size=16___alexnet__lr=0.001__batch_size=16,rf,RandomForest,,,300,4,0.6,0.6,"{""colsample_bynode"": 0.6, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.6}",,,,,0,0.8981773708,0.01690074323,83460.17927,8988.460695,69800.24985,7813.452832,0.773418331,0.09505350235,63859.14905,9163.85534,56142.00102,9059.729362,25377.26365,0,15950.91694,0,0.9518518519,0.04010445894,0.9981995885,0.001800411523,0.9983840042,0.001615995782,0.95,0.03941443825,0.9791666667,0.02083333333,0.9148148148,0.08518518519,0.9404150401,0.04444246705
2026-09-15T11:01:19,093628,2b4cef,e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\regression_result\npy\ensemble\202609\15_selected_log_architecture\maxfreq=22kHz\heatflux_reference_SNR=-8\e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,2025.06.11_0.3_2,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\data\npy\waterflow_20260817_1s,maxfreq=22kHz,heatflux_reference_SNR=-8,-8,1,368978.105,rf__n_estimators=300__max_depth=4__subsample=0.6__colsample_bynode=0.6___cnntf_v2_gap__lr=0.001__batch_size=16___alexnet__lr=0.001__batch_size=16,cnntf_v2_gap,CNN+Tf v2 GAP,0.001,16,,,,,{},16,16,16,300,0,0.9042946752,0.03922183726,78026.29674,15870.38372,56512.93908,9665.702677,0.9349585551,0.01725105443,36135.26893,4083.996768,29455.24536,4334.513872,44261.0678,0,33345.12599,0,0.9493055556,0.04552187949,0.9977674897,0.002232510288,0.9977927834,0.002207216554,0.9490740741,0.04539870619,0.9947006498,0.002655926406,0.9018518519,0.08994358848,0.9411533743,0.05258459732
2026-09-15T11:01:19,093628,2b4cef,e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\regression_result\npy\ensemble\202609\15_selected_log_architecture\maxfreq=22kHz\heatflux_reference_SNR=-8\e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,2025.06.11_0.3_2,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\data\npy\waterflow_20260817_1s,maxfreq=22kHz,heatflux_reference_SNR=-8,-8,1,368978.105,rf__n_estimators=300__max_depth=4__subsample=0.6__colsample_bynode=0.6___cnntf_v2_gap__lr=0.001__batch_size=16___alexnet__lr=0.001__batch_size=16,alexnet,AlexNet,0.001,16,,,,,{},16,16,16,300,0,0.8957252915,0.0175723592,83847.25143,5821.514741,63844.54497,1330.014496,0.8791669186,0.02400771792,52894.94687,12284.22029,45278.41709,11260.44829,48910.17496,0,42452.4044,0,0.9453703704,0.05187664751,0.9995884774,0.0004115226337,0.9995629772,0.0004370227607,0.9453703704,0.05187664751,1,0,0.8907407407,0.103753295,0.935431532,0.06179621915
2026-09-15T11:01:19,093628,2b4cef,e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\regression_result\npy\ensemble\202609\15_selected_log_architecture\maxfreq=22kHz\heatflux_reference_SNR=-8\e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,2025.06.11_0.3_2,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\data\npy\waterflow_20260817_1s,maxfreq=22kHz,heatflux_reference_SNR=-8,-8,1,368978.105,rf__n_estimators=300__max_depth=4__subsample=0.6__colsample_bynode=0.6___cnntf_v2_gap__lr=0.001__batch_size=16___alexnet__lr=0.001__batch_size=16,ensemble__simple_equal,ensemble__simple_equal,,,,,,,{},,,,,0,0.9154958561,0.02103913788,75265.35962,9629.530663,56618.07307,6887.785595,0.9170040428,0.01598616531,42685.84497,8456.998117,35424.0684,6534.811232,36041.35362,0,27469.18976,0,0.9518518519,0.04814814815,0.9991975309,0.0008024691358,0.9992228607,0.0007771393443,0.9518518519,0.04814814815,1,0,0.9037037037,0.0962962963,0.9437229437,0.05627705628
2026-09-15T11:01:19,093628,2b4cef,e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\regression_result\npy\ensemble\202609\15_selected_log_architecture\maxfreq=22kHz\heatflux_reference_SNR=-8\e300_active_rf-ctf-alex_ed198_rf-cnntf_v2__cmp,2025.06.11_0.3_2,C:\Users\Casper4\Python\ueki\shibasaki\研究\Pool_boiling\Subcooling_20_degrees\0.3\2025.06.11_0.3_2\data\npy\waterflow_20260817_1s,maxfreq=22kHz,heatflux_reference_SNR=-8,-8,1,368978.105,rf__n_estimators=300__max_depth=4__subsample=0.6__colsample_bynode=0.6___cnntf_v2_gap__lr=0.001__batch_size=16___alexnet__lr=0.001__batch_size=16,ensemble__inner_holdout,ensemble__inner_holdout,,,,,,,{},,,,,0,0.9161163189,0.02353282561,74679.39104,10614.14148,54742.45237,6553.980455,0.9343203422,0.01826059255,38560.25278,9855.68847,31205.09822,8195.605491,37341.67807,0,28634.38531,0,0.9546296296,0.04537037037,0.9989609053,0.00103909465,0.9990008597,0.00099914029,0.9546296296,0.04537037037,1,0,0.9092592593,0.09074074074,0.9474812433,0.0525187567
