snr,fold,model,sample_id,method,repeat,noise_fraction_of_sample_std,pearson_abs_map,cosine_abs_map,relative_l1_abs_map
no_noise,3,cnntf_v2_gap,near_onb_below_val0180,integrated_gradients,2,0.01,0.9999574490847921,0.9999543205589089,0.09842651196186926
no_noise,3,cnntf_v2_gap,near_onb_above_val0240,integrated_gradients,1,0.01,0.999967353293433,0.9999662113898913,0.04491352006949721
no_noise,3,cnntf_v2_gap,near_onb_above_val0240,integrated_gradients,2,0.01,0.9999681524715037,0.9999670969689716,0.04462148895264973
no_noise,3,cnntf_v2_gap,worst_prediction_val0008,integrated_gradients,1,0.01,0.9660406848020788,0.9703918971235028,0.43376917746903937
no_noise,3,cnntf_v2_gap,worst_prediction_val0008,integrated_gradients,2,0.01,0.9707714867989158,0.9745078653988167,0.4190563720740903
no_noise,3,cnntf_v2_gap,low_heatflux_val0000,integrated_gradients,1,0.01,0.9706354977759329,0.9747165010848318,0.36266631879303785
no_noise,3,cnntf_v2_gap,low_heatflux_val0000,integrated_gradients,2,0.01,0.9811600998374014,0.9837673948869877,0.34427995395902816
no_noise,3,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,1,0.01,0.9999647657376072,0.9999638073317768,0.044171001663907
no_noise,3,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,2,0.01,0.9999640992022927,0.9999631882356558,0.04439323894644692
no_noise,3,alexnet,near_onb_below_val0180,integrated_gradients,1,0.01,0.9998713638917825,0.9998481658106798,0.15557540885591428
no_noise,3,alexnet,near_onb_below_val0180,integrated_gradients,2,0.01,0.9998697094248351,0.999846456230263,0.15600581986118361
no_noise,3,alexnet,near_onb_above_val0240,integrated_gradients,1,0.01,0.9999677050785006,0.9999670739936112,0.04056727631608761
no_noise,3,alexnet,near_onb_above_val0240,integrated_gradients,2,0.01,0.999969501894399,0.9999689095320293,0.03994980471599958
no_noise,3,alexnet,worst_prediction_val0005,integrated_gradients,1,0.01,0.9371249550393725,0.9444709132461879,0.5124265058753522
no_noise,3,alexnet,worst_prediction_val0005,integrated_gradients,2,0.01,0.9527190255726946,0.9582764200604588,0.46018117716091367
no_noise,3,alexnet,low_heatflux_val0000,integrated_gradients,1,0.01,0.9821431558311247,0.9839838700742038,0.32326583616609694
no_noise,3,alexnet,low_heatflux_val0000,integrated_gradients,2,0.01,0.9762562705781105,0.978632240979324,0.3496271358404723
no_noise,3,alexnet,high_heatflux_val0300,integrated_gradients,1,0.01,0.9999526042043166,0.9999521321618797,0.04373347592197727
no_noise,3,alexnet,high_heatflux_val0300,integrated_gradients,2,0.01,0.9999519829758258,0.9999514578645807,0.043823571785350575
0,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,1,0.01,0.9997405568343252,0.9997486605561018,0.09220295000529123
0,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,2,0.01,0.9997271988212908,0.9997356678640539,0.09504532298586633
0,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,1,0.01,0.9999640227105032,0.9999634305117823,0.0424353476927892
0,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,2,0.01,0.9999652694412527,0.9999647339345228,0.0418937580796825
0,1,cnntf_v2_gap,false_negative_val0230,integrated_gradients,1,0.01,0.9999670942510612,0.999966323143861,0.06492357460988925
0,1,cnntf_v2_gap,false_negative_val0230,integrated_gradients,2,0.01,0.9999678065934098,0.9999670637160613,0.0642942473608616
0,1,cnntf_v2_gap,worst_prediction_val0133,integrated_gradients,1,0.01,0.9997073327564778,0.9997122327709038,0.10867793391292116
0,1,cnntf_v2_gap,worst_prediction_val0133,integrated_gradients,2,0.01,0.9997298456204086,0.9997351267655904,0.10494529432234063
0,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,1,0.01,0.9997291348818407,0.9997387167740229,0.08866486677552869
0,1,cnntf_v2_gap,low_heatflux_val0060,integrated_gradients,2,0.01,0.9997165354426235,0.9997265742817031,0.0902327419475304
0,1,alexnet,near_onb_below_val0120,integrated_gradients,1,0.01,0.9963456388954711,0.9965060059263116,0.21114657446801818
0,1,alexnet,near_onb_below_val0120,integrated_gradients,2,0.01,0.9961121580954934,0.9962843488566291,0.21743463151183148
0,1,alexnet,near_onb_above_val0180,integrated_gradients,1,0.01,0.9999825120697385,0.9999824314878699,0.026694039551663037
0,1,alexnet,near_onb_above_val0180,integrated_gradients,2,0.01,0.9999834318318555,0.9999833457996244,0.026490133455638828
0,1,alexnet,false_negative_val0230,integrated_gradients,1,0.01,0.9999743543800159,0.9999720635908204,0.06684309057242498
0,1,alexnet,false_negative_val0230,integrated_gradients,2,0.01,0.9999739390406975,0.9999716442114495,0.06709119170828175
0,1,alexnet,worst_prediction_val0128,integrated_gradients,1,0.01,0.9945731159890203,0.9948230581845785,0.22761627335420273
0,1,alexnet,worst_prediction_val0128,integrated_gradients,2,0.01,0.9953682945156714,0.9955941049152085,0.21771218661135724
0,1,alexnet,low_heatflux_val0060,integrated_gradients,1,0.01,0.9967660740389657,0.9969382391404563,0.18323547929233286
0,1,alexnet,low_heatflux_val0060,integrated_gradients,2,0.01,0.9969743281913042,0.9971302504732464,0.18060784766247728
0,2,cnntf_v2_gap,near_onb_below_val0060,integrated_gradients,1,0.01,0.9996531306604081,0.9996607153606702,0.12846547398201008
0,2,cnntf_v2_gap,near_onb_below_val0060,integrated_gradients,2,0.01,0.9996397758770125,0.9996476911546606,0.1307922653506141
0,2,cnntf_v2_gap,near_onb_above_val0120,integrated_gradients,1,0.01,0.999968386330104,0.999967197294249,0.0437291502201905
0,2,cnntf_v2_gap,near_onb_above_val0120,integrated_gradients,2,0.01,0.9999681756703126,0.9999670668321519,0.04354616599749467
0,2,cnntf_v2_gap,worst_prediction_val0048,integrated_gradients,1,0.01,0.9995764977278287,0.9995840812326588,0.1422036377213392
0,2,cnntf_v2_gap,worst_prediction_val0048,integrated_gradients,2,0.01,0.9996157248686023,0.9996231165719719,0.13559158126467064
0,2,cnntf_v2_gap,low_heatflux_val0180,integrated_gradients,1,0.01,0.9996582974606386,0.9996665084732845,0.1217645266461697
0,2,cnntf_v2_gap,low_heatflux_val0180,integrated_gradients,2,0.01,0.9996582679563385,0.9996664204654191,0.12241787288853637
0,2,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,1,0.01,0.9999720085984615,0.999971763280403,0.035853282193191095
0,2,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,2,0.01,0.9999712660603459,0.9999709912464297,0.03630283718681191
0,2,alexnet,near_onb_below_val0060,integrated_gradients,1,0.01,0.9992729759923272,0.9992989721575336,0.11404961018872001
0,2,alexnet,near_onb_below_val0060,integrated_gradients,2,0.01,0.9992702898637119,0.9992962442642987,0.11614905203556661
0,2,alexnet,near_onb_above_val0120,integrated_gradients,1,0.01,0.9999639214174639,0.9999635271099784,0.03655941794215924
0,2,alexnet,near_onb_above_val0120,integrated_gradients,2,0.01,0.9999626185684712,0.9999622292356597,0.03649985478752137
0,2,alexnet,false_negative_val0132,integrated_gradients,1,0.01,0.9999713054480549,0.9999709594772863,0.028861221519205907
0,2,alexnet,false_negative_val0132,integrated_gradients,2,0.01,0.9999716353181813,0.9999712929751142,0.02845796184754668
0,2,alexnet,worst_prediction_val0006,integrated_gradients,1,0.01,0.9992399523956519,0.9992588405596933,0.12985611031240896
0,2,alexnet,worst_prediction_val0006,integrated_gradients,2,0.01,0.9991349456688817,0.9991566352424397,0.13528056770598826
0,2,alexnet,low_heatflux_val0180,integrated_gradients,1,0.01,0.9992934584242241,0.9993235719894608,0.10266063931069619
0,2,alexnet,low_heatflux_val0180,integrated_gradients,2,0.01,0.9993430603125139,0.9993711852216648,0.10146601808267874
0,3,cnntf_v2_gap,near_onb_below_val0180,integrated_gradients,1,0.01,0.999954522145187,0.9999541728169076,0.08512303512469929
0,3,cnntf_v2_gap,near_onb_below_val0180,integrated_gradients,2,0.01,0.9999562906583586,0.9999559747674108,0.08439417785518133
0,3,cnntf_v2_gap,near_onb_above_val0240,integrated_gradients,1,0.01,0.999954902545564,0.9999537126735935,0.04488130303520255
0,3,cnntf_v2_gap,near_onb_above_val0240,integrated_gradients,2,0.01,0.9999541021487597,0.999952933968283,0.04478660073785472
0,3,cnntf_v2_gap,worst_prediction_val0041,integrated_gradients,1,0.01,0.999558271631139,0.9995643745096104,0.12559286246566323
0,3,cnntf_v2_gap,worst_prediction_val0041,integrated_gradients,2,0.01,0.9995594782871374,0.9995670638498365,0.12339263794966762
0,3,cnntf_v2_gap,low_heatflux_val0000,integrated_gradients,1,0.01,0.9996091852629687,0.9996233617535191,0.10542134705665634
0,3,cnntf_v2_gap,low_heatflux_val0000,integrated_gradients,2,0.01,0.9996014745209645,0.9996158815284825,0.1064683696748572
0,3,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,1,0.01,0.9999747606195164,0.9999741568146902,0.04098016825718565
0,3,cnntf_v2_gap,high_heatflux_val0300,integrated_gradients,2,0.01,0.9999742844457434,0.9999737008666654,0.04130897647287898
0,3,alexnet,near_onb_below_val0180,integrated_gradients,1,0.01,0.9999423217320902,0.9999371554718164,0.09644324311517578
0,3,alexnet,near_onb_below_val0180,integrated_gradients,2,0.01,0.9999406171274366,0.9999357329486581,0.09461452540148979
0,3,alexnet,near_onb_above_val0240,integrated_gradients,1,0.01,0.9999854369699,0.9999853056327103,0.0268370058449035
0,3,alexnet,near_onb_above_val0240,integrated_gradients,2,0.01,0.9999857785517984,0.9999856345693301,0.02659609351186974
0,3,alexnet,worst_prediction_val0043,integrated_gradients,1,0.01,0.9980973331790353,0.9980625219470599,0.19231680181831112
0,3,alexnet,worst_prediction_val0043,integrated_gradients,2,0.01,0.9986273883893061,0.9986185395500374,0.1683585719317289
0,3,alexnet,low_heatflux_val0000,integrated_gradients,1,0.01,0.9994334633671266,0.9994548601916138,0.09919257847061577
0,3,alexnet,low_heatflux_val0000,integrated_gradients,2,0.01,0.9993797918008706,0.9994032505789836,0.10096607860186638
0,3,alexnet,high_heatflux_val0300,integrated_gradients,1,0.01,0.9999751762554042,0.9999751194047448,0.030570323849775077
0,3,alexnet,high_heatflux_val0300,integrated_gradients,2,0.01,0.999975040586154,0.9999750458598216,0.03045744472209953
-4,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,1,0.01,0.9997876774142098,0.9997946754703808,0.08162051111644658
-4,1,cnntf_v2_gap,near_onb_below_val0120,integrated_gradients,2,0.01,0.9997822667905382,0.999789440522563,0.08303105552954544
-4,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,1,0.01,0.9999544914254421,0.9999539692651949,0.04490487643128385
-4,1,cnntf_v2_gap,near_onb_above_val0180,integrated_gradients,2,0.01,0.999954510070968,0.9999541717878156,0.0447301576179939
-4,1,cnntf_v2_gap,false_negative_val0230,integrated_gradients,1,0.01,0.9999746551965184,0.9999744154100942,0.05993553474430561
-4,1,cnntf_v2_gap,false_negative_val0230,integrated_gradients,2,0.01,0.9999754693734102,0.9999752310070511,0.05934939989350219
-4,1,cnntf_v2_gap,worst_prediction_val0128,integrated_gradients,1,0.01,0.9996335785011171,0.9996508286123373,0.08810194108017255
-4,1,cnntf_v2_gap,worst_prediction_val0128,integrated_gradients,2,0.01,0.9996280816157284,0.9996454576286011,0.08912701719683218
