snr,fold,model,sample_id,val_local_index,y_true,y_pred,abs_error,method,attribution_units,attribution_sum,output_delta_from_baseline,completeness_error,completeness_relative_error,deletion_prediction_auc,deletion_linear_auc,deletion_area_between_curve,insertion_prediction_auc,insertion_linear_auc,insertion_area_between_curve,top_frequency_bin,top_frequency_hz,top_time_frame,top_time_s
no_noise,1,alexnet,false_negative_val0231,231,368978.105,260553.953125,108424.15187499998,group_occlusion,heat_flux_change,nan,86820.9375,nan,nan,nan,nan,nan,nan,nan,nan,10,1031.25,56,0.25223214285714285
no_noise,1,alexnet,worst_prediction_val0145,145,266907.6965,15378.0283203125,251529.66817968752,integrated_gradients,heat_flux,431643.375,-158354.9873046875,589998.3623046875,3.725795899117999,1292599.8554931642,94555.35205078125,1198044.503442383,991076.3975097656,94555.35205078125,896521.0454589843,9,933.0357142857143,138,0.6183035714285714
no_noise,1,alexnet,worst_prediction_val0145,145,266907.6965,15378.0283203125,251529.66817968752,grad_cam,relative_importance,nan,-158354.9873046875,nan,nan,375134.42053222656,94555.35205078125,280579.0684814453,529343.4795410156,94555.35205078125,434788.1274902343,215,21165.178571428572,215,0.9620535714285714
no_noise,1,alexnet,worst_prediction_val0145,145,266907.6965,15378.0283203125,251529.66817968752,group_occlusion,heat_flux_change,nan,-158354.9873046875,nan,nan,nan,nan,nan,nan,nan,nan,10,1031.25,56,0.25223214285714285
no_noise,1,alexnet,low_heatflux_val0060,60,20979.71604,-3151.204833984375,24130.920873984374,integrated_gradients,heat_flux,1397594.75,-176884.22045898438,1574478.9704589844,8.901183872555054,1520964.230847168,85290.79663085938,1435673.4342163086,1034452.5916748047,85290.79663085938,949161.7950439453,9,933.0357142857143,137,0.6138392857142857
no_noise,1,alexnet,low_heatflux_val0060,60,20979.71604,-3151.204833984375,24130.920873984374,grad_cam,relative_importance,nan,-176884.22045898438,nan,nan,510375.85272216797,85290.79663085938,425085.0560913086,671199.4830810546,85290.79663085938,585908.6864501953,215,21165.178571428572,215,0.9620535714285714
no_noise,1,alexnet,low_heatflux_val0060,60,20979.71604,-3151.204833984375,24130.920873984374,group_occlusion,heat_flux_change,nan,-176884.22045898438,nan,nan,nan,nan,nan,nan,nan,nan,20,2013.392857142857,56,0.25223214285714285
no_noise,2,rf,near_onb_below_val0060,60,221505.1102,66549.9375,154955.1727,group_occlusion,heat_flux_change,nan,-155220.703125,nan,nan,nan,nan,nan,nan,nan,nan,10,1031.25,112,0.5022321428571429
no_noise,2,rf,near_onb_above_val0120,120,427276.195,387457.28125,39818.91375000001,group_occlusion,heat_flux_change,nan,165686.640625,nan,nan,nan,nan,nan,nan,nan,nan,20,2013.392857142857,0,0.002232142857142857
no_noise,2,rf,worst_prediction_val0185,185,57593.31665,241654.796875,184061.480225,group_occlusion,heat_flux_change,nan,19884.15625,nan,nan,nan,nan,nan,nan,nan,nan,20,2013.392857142857,112,0.5022321428571429
no_noise,2,rf,low_heatflux_val0180,180,57593.31665,55845.6484375,1747.6682125000007,group_occlusion,heat_flux_change,nan,-165924.9921875,nan,nan,nan,nan,nan,nan,nan,nan,10,1031.25,112,0.5022321428571429
no_noise,2,rf,high_heatflux_val0300,300,859343.9142,745085.125,114258.7892,group_occlusion,heat_flux_change,nan,523314.484375,nan,nan,nan,nan,nan,nan,nan,nan,20,2013.392857142857,56,0.25223214285714285
no_noise,2,cnntf_v2_gap,near_onb_below_val0060,60,221505.1102,172114.25,49390.860199999996,integrated_gradients,heat_flux,537986.5625,99246.0546875,438740.5078125,4.420735002454049,238332.81953125,122533.74609375,115799.07343749999,196655.6017578125,122533.74609375,74121.85566406249,5,540.1785714285714,206,0.921875
no_noise,2,cnntf_v2_gap,near_onb_below_val0060,60,221505.1102,172114.25,49390.860199999996,group_occlusion,heat_flux_change,nan,99246.0546875,nan,nan,nan,nan,nan,nan,nan,nan,153,15075.892857142857,56,0.25223214285714285
no_noise,2,cnntf_v2_gap,near_onb_above_val0120,120,427276.195,409197.5625,18078.632500000007,integrated_gradients,heat_flux,472811104.0,336329.3671875,472474774.6328125,1404.7978580752745,294822.151953125,241022.70703125,53799.44492187502,269469.0537109375,241022.70703125,28446.3466796875,23,2308.035714285714,7,0.033482142857142856
no_noise,2,cnntf_v2_gap,near_onb_above_val0120,120,427276.195,409197.5625,18078.632500000007,group_occlusion,heat_flux_change,nan,336329.3671875,nan,nan,nan,nan,nan,nan,nan,nan,153,15075.892857142857,56,0.25223214285714285
no_noise,2,cnntf_v2_gap,worst_prediction_val0006,6,181378.003,62808.55078125,118569.45221875,integrated_gradients,heat_flux,449536.875,-10059.64453125,459596.51953125,45.68715307022295,271232.96455078124,67877.396484375,203355.56806640624,173485.212109375,67877.396484375,105607.81562499999,5,540.1785714285714,167,0.7477678571428571
