experiment_name,source_wav_id,chunk_index,heat_flux_w_m2,peak_2100_2500_psd,relative_to_run_onb_221505,relative_to_source_onb_369000
2025.06.11_0.3_2,index=8.2.22E+05,52,221505.1102,7.986554411770518e-12,at_or_above,below
2025.06.11_0.3_2,index=8.2.22E+05,53,221505.1102,8.158259197055892e-12,at_or_above,below
2025.06.11_0.3_2,index=8.2.22E+05,54,221505.1102,9.769344579556934e-12,at_or_above,below
2025.06.11_0.3_2,index=8.2.22E+05,55,221505.1102,9.009942833380813e-12,at_or_above,below
2025.06.11_0.3_2,index=8.2.22E+05,56,221505.1102,9.106283515000747e-12,at_or_above,below
2025.06.11_0.3_2,index=8.2.22E+05,57,221505.1102,7.72846034989359e-12,at_or_above,below
2025.06.11_0.3_2,index=8.2.22E+05,58,221505.1102,7.454226515378607e-12,at_or_above,below
2025.06.11_0.3_2,index=8.2.22E+05,59,221505.1102,6.439209123480714e-12,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,0,266907.6965,8.569906606916878e-12,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,8,266907.6965,2.5520772293268116e-11,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,13,266907.6965,2.473894580608504e-11,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,14,266907.6965,2.451554412015535e-11,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,15,266907.6965,2.518390986642179e-11,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,17,266907.6965,3.180350309078867e-10,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,21,266907.6965,2.427234167634945e-11,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,22,266907.6965,2.4180679091238537e-11,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,25,266907.6965,2.8166375573978174e-11,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,27,266907.6965,9.946742917321608e-12,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,32,266907.6965,8.318131054708204e-12,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,33,266907.6965,9.216209830739097e-12,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,34,266907.6965,9.622553663480986e-12,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,35,266907.6965,9.441047497304775e-12,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,36,266907.6965,7.381756415919223e-10,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,41,266907.6965,1.925470133374234e-11,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,42,266907.6965,1.2667378160915555e-11,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,44,266907.6965,8.375672221009952e-12,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,45,266907.6965,8.726173011669697e-12,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,46,266907.6965,9.851470427479938e-12,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,47,266907.6965,8.913889554818885e-12,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,52,266907.6965,4.0266411790676325e-10,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,57,266907.6965,1.0838834257188268e-11,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,58,266907.6965,7.864182669783916e-12,at_or_above,below
2025.06.11_0.3_2,index=9.2.67E+05,59,266907.6965,1.0665690284064282e-11,at_or_above,below
